UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1603777045.100000	0.100000	0.00	0	0.00	0	-nan 
1603777045.200000	0.200000	0.00	0	0.00	10	-nan 
1603777045.300000	0.300000	0.00	10	0.00	0	-nan 
1603777045.400000	0.400000	0.01	20	0.01	20	-nan 
1603777045.500000	0.500000	0.00	0	0.00	0	-nan 
1603777045.599999	0.600000	0.00	0	0.00	0	-nan 
1603777045.699999	0.700000	0.00	0	0.00	0	-nan 
1603777045.799999	0.800000	0.00	0	0.00	0	-nan 
1603777045.899999	0.900000	0.00	0	0.00	0	-nan 
1603777045.999999	1.000000	0.00	0	0.00	0	-nan 
1603777046.099999	1.100000	0.00	0	0.00	0	-nan 
1603777046.199999	1.200000	0.00	0	0.00	0	-nan 
1603777046.299999	1.300000	0.00	0	0.00	0	-nan 
1603777046.399999	1.400000	0.01	10	0.00	10	-nan 
1603777046.499999	1.500000	0.00	0	0.00	0	-nan 
1603777046.599998	1.600000	0.00	0	0.00	0	-nan 
1603777046.699998	1.700000	0.00	0	0.00	0	-nan 
1603777046.799998	1.800000	0.00	0	0.00	0	-nan 
1603777046.899998	1.900000	0.00	0	0.00	0	-nan 
1603777046.999998	2.000000	0.00	0	0.00	0	-nan 
1603777047.099998	2.100000	0.00	0	0.00	0	-nan 
1603777047.199998	2.200000	0.00	0	0.00	0	-nan 
1603777047.299998	2.300000	0.00	0	0.00	0	-nan 
1603777047.399998	2.400000	0.00	0	0.00	0	-nan 
1603777047.499998	2.500000	0.00	0	0.00	0	-nan 
1603777047.599998	2.600000	0.00	0	0.00	0	-nan 
1603777047.699997	2.700000	0.00	0	0.00	0	-nan 
1603777047.799997	2.800000	0.00	0	0.00	0	-nan 
1603777047.899997	2.900000	0.00	0	0.00	0	-nan 
1603777047.999997	3.000000	0.00	0	0.00	0	-nan 
1603777048.099997	3.100000	0.00	0	0.00	0	-nan 
1603777048.199997	3.200000	0.00	0	0.00	0	-nan 
1603777048.299997	3.300000	0.00	0	0.00	0	-nan 
1603777048.399997	3.400000	0.01	9	0.00	9	-nan 
1603777048.499997	3.500000	0.00	0	0.00	0	-nan 
1603777048.599997	3.600000	0.00	0	0.00	0	-nan 
1603777048.699996	3.700000	0.00	0	0.00	0	-nan 
1603777048.799996	3.800000	0.00	0	0.00	0	-nan 
1603777048.899996	3.900000	0.00	0	0.00	0	-nan 
1603777048.999996	4.000000	0.00	0	0.00	0	-nan 
1603777049.099996	4.100000	0.00	0	0.00	0	-nan 
1603777049.199996	4.200000	0.00	0	0.00	0	-nan 
1603777049.299996	4.300000	0.00	0	0.00	0	-nan 
1603777049.399996	4.400000	0.00	0	0.00	0	-nan 
1603777049.499996	4.500000	0.00	0	0.00	0	-nan 
1603777049.599996	4.600000	0.00	0	0.00	0	-nan 
1603777049.699996	4.700000	0.00	0	0.00	0	-nan 
1603777049.799995	4.800000	0.00	0	0.00	0	-nan 
1603777049.899995	4.900000	0.00	0	0.00	0	-nan 
1603777049.999995	5.000000	0.00	0	0.00	0	-nan 
1603777050.099995	5.100000	0.00	0	0.00	0	-nan 
1603777050.199995	5.200000	0.00	0	0.00	0	-nan 
1603777050.299995	5.300000	0.00	0	0.00	0	-nan 
1603777050.399995	5.400000	0.00	0	0.00	0	-nan 
1603777050.499995	5.500000	0.00	0	0.00	0	-nan 
1603777050.599995	5.600000	0.00	0	0.00	0	-nan 
1603777050.699995	5.700000	0.00	0	0.00	0	-nan 
1603777050.799994	5.800000	0.00	0	0.00	0	-nan 
1603777050.899994	5.900000	0.00	0	0.00	0	-nan 
1603777050.999994	6.000000	0.00	0	0.00	0	-nan 
1603777051.099994	6.100000	0.00	0	0.00	0	-nan 
1603777051.199994	6.200000	0.00	0	0.00	0	-nan 
1603777051.299994	6.300000	0.00	0	0.00	0	-nan 
1603777051.399994	6.400000	0.00	0	0.00	0	-nan 
1603777051.499994	6.500000	0.00	0	0.00	0	-nan 
1603777051.599994	6.600000	0.00	0	0.00	0	-nan 
1603777051.699994	6.700000	0.00	0	0.00	0	-nan 
1603777051.799994	6.800000	0.00	0	0.00	0	-nan 
1603777051.899993	6.900000	0.00	0	0.00	0	-nan 
1603777051.999993	7.000000	0.00	0	0.00	0	-nan 
1603777052.099993	7.100000	0.00	0	0.00	0	-nan 
1603777052.199993	7.200000	0.00	0	0.00	0	-nan 
1603777052.299993	7.300000	0.00	0	0.00	0	-nan 
1603777052.399993	7.400000	0.06	40	0.03	40	-nan 
1603777052.499993	7.500000	0.02	40	0.03	20	-nan 
1603777052.599993	7.600000	0.00	0	0.00	0	-nan 
1603777052.699993	7.700000	0.00	0	0.00	0	-nan 
1603777052.799993	7.800000	0.00	0	0.00	0	-nan 
1603777052.899992	7.900000	0.00	0	0.00	0	-nan 
1603777052.999992	8.000000	0.00	0	0.00	0	-nan 
1603777053.099992	8.100000	0.00	0	0.00	0	-nan 
1603777053.199992	8.200000	0.00	0	0.00	0	-nan 
1603777053.299992	8.300000	0.00	0	0.00	0	-nan 
1603777053.399992	8.400000	0.00	0	0.00	0	-nan 
1603777053.499992	8.500000	0.00	0	0.00	0	-nan 
1603777053.599992	8.600000	0.00	0	0.00	0	-nan 
1603777053.699992	8.700000	0.00	0	0.00	0	-nan 
1603777053.799992	8.800000	0.00	0	0.00	0	-nan 
1603777053.899992	8.900000	0.00	0	0.00	0	-nan 
1603777053.999991	9.000000	0.00	0	0.00	0	-nan 
1603777054.099991	9.100000	0.00	0	0.00	0	-nan 
1603777054.199991	9.200000	0.00	0	0.00	0	-nan 
1603777054.299991	9.300000	0.00	0	0.00	0	-nan 
1603777054.399991	9.400000	0.00	0	0.00	0	-nan 
1603777054.499991	9.500000	0.00	0	0.00	0	-nan 
1603777054.599991	9.600000	0.00	0	0.00	0	-nan 
1603777054.699991	9.700000	0.00	0	0.00	0	-nan 
1603777054.799991	9.800000	0.00	0	0.00	0	-nan 
1603777054.899991	9.900000	0.00	0	0.00	0	-nan 
1603777054.999990	10.000000	0.00	0	0.00	0	-nan 
1603777055.099990	10.100000	0.00	0	0.00	0	-nan 
1603777055.199990	10.200000	0.00	0	0.00	0	-nan 
1603777055.299990	10.300000	0.00	0	0.00	0	-nan 
1603777055.399990	10.400000	0.00	0	0.00	0	-nan 
1603777055.499990	10.500000	0.00	0	0.00	0	-nan 
1603777055.599990	10.600000	0.00	0	0.00	0	-nan 
1603777055.699990	10.700000	0.00	0	0.00	0	-nan 
1603777055.799990	10.800000	0.00	0	0.00	0	-nan 
1603777055.899990	10.900000	0.00	0	0.00	0	-nan 
1603777055.999990	11.000000	0.00	0	0.00	0	-nan 
1603777056.099989	11.100000	0.00	0	0.00	0	-nan 
1603777056.199989	11.200000	0.00	0	0.00	0	-nan 
1603777056.299989	11.300000	0.00	0	0.00	0	-nan 
1603777056.399989	11.400000	0.00	0	0.00	0	-nan 
1603777056.499989	11.500000	0.00	0	0.00	0	-nan 
1603777056.599989	11.600000	0.00	0	0.00	0	-nan 
1603777056.699989	11.700000	0.00	0	0.00	0	-nan 
1603777056.799989	11.800000	0.00	0	0.00	0	-nan 
1603777056.899989	11.900000	0.00	0	0.00	0	-nan 
1603777056.999989	12.000000	0.00	0	0.00	0	-nan 
1603777057.099988	12.100000	0.00	0	0.00	0	-nan 
1603777057.199988	12.200000	0.00	0	0.00	0	-nan 
1603777057.299988	12.300000	0.00	0	0.00	0	-nan 
1603777057.399988	12.400000	0.00	0	0.00	0	-nan 
1603777057.499988	12.500000	0.00	0	0.00	0	-nan 
1603777057.599988	12.600000	0.00	0	0.00	0	-nan 
1603777057.699988	12.700000	0.00	0	0.00	0	-nan 
1603777057.799988	12.800000	0.00	0	0.00	0	-nan 
1603777057.899988	12.900000	0.00	0	0.00	0	-nan 
