UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1603771564.100000	0.100000	0.00	0	0.00	0
1603771564.200000	0.200000	0.00	0	0.00	0
1603771564.300000	0.300000	0.00	0	0.00	0
1603771564.400000	0.400000	0.00	0	0.00	0
1603771564.500000	0.500000	0.00	0	0.00	0
1603771564.599999	0.600000	0.00	0	0.00	0
1603771564.699999	0.700000	0.00	0	0.00	0
1603771564.799999	0.800000	0.00	0	0.00	0
1603771564.899999	0.900000	0.00	0	0.00	0
1603771564.999999	1.000000	0.00	0	0.00	0
1603771565.099999	1.100000	0.00	0	0.00	0
1603771565.199999	1.200000	0.00	0	0.00	0
1603771565.299999	1.300000	0.00	0	0.00	0
1603771565.399999	1.400000	0.00	0	0.00	0
1603771565.499999	1.500000	0.00	0	0.00	0
1603771565.599998	1.600000	0.00	0	0.00	0
1603771565.699998	1.700000	0.00	0	0.00	0
1603771565.799998	1.800000	0.00	0	0.00	0
1603771565.899998	1.900000	0.00	0	0.00	0
1603771565.999998	2.000000	0.00	0	0.00	0
1603771566.099998	2.100000	0.00	0	0.00	0
1603771566.199998	2.200000	0.00	0	0.00	0
1603771566.299998	2.300000	0.00	0	0.00	0
1603771566.399998	2.400000	0.00	0	0.00	0
1603771566.499998	2.500000	0.00	0	0.00	0
1603771566.599998	2.600000	0.00	0	0.00	0
1603771566.699997	2.700000	0.00	0	0.00	0
1603771566.799997	2.800000	0.00	0	0.00	0
1603771566.899997	2.900000	0.00	0	0.00	0
1603771566.999997	3.000000	0.00	0	0.00	0
1603771567.099997	3.100000	0.00	0	0.00	0
1603771567.199997	3.200000	0.00	0	0.00	0
1603771567.299997	3.300000	0.00	0	0.00	0
1603771567.399997	3.400000	0.00	0	0.00	0
1603771567.499997	3.500000	0.00	0	0.00	0
1603771567.599997	3.600000	0.00	0	0.00	0
1603771567.699996	3.700000	0.00	0	0.00	0
1603771567.799996	3.800000	0.00	0	0.00	0
1603771567.899996	3.900000	0.00	0	0.00	0
1603771567.999996	4.000000	0.00	0	0.00	0
1603771568.099996	4.100000	0.00	0	0.00	0
1603771568.199996	4.200000	0.00	0	0.00	0
1603771568.299996	4.300000	0.00	0	0.00	0
1603771568.399996	4.400000	0.00	0	0.00	0
1603771568.499996	4.500000	0.00	0	0.00	0
1603771568.599996	4.600000	0.00	0	0.00	0
1603771568.699996	4.700000	0.00	0	0.00	0
1603771568.799995	4.800000	0.00	0	0.00	0
1603771568.899995	4.900000	0.00	0	0.00	0
1603771568.999995	5.000000	0.00	0	0.00	0
1603771569.099995	5.100000	0.00	0	0.00	0
1603771569.199995	5.200000	0.00	0	0.00	9
1603771569.299995	5.300000	0.00	0	0.00	0
1603771569.399995	5.400000	0.00	0	0.00	0
1603771569.499995	5.500000	0.00	0	0.00	0
1603771569.599995	5.600000	0.00	0	0.00	0
1603771569.699995	5.700000	0.00	0	0.00	0
1603771569.799994	5.800000	0.00	0	0.00	0
1603771569.899994	5.900000	0.00	0	0.00	0
1603771569.999994	6.000000	0.00	0	0.00	0
1603771570.099994	6.100000	0.00	0	0.00	0
1603771570.199994	6.200000	0.00	0	0.00	9
1603771570.299994	6.300000	0.00	0	0.00	0
1603771570.399994	6.400000	0.00	0	0.00	0
1603771570.499994	6.500000	0.00	0	0.00	0
1603771570.599994	6.600000	0.00	0	0.00	0
1603771570.699994	6.700000	0.00	0	0.00	0
1603771570.799994	6.800000	0.00	0	0.00	0
1603771570.899993	6.900000	0.00	0	0.00	0
1603771570.999993	7.000000	0.00	0	0.00	0
1603771571.099993	7.100000	0.00	0	0.00	0
1603771571.199993	7.200000	0.00	0	0.00	9
1603771571.299993	7.300000	0.00	0	0.00	0
1603771571.399993	7.400000	0.00	0	0.00	0
1603771571.499993	7.500000	0.00	0	0.00	0
1603771571.599993	7.600000	0.00	0	0.00	0
1603771571.699993	7.700000	0.00	0	0.00	0
1603771571.799993	7.800000	0.00	0	0.00	0
1603771571.899992	7.900000	0.00	0	0.00	0
1603771571.999992	8.000000	0.00	0	0.00	0
1603771572.099992	8.100000	0.00	0	0.00	0
1603771572.199992	8.200000	0.00	0	0.00	9
1603771572.299992	8.300000	0.00	0	0.00	0
1603771572.399992	8.400000	0.00	0	0.00	0
1603771572.499992	8.500000	0.00	0	0.00	0
1603771572.599992	8.600000	0.00	0	0.00	0
1603771572.699992	8.700000	0.00	0	0.00	0
1603771572.799992	8.800000	0.00	0	0.00	0
1603771572.899992	8.900000	0.00	0	0.00	0
1603771572.999991	9.000000	0.00	0	0.00	0
1603771573.099991	9.100000	0.00	0	0.00	0
1603771573.199991	9.200000	0.00	0	0.00	10
1603771573.299991	9.300000	0.00	0	0.00	0
1603771573.399991	9.400000	0.00	0	0.00	0
1603771573.499991	9.500000	0.00	0	0.00	0
1603771573.599991	9.600000	0.00	0	0.00	0
1603771573.699991	9.700000	0.00	0	0.00	0
1603771573.799991	9.800000	0.00	0	0.00	0
1603771573.899991	9.900000	0.00	0	0.00	0
1603771573.999990	10.000000	0.00	0	0.00	0
1603771574.099990	10.100000	0.00	0	0.00	0
1603771574.199990	10.200000	0.00	0	0.00	9
1603771574.299990	10.300000	0.00	0	0.00	0
1603771574.399990	10.400000	0.00	0	0.00	0
1603771574.499990	10.500000	0.00	0	0.00	0
1603771574.599990	10.600000	0.00	0	0.00	0
1603771574.699990	10.700000	0.00	0	0.00	0
1603771574.799990	10.800000	0.00	0	0.00	0
1603771574.899990	10.900000	0.00	0	0.00	0
1603771574.999990	11.000000	0.00	0	0.00	0
1603771575.099989	11.100000	0.00	0	0.00	0
1603771575.199989	11.200000	0.00	0	0.00	10
1603771575.299989	11.300000	0.00	0	0.00	0
1603771575.399989	11.400000	0.00	0	0.00	0
1603771575.499989	11.500000	0.00	0	0.00	0
1603771575.599989	11.600000	0.00	0	0.00	0
1603771575.699989	11.700000	0.00	0	0.00	0
1603771575.799989	11.800000	0.00	0	0.00	0
1603771575.899989	11.900000	0.00	0	0.00	0
1603771575.999989	12.000000	0.00	0	0.00	0
1603771576.099988	12.100000	0.00	0	0.00	0
1603771576.199988	12.200000	0.00	0	0.00	9
1603771576.299988	12.300000	0.00	0	0.00	0
1603771576.399988	12.400000	0.00	0	0.00	0
1603771576.499988	12.500000	0.00	0	0.00	0
1603771576.599988	12.600000	0.00	0	0.00	0
1603771576.699988	12.700000	0.00	0	0.00	0
1603771576.799988	12.800000	0.00	0	0.00	0
1603771576.899988	12.900000	0.00	0	0.00	0
1603771576.999988	13.000000	0.00	0	0.00	0
1603771577.099988	13.100000	0.00	0	0.00	0
1603771577.199987	13.200000	0.00	0	0.00	10
1603771577.299987	13.300000	0.00	0	0.00	0
1603771577.399987	13.400000	0.00	0	0.00	0
1603771577.499987	13.500000	0.00	0	0.00	0
1603771577.599987	13.600000	0.05	100	0.00	10
1603771577.699987	13.700000	0.00	0	0.00	0
1603771577.799987	13.800000	0.00	0	0.00	0
1603771577.899987	13.900000	0.00	0	0.00	0
1603771577.999987	14.000000	0.00	0	0.00	0
1603771578.099987	14.100000	0.00	0	0.00	0
1603771578.199986	14.200000	0.00	0	0.00	0
1603771578.299986	14.300000	0.00	0	0.00	0
1603771578.399986	14.400000	0.00	0	0.00	0
1603771578.499986	14.500000	0.00	0	0.00	0
1603771578.599986	14.600000	0.00	0	0.00	0
1603771578.699986	14.700000	0.00	0	0.00	0
1603771578.799986	14.800000	0.00	0	0.00	0
1603771578.899986	14.900000	0.00	0	0.00	0
1603771578.999986	15.000000	0.00	0	0.00	0
1603771579.099986	15.100000	0.00	0	0.00	0
1603771579.199986	15.200000	0.00	0	0.00	0
1603771579.299985	15.300000	0.00	0	0.00	0
1603771579.399985	15.400000	0.00	0	0.00	0
1603771579.499985	15.500000	0.00	0	0.00	0
1603771579.599985	15.600000	0.00	0	0.00	0
1603771579.699985	15.700000	0.00	0	0.00	0
1603771579.799985	15.800000	0.00	0	0.00	0
1603771579.899985	15.900000	0.00	0	0.00	0
1603771579.999985	16.000000	0.00	0	0.00	0
1603771580.099985	16.100000	0.00	0	0.00	0
1603771580.199985	16.200000	0.00	0	0.00	0
1603771580.299984	16.300000	0.00	0	0.00	0
1603771580.399984	16.400000	0.00	0	0.00	0
1603771580.499984	16.500000	0.00	0	0.00	0
1603771580.599984	16.600000	0.00	0	0.00	0
1603771580.699984	16.700000	0.00	0	0.00	0
1603771580.799984	16.800000	0.00	0	0.00	0
1603771580.899984	16.900000	0.00	0	0.00	0
1603771580.999984	17.000000	0.00	0	0.00	0
1603771581.099984	17.100000	0.00	0	0.00	0
1603771581.199984	17.200000	0.00	0	0.00	0
1603771581.299984	17.300000	0.00	0	0.00	0
1603771581.399983	17.400000	0.00	0	0.00	0
1603771581.499983	17.500000	0.00	0	0.00	0
1603771581.599983	17.600000	0.00	0	0.00	0
1603771581.699983	17.700000	0.00	0	0.00	0
1603771581.799983	17.800000	0.00	0	0.00	0
1603771581.899983	17.900000	0.00	0	0.00	0
1603771581.999983	18.000000	0.00	0	0.00	0
1603771582.099983	18.100000	0.00	0	0.00	0
1603771582.199983	18.200000	0.00	0	0.00	0
1603771582.299983	18.300000	0.00	0	0.00	0
1603771582.399982	18.400000	0.00	0	0.00	0
1603771582.499982	18.500000	0.00	0	0.00	0
1603771582.599982	18.600000	0.00	0	0.00	0
1603771582.699982	18.700000	0.00	0	0.00	0
1603771582.799982	18.800000	0.00	0	0.00	0
1603771582.899982	18.900000	0.00	0	0.00	0
1603771582.999982	19.000000	0.00	0	0.00	0
1603771583.099982	19.100000	0.00	0	0.00	0
1603771583.199982	19.200000	0.00	0	0.00	0
1603771583.299982	19.300000	0.00	0	0.00	0
1603771583.399981	19.400000	0.00	0	0.00	0
1603771583.499981	19.500000	0.00	0	0.00	0
1603771583.599981	19.600000	0.00	0	0.00	0
1603771583.699981	19.700000	0.00	0	0.00	0
1603771583.799981	19.800000	0.00	0	0.00	0
1603771583.899981	19.900000	0.00	0	0.00	0
1603771583.999981	20.000000	0.00	0	0.00	0
1603771584.099981	20.100000	0.00	0	0.00	0
1603771584.199981	20.200000	0.00	0	0.00	0
1603771584.299981	20.300000	0.00	0	0.00	0
1603771584.399981	20.400000	0.00	0	0.00	0
1603771584.499980	20.500000	0.00	0	0.00	0
1603771584.599980	20.600000	0.00	0	0.00	0
1603771584.699980	20.700000	0.00	0	0.00	0
1603771584.799980	20.800000	0.00	0	0.00	0
1603771584.899980	20.900000	0.00	0	0.00	0
1603771584.999980	21.000000	0.00	0	0.00	0
1603771585.099980	21.100000	0.00	0	0.00	0
1603771585.199980	21.200000	0.00	0	0.00	0
