UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1603771598.100000	0.100000	0.00	0	0.00	0	-nan 
1603771598.200000	0.200000	0.00	10	0.00	10	-nan 
1603771598.300000	0.300000	0.00	0	0.00	0	-nan 
1603771598.400000	0.400000	0.00	0	0.00	0	-nan 
1603771598.500000	0.500000	0.00	0	0.00	0	-nan 
1603771598.599999	0.600000	0.00	0	0.00	0	-nan 
1603771598.699999	0.700000	0.00	0	0.00	0	-nan 
1603771598.799999	0.800000	0.00	0	0.00	0	-nan 
1603771598.899999	0.900000	0.03	59	0.03	59	-nan 
1603771598.999999	1.000000	0.00	0	0.00	0	-nan 
1603771599.099999	1.100000	0.00	0	0.00	0	-nan 
1603771599.199999	1.200000	0.00	0	0.00	0	-nan 
1603771599.299999	1.300000	0.00	0	0.00	0	-nan 
1603771599.399999	1.400000	0.00	0	0.00	0	-nan 
1603771599.499999	1.500000	0.00	0	0.00	0	-nan 
1603771599.599998	1.600000	0.00	0	0.00	0	-nan 
1603771599.699998	1.700000	0.00	0	0.00	0	-nan 
1603771599.799998	1.800000	0.00	0	0.00	0	-nan 
1603771599.899998	1.900000	0.01	9	0.00	9	-nan 
1603771599.999998	2.000000	0.00	0	0.00	0	-nan 
1603771600.099998	2.100000	0.00	0	0.00	0	-nan 
1603771600.199998	2.200000	0.00	0	0.00	0	-nan 
1603771600.299998	2.300000	0.00	0	0.00	0	-nan 
1603771600.399998	2.400000	0.00	0	0.00	0	-nan 
1603771600.499998	2.500000	0.00	0	0.00	0	-nan 
1603771600.599998	2.600000	0.00	0	0.00	0	-nan 
1603771600.699997	2.700000	0.00	0	0.00	0	-nan 
1603771600.799997	2.800000	0.00	0	0.00	0	-nan 
1603771600.899997	2.900000	0.00	0	0.00	0	-nan 
1603771600.999997	3.000000	0.00	0	0.00	0	-nan 
1603771601.099997	3.100000	0.00	0	0.00	0	-nan 
1603771601.199997	3.200000	0.00	0	0.00	0	-nan 
1603771601.299997	3.300000	0.00	0	0.00	0	-nan 
1603771601.399997	3.400000	0.00	0	0.00	0	-nan 
1603771601.499997	3.500000	0.00	0	0.00	0	-nan 
1603771601.599997	3.600000	0.00	0	0.00	0	-nan 
1603771601.699996	3.700000	0.00	0	0.00	0	-nan 
1603771601.799996	3.800000	0.00	0	0.00	0	-nan 
1603771601.899996	3.900000	0.00	0	0.00	0	-nan 
1603771601.999996	4.000000	0.01	10	0.00	10	-nan 
1603771602.099996	4.100000	0.00	0	0.00	0	-nan 
