UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604467706906	0.00	0.00	0	0.00	0
1604467707405	0.50	0.00	4	0.00	4
1604467707904	1.00	0.00	0	0.00	0
1604467708403	1.50	0.00	0	0.00	0
1604467708902	2.00	0.00	0	0.00	0
1604467709401	2.50	0.00	0	0.00	0
1604467709900	3.00	0.00	0	0.00	0
1604467710399	3.50	0.00	0	0.00	0
1604467710898	4.00	0.00	0	0.00	0
1604467711397	4.50	0.00	0	0.00	0
1604467711896	5.00	0.00	0	0.00	0
1604467712395	5.50	0.00	0	0.00	0
1604467712894	6.00	0.00	0	0.00	0
1604467713393	6.50	0.00	0	0.00	0
1604467713892	7.00	0.00	0	0.00	0
1604467714391	7.50	0.00	0	0.00	0
1604467714890	8.00	0.00	0	0.00	0
1604467715389	8.50	0.00	0	0.00	0
1604467715888	9.00	0.00	0	0.00	0
1604467716387	9.50	0.00	0	0.00	0
1604467716886	10.00	0.00	0	0.00	0
1604467717385	10.50	0.00	0	0.00	0
1604467717884	11.00	0.00	0	0.00	0
1604467718383	11.50	0.00	0	0.00	0
1604467718882	12.00	0.00	0	0.00	0
1604467719381	12.50	0.00	0	0.00	0
1604467719880	13.00	0.00	0	0.00	0
1604467720379	13.50	0.00	0	0.00	0
1604467720878	14.00	0.00	0	0.00	0
1604467721377	14.50	0.00	0	0.00	0
1604467721876	15.00	0.00	0	0.00	0
1604467722375	15.50	0.00	0	0.00	0
1604467722874	16.00	0.00	0	0.00	0
1604467723373	16.50	0.00	0	0.00	0
1604467723872	17.00	0.00	0	0.00	0
1604467724371	17.50	0.00	0	0.00	0
1604467724870	18.00	0.00	0	0.00	0
1604467725369	18.50	0.00	0	0.00	0
1604467725868	19.00	0.00	0	0.00	0
1604467726367	19.50	0.00	0	0.00	0
1604467726866	20.00	0.00	0	0.00	0
1604467727365	20.50	0.00	0	0.00	0
1604467727864	21.00	0.00	0	0.00	0
1604467728363	21.50	0.00	0	0.00	0
1604467728862	22.00	0.00	0	0.00	0
