UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604467694987	0.00	0.00	0	0.00	0	-nan 
1604467695486	0.50	0.00	0	0.00	2	-nan 
1604467695985	1.00	0.00	0	0.00	0	-nan 
1604467696484	1.50	0.00	0	0.00	1	-nan 
1604467696983	2.00	0.00	0	0.00	0	-nan 
1604467697482	2.50	0.00	0	0.00	1	-nan 
1604467697981	3.00	0.00	0	0.00	0	-nan 
1604467698480	3.50	0.00	0	0.00	1	-nan 
1604467698978	4.00	0.00	0	0.00	0	-nan 
1604467699477	4.50	0.00	0	0.00	1	-nan 
1604467699976	5.00	0.00	0	0.00	0	-nan 
1604467700475	5.50	0.00	0	0.00	1	-nan 
1604467700974	6.00	0.00	0	0.00	0	-nan 
1604467701473	6.50	0.00	0	0.00	1	-nan 
1604467701972	7.00	0.00	0	0.00	0	-nan 
1604467702471	7.50	0.00	0	0.00	1	-nan 
1604467702969	8.00	0.00	0	0.00	0	-nan 
1604467703468	8.50	0.00	0	0.00	1	-nan 
1604467703967	9.00	0.01	18	0.00	0	-nan 
1604467704466	9.50	0.00	0	0.00	0	-nan 
1604467704965	10.00	0.00	6	0.00	6	-nan 
1604467705464	10.50	0.00	0	0.00	0	-nan 
1604467705963	11.00	0.00	2	0.00	2	-nan 
1604467706462	11.50	0.00	0	0.00	0	-nan 
1604467706960	12.00	0.00	0	0.00	0	-nan 
1604467707459	12.50	0.00	0	0.00	0	-nan 
1604467707958	13.00	0.00	2	0.00	2	-nan 
1604467708457	13.50	0.00	0	0.00	0	-nan 
1604467708956	14.00	0.00	0	0.00	0	-nan 
1604467709455	14.50	0.00	0	0.00	0	-nan 
1604467709954	15.00	0.00	0	0.00	0	-nan 
1604467710453	15.50	0.00	0	0.00	0	-nan 
1604467710951	16.00	0.00	0	0.00	0	-nan 
1604467711450	16.50	0.00	0	0.00	0	-nan 
1604467711949	17.00	0.00	1	0.00	1	-nan 
1604467712448	17.50	0.00	0	0.00	0	-nan 
1604467712947	18.00	0.00	0	0.00	0	-nan 
1604467713446	18.50	0.00	0	0.00	0	-nan 
1604467713945	19.00	0.00	0	0.00	0	-nan 
1604467714444	19.50	0.00	0	0.00	0	-nan 
1604467714943	20.00	0.00	0	0.00	0	-nan 
1604467715441	20.50	0.00	0	0.00	0	-nan 
1604467715940	21.00	0.00	0	0.00	0	-nan 
1604467716439	21.50	0.00	0	0.00	0	-nan 
1604467716938	22.00	0.00	0	0.00	0	-nan 
1604467717437	22.50	0.00	0	0.00	0	-nan 
1604467717936	23.00	0.00	0	0.00	0	-nan 
1604467718435	23.50	0.00	0	0.00	0	-nan 
1604467718934	24.00	0.00	0	0.00	0	-nan 
1604467719432	24.50	0.00	0	0.00	0	-nan 
1604467719931	25.00	0.02	15	0.01	11	-nan 
1604467720430	25.50	0.00	0	0.00	0	-nan 
1604467720929	26.00	0.00	0	0.00	0	-nan 
1604467721428	26.50	0.00	0	0.00	0	-nan 
