Elapsed_seconds	Rx-Mbps_[with_hdr]
176.00	1712.89
176.50	3751.38
177.00	3749.45
177.50	3749.84
178.00	3750.19
178.50	3749.99
179.00	3749.77
179.50	3750.36
180.00	3750.31
180.50	3750.63
181.00	3750.62
181.50	3750.37
182.00	3750.68
182.50	3750.51
183.00	3747.83
183.50	3750.65
184.00	3750.60
184.50	3750.78
185.00	3750.81
185.50	3750.83
186.00	3750.76
186.50	3750.49
187.00	3751.17
187.50	3749.93
188.00	3750.76
188.50	3750.72
189.00	3750.46
189.50	3750.61
190.00	3750.56
190.50	3750.52
191.00	3750.67
191.50	3750.76
192.00	3750.66
192.50	3750.24
193.00	3750.78
193.50	3750.80
194.00	3750.78
194.50	3750.80
195.00	3750.85
195.50	3750.49
196.00	3750.61
196.50	3750.66
197.00	3750.74
197.50	3750.25
198.00	3750.72
198.50	3750.28
199.00	3750.70
199.50	3750.63
200.00	3750.40
200.50	3750.92
201.00	3750.23
201.50	3750.77
202.00	3751.10
202.50	3750.73
203.00	3750.71
203.50	3750.81
204.00	3750.82
204.50	3750.85
205.00	3750.71
205.50	3750.99
206.00	6359.54
206.50	8900.10
207.00	8899.17
207.50	8897.67
208.00	8896.23
208.50	8899.40
209.00	8891.74
209.50	8897.54
210.00	8899.87
210.50	8900.29
211.00	8899.61
211.50	8899.34
212.00	8900.12
212.50	8900.95
213.00	8900.78
213.50	8898.35
214.00	8898.14
214.50	8894.44
215.00	8895.07
215.50	8899.16
216.00	8897.72
216.50	8900.20
217.00	8899.30
217.50	8898.60
218.00	8899.70
218.50	8901.42
219.00	8901.93
219.50	8901.51
220.00	8896.07
220.50	8891.10
221.00	8897.24
221.50	8898.51
222.00	8900.54
222.50	8899.39
223.00	8901.64
223.50	8901.78
224.00	8901.09
224.50	8899.91
225.00	8895.09
225.50	8890.39
226.00	8897.98
226.50	8897.84
227.00	8899.24
227.50	8900.22
228.00	8903.44
228.50	8900.92
229.00	8895.95
229.50	8895.54
230.00	8901.35
230.50	8900.21
231.00	8900.05
231.50	8899.28
232.00	8896.40
232.50	8899.05
233.00	8900.30
233.50	8899.06
234.00	8898.38
234.50	8899.20
235.00	8899.28
235.50	8894.76
236.00	6228.81
236.50	3750.56
237.00	3750.43
237.50	3750.63
238.00	3750.68
238.50	3750.83
239.00	3750.65
239.50	3750.23
240.00	3750.36
240.50	3750.36
241.00	3750.20
241.50	3750.23
242.00	3750.27
242.50	3750.26
243.00	3750.46
243.50	3750.42
244.00	3750.50
244.50	3750.46
245.00	3750.36
245.50	3750.47
246.00	3750.72
246.50	3750.68
247.00	3750.65
247.50	3750.78
248.00	3750.68
248.50	3750.70
249.00	3750.30
249.50	3750.65
250.00	3750.55
250.50	3750.08
251.00	3750.54
251.50	3750.67
252.00	3750.68
252.50	3750.61
253.00	3750.70
253.50	3750.54
254.00	3750.84
254.50	3750.88
255.00	3751.13
255.50	3750.67
256.00	3750.76
256.50	3750.93
257.00	3750.60
257.50	3751.05
258.00	3750.90
258.50	3750.68
259.00	3750.02
259.50	3750.50
260.00	3750.73
260.50	3749.87
261.00	3750.23
261.50	3749.97
262.00	3750.43
262.50	3750.67
263.00	3750.27
263.50	3750.46
264.00	3750.56
264.50	3750.52
265.00	3750.59
265.50	3750.49
266.00	6482.58
266.50	8893.92
267.00	8900.00
267.50	8898.38
268.00	8901.15
268.50	8901.27
269.00	8899.30
269.50	8899.62
270.00	8897.41
270.50	8898.16
271.00	8897.78
271.50	8897.49
272.00	8897.29
272.50	8896.18
273.00	8899.73
273.50	8899.51
274.00	8901.09
274.50	8900.81
275.00	8898.78
275.50	8897.81
276.00	8893.51
276.50	8892.67
277.00	8901.52
277.50	8902.47
278.00	8901.14
278.50	8901.67
279.00	8900.09
279.50	8898.76
280.00	8900.08
280.50	8895.54
281.00	8897.74
281.50	8892.37
282.00	8900.70
282.50	8901.21
283.00	8900.67
283.50	8900.45
284.00	8899.54
284.50	8901.25
285.00	8899.67
285.50	8897.88
286.00	8892.54
286.50	8892.54
287.00	8898.12
287.50	8898.77
288.00	8902.93
288.50	8901.75
289.00	8901.85
289.50	8898.08
290.00	8899.16
290.50	8896.73
291.00	8897.89
291.50	8894.23
292.00	8899.53
292.50	8900.79
293.00	8898.89
293.50	8900.16
294.00	8899.27
294.50	8897.37
295.00	8900.84
295.50	8897.69
296.00	6099.38

