UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604461153654	0.00	0.00	0	0.00	0
1604461155650	2.00	0.00	0	0.00	1
1604461157646	4.00	0.00	0	0.00	1
1604461159642	6.00	0.00	0	0.00	0
1604461161638	8.00	0.00	4	0.00	1
1604461163634	10.00	0.00	0	0.00	0
1604461165630	12.00	0.00	0	0.00	0
1604461167626	14.00	0.00	0	0.00	0
1604461169622	16.00	0.00	0	0.00	0
1604461171618	18.00	0.00	0	0.00	0
1604461173614	20.00	0.00	0	0.00	0
1604461175610	22.00	0.00	0	0.00	0
1604461177606	24.00	0.00	0	0.00	0
1604461179602	26.00	0.00	0	0.00	0
1604461181598	28.00	0.00	0	0.00	0
1604461183594	30.00	0.00	0	0.00	0
1604461185590	32.00	0.00	0	0.00	0
1604461187586	34.00	0.00	0	0.00	0
1604461189582	36.00	0.00	0	0.00	0
1604461191578	38.00	0.00	0	0.00	0
1604461193574	40.00	0.00	0	0.00	0
1604461195570	42.00	0.00	0	0.00	0
1604461197566	44.00	0.00	0	0.00	0
1604461199562	46.00	0.00	0	0.00	0
1604461201558	48.00	0.00	0	0.00	0
1604461203554	50.00	0.00	0	0.00	0
1604461205550	52.00	0.00	0	0.00	0
1604461207546	54.00	0.00	0	0.00	0
1604461209542	56.00	0.00	0	0.00	0
1604461211538	58.00	0.00	0	0.00	0
1604461213534	60.00	0.00	0	0.00	0
1604461215530	62.00	0.00	0	0.00	0
1604461217526	64.00	0.00	0	0.00	0
1604461219522	66.00	0.00	0	0.00	0
1604461221517	68.00	0.00	0	0.00	0
1604461223513	70.00	0.00	0	0.00	0
1604461225509	72.00	0.00	0	0.00	0
1604461227505	74.00	0.00	0	0.00	0
1604461229501	76.00	0.00	0	0.00	0
1604461231497	78.00	0.00	0	0.00	0
1604461233493	80.00	0.00	0	0.00	0
1604461235489	82.00	0.00	0	0.00	0
1604461237485	84.00	0.00	0	0.00	0
1604461239481	86.00	0.00	0	0.00	0
1604461241477	88.00	0.00	0	0.00	0
1604461243473	90.00	0.00	0	0.00	0
1604461245469	92.00	0.00	0	0.00	0
1604461247465	94.00	0.00	0	0.00	0
1604461249461	96.00	0.00	0	0.00	0
1604461251457	98.00	0.00	0	0.00	0
1604461253453	100.00	0.00	0	0.00	0
1604461255449	102.00	0.00	0	0.00	0
1604461257445	104.00	0.00	0	0.00	0
1604461259441	106.00	0.00	0	0.00	0
1604461261437	108.00	0.00	0	0.00	0
1604461263433	110.00	0.00	0	0.00	0
1604461265429	112.00	0.00	0	0.00	0
1604461267425	114.00	0.00	0	0.00	0
1604461269421	116.00	0.00	0	0.00	0
1604461271417	118.00	0.00	0	0.00	0
1604461273413	120.00	0.00	0	0.00	0
