UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604458810860	0.00	0.00	0	0.00	0
1604458812856	2.00	0.00	0	0.00	1
1604458814852	4.00	0.00	0	0.00	1
1604458816848	6.00	0.00	0	0.00	0
1604458818844	8.00	0.00	0	0.00	0
1604458820840	10.00	0.00	5	0.00	1
1604458822836	12.00	0.00	0	0.00	0
1604458824832	14.00	0.00	0	0.00	0
1604458826828	16.00	0.00	0	0.00	0
1604458828824	18.00	0.00	0	0.00	0
1604458830820	20.00	0.00	0	0.00	0
1604458832816	22.00	0.00	0	0.00	0
1604458834812	24.00	0.00	0	0.00	0
1604458836808	26.00	0.00	0	0.00	0
1604458838804	28.00	0.00	0	0.00	0
1604458840800	30.00	0.00	0	0.00	0
1604458842796	32.00	0.00	0	0.00	0
1604458844792	34.00	0.00	0	0.00	0
1604458846788	36.00	0.00	0	0.00	0
1604458848784	38.00	0.00	0	0.00	0
1604458850780	40.00	0.00	0	0.00	0
1604458852776	42.00	0.00	0	0.00	0
1604458854772	44.00	0.00	0	0.00	0
1604458856768	46.00	0.00	0	0.00	0
1604458858764	48.00	0.00	0	0.00	0
1604458860760	50.00	0.00	0	0.00	0
1604458862756	52.00	0.00	0	0.00	0
1604458864752	54.00	0.00	0	0.00	0
1604458866747	56.00	0.00	0	0.00	0
1604458868743	58.00	0.00	0	0.00	0
1604458870739	60.00	0.00	0	0.00	0
1604458872735	62.00	0.00	0	0.00	0
1604458874731	64.00	0.00	0	0.00	0
1604458876727	66.00	0.00	0	0.00	0
1604458878723	68.00	0.00	0	0.00	0
1604458880719	70.00	0.00	0	0.00	0
1604458882715	72.00	0.00	0	0.00	0
1604458884711	74.00	0.00	0	0.00	0
1604458886707	76.00	0.00	0	0.00	0
1604458888703	78.00	0.00	0	0.00	0
1604458890699	80.00	0.00	0	0.00	0
1604458892695	82.00	0.00	0	0.00	0
1604458894691	84.00	0.00	0	0.00	0
1604458896687	86.00	0.00	0	0.00	0
1604458898683	88.00	0.00	0	0.00	0
1604458900679	90.00	0.00	0	0.00	0
1604458902675	92.00	0.00	0	0.00	0
1604458904671	94.00	0.00	0	0.00	0
1604458906667	96.00	0.00	0	0.00	0
1604458908663	98.00	0.00	0	0.00	0
1604458910659	100.00	0.00	0	0.00	0
1604458912655	102.00	0.00	0	0.00	0
1604458914651	104.00	0.00	0	0.00	0
1604458916647	106.00	0.00	0	0.00	0
1604458918643	108.00	0.00	0	0.00	0
1604458920639	110.00	0.00	0	0.00	0
1604458922635	112.00	0.00	0	0.00	0
1604458924631	114.00	0.00	0	0.00	0
1604458926627	116.00	0.00	0	0.00	0
1604458928623	118.00	0.00	0	0.00	0
1604458930619	120.00	0.00	0	0.00	0
1604458932615	122.00	0.00	0	0.00	0
1604458934611	124.00	0.00	0	0.00	0
1604458936607	126.00	0.00	0	0.00	0
1604458938603	128.00	0.00	0	0.00	0
1604458940599	130.00	0.00	0	0.00	0
1604458942595	132.00	0.00	0	0.00	0
1604458944591	134.00	0.00	0	0.00	0
1604458946587	136.00	0.00	0	0.00	0
1604458948582	138.00	0.00	0	0.00	0
1604458950578	140.00	0.00	0	0.00	0
1604458952574	142.00	0.00	0	0.00	0
1604458954570	144.00	0.00	0	0.00	0
1604458956566	146.00	0.00	0	0.00	0
1604458958562	148.00	0.00	0	0.00	0
1604458960558	150.00	0.00	0	0.00	0
1604458962554	152.00	0.00	0	0.00	0
1604458964550	154.00	0.00	0	0.00	0
1604458966546	156.00	0.00	0	0.00	0
1604458968542	158.00	0.00	0	0.00	0
1604458970538	160.00	0.00	0	0.00	0
1604458972534	162.00	0.00	0	0.00	0
1604458974530	164.00	0.00	0	0.00	0
1604458976526	166.00	0.00	0	0.00	0
1604458978522	168.00	0.00	0	0.00	0
1604458980518	170.00	0.00	0	0.00	0
1604458982514	172.00	0.00	0	0.00	0
1604458984510	174.00	0.00	0	0.00	0
1604458986506	176.00	0.00	0	0.00	0
1604458988502	178.00	0.00	0	0.00	0
1604458990498	180.00	0.00	0	0.00	0
1604458992494	182.00	0.00	0	0.00	0
1604458994490	184.00	0.00	0	0.00	0
1604458996486	186.00	0.00	0	0.00	0
1604458998482	188.00	0.00	0	0.00	0
1604459000478	190.00	0.00	0	0.00	0
1604459002474	192.00	0.00	0	0.00	0
1604459004470	194.00	0.00	0	0.00	0
1604459006466	196.00	0.00	0	0.00	0
1604459008462	198.00	0.00	0	0.00	0
1604459010458	200.00	0.00	0	0.00	0
1604459012454	202.00	0.00	0	0.00	0
1604459014450	204.00	0.00	0	0.00	0
1604459016446	206.00	0.00	0	0.00	0
1604459018442	208.00	0.00	0	0.00	0
1604459020438	210.00	0.00	0	0.00	0
1604459022434	212.00	0.00	0	0.00	0
1604459024430	214.00	0.00	0	0.00	0
1604459026426	216.00	0.00	0	0.00	0
1604459028422	218.00	0.00	0	0.00	0
1604459030418	220.00	0.00	0	0.00	0
1604459032413	222.00	0.00	0	0.00	0
1604459034409	224.00	0.00	0	0.00	0
1604459036405	226.00	0.00	0	0.00	0
1604459038401	228.00	0.00	0	0.00	0
1604459040397	230.00	0.00	0	0.00	0
1604459042393	232.00	0.00	0	0.00	0
1604459044389	234.00	0.00	0	0.00	0
1604459046385	236.00	0.00	0	0.00	0
1604459048381	238.00	0.00	0	0.00	0
1604459050377	240.00	0.00	0	0.00	0
1604459052373	242.00	0.00	0	0.00	0
1604459054369	244.00	0.00	0	0.00	0
1604459056365	246.00	0.00	0	0.00	0
1604459058361	248.00	0.00	0	0.00	0
1604459060357	250.00	0.00	0	0.00	0
1604459062353	252.00	0.00	0	0.00	0
1604459064349	254.00	0.00	0	0.00	0
1604459066345	256.00	0.00	0	0.00	0
1604459068341	258.00	0.00	0	0.00	0
1604459070337	260.00	0.00	0	0.00	0
1604459072333	262.00	0.00	0	0.00	0
1604459074329	264.00	0.00	0	0.00	0
1604459076325	266.00	0.00	0	0.00	0
1604459078321	268.00	0.00	0	0.00	0
1604459080317	270.00	0.00	0	0.00	0
1604459082313	272.00	0.00	0	0.00	0
1604459084309	274.00	0.00	0	0.00	0
1604459086305	276.00	0.00	0	0.00	0
1604459088301	278.00	0.00	0	0.00	0
1604459090297	280.00	0.00	0	0.00	0
1604459092293	282.00	0.00	0	0.00	0
1604459094289	284.00	0.00	0	0.00	0
1604459096285	286.00	0.00	0	0.00	0
1604459098281	288.00	0.00	0	0.00	0
1604459100277	290.00	0.00	0	0.00	0
1604459102273	292.00	0.00	0	0.00	0
1604459104269	294.00	0.00	0	0.00	0
1604459106265	296.00	0.00	0	0.00	0
1604459108261	298.00	0.00	0	0.00	0
1604459110257	300.00	0.00	0	0.00	0
1604459112253	302.00	0.00	0	0.00	0
1604459114249	304.00	0.00	0	0.00	0
1604459116244	306.00	0.00	0	0.00	0
1604459118240	308.00	0.00	0	0.00	0
1604459120236	310.00	0.00	0	0.00	0
1604459122232	312.00	0.00	0	0.00	0
1604459124228	314.00	0.00	0	0.00	0
1604459126224	316.00	0.00	0	0.00	0
1604459128220	318.00	0.00	0	0.00	0
1604459130216	320.00	0.00	0	0.00	0
1604459132212	322.00	0.00	0	0.00	0
1604459134208	324.00	0.00	0	0.00	0
1604459136204	326.00	0.00	0	0.00	0
1604459138200	328.00	0.00	0	0.00	0
1604459140196	330.00	0.00	0	0.00	0
1604459142192	332.00	0.00	0	0.00	0
1604459144188	334.00	0.00	0	0.00	0
1604459146184	336.00	0.00	0	0.00	0
1604459148180	338.00	0.00	0	0.00	0
1604459150176	340.00	0.00	0	0.00	0
1604459152172	342.00	0.00	0	0.00	0
1604459154168	344.00	0.00	0	0.00	0
1604459156164	346.00	0.00	0	0.00	0
1604459158160	348.00	0.00	0	0.00	0
1604459160156	350.00	0.00	0	0.00	0
1604459162152	352.00	0.00	0	0.00	0
1604459164148	354.00	0.00	0	0.00	0
1604459166144	356.00	0.00	0	0.00	0
1604459168140	358.00	0.00	0	0.00	0
1604459170136	360.00	0.00	0	0.00	0
1604459172132	362.00	0.00	0	0.00	0
1604459174128	364.00	0.00	0	0.00	0
1604459176124	366.00	0.00	0	0.00	0
1604459178120	368.00	0.00	0	0.00	0
1604459180116	370.00	0.00	0	0.00	0
1604459182112	372.00	0.00	0	0.00	0
1604459184108	374.00	0.00	0	0.00	0
1604459186104	376.00	0.00	0	0.00	0
1604459188100	378.00	0.00	0	0.00	0
1604459190096	380.00	0.00	0	0.00	0
1604459192092	382.00	0.00	0	0.00	0
1604459194088	384.00	0.00	0	0.00	0
1604459196084	386.00	0.00	0	0.00	0
1604459198079	388.00	0.00	0	0.00	0
1604459200075	390.00	0.00	0	0.00	0
1604459202071	392.00	21.21	25021	0.00	0
1604459204067	394.00	9936.25	11717269	0.00	0
1604459206063	396.00	10877.73	12827532	0.00	0
1604459208059	398.00	10876.69	12826262	0.00	0
1604459210055	400.00	10884.20	12835138	0.00	0
1604459212051	402.00	10882.05	12832614	0.00	0
1604459214047	404.00	10881.58	12832064	0.00	0
1604459216043	406.00	10882.15	12832710	0.00	0
1604459218039	408.00	10884.65	12835680	0.00	0
1604459220035	410.00	10887.29	12838793	0.00	0
1604459222031	412.00	10879.36	12829420	0.00	0
1604459224027	414.00	10876.77	12826380	0.00	0
1604459226023	416.00	10884.66	12835706	0.00	0
1604459228019	418.00	10876.49	12826035	0.00	0
1604459230015	420.00	10884.80	12835863	0.00	0
1604459232011	422.00	10877.70	12827481	0.00	0
1604459234007	424.00	10865.44	12812999	0.00	0
1604459236003	426.00	10883.47	12834290	0.00	0
1604459237999	428.00	10879.16	12829184	0.00	0
1604459239995	430.00	10878.91	12828904	0.00	0
1604459241991	432.00	10882.83	12833518	0.00	0
1604459243987	434.00	10877.91	12827749	0.00	0
1604459245983	436.00	10881.47	12831913	0.00	0
1604459247979	438.00	10883.26	12834016	0.00	0
1604459249975	440.00	10882.87	12833588	0.00	0
1604459251971	442.00	10882.06	12832604	0.00	0
1604459253967	444.00	10878.74	12828705	0.00	0
1604459255963	446.00	10879.81	12829964	0.00	0
1604459257959	448.00	10878.92	12828938	0.00	0
1604459259955	450.00	10884.94	12835990	0.00	0
1604459261951	452.00	10882.98	12833707	0.00	0
1604459263947	454.00	10878.61	12828571	0.00	0
1604459265943	456.00	10871.74	12820433	0.00	0
1604459267939	458.00	10873.69	12822747	0.00	0
1604459269935	460.00	10870.45	12818942	0.00	0
1604459271931	462.00	10873.61	12822637	0.00	0
1604459273927	464.00	10864.95	12812446	0.00	0
1604459275923	466.00	10870.93	12819507	0.00	0
1604459277919	468.00	10872.52	12821348	0.00	0
1604459279915	470.00	10875.85	12825289	0.00	0
1604459281910	472.00	10879.97	12830167	0.00	0
1604459283906	474.00	10870.81	12819343	0.00	0
1604459285902	476.00	10874.31	12823469	0.00	0
1604459287898	478.00	10876.88	12826523	0.00	0
1604459289894	480.00	10877.40	12827122	0.00	0
1604459291890	482.00	10879.05	12829053	0.00	0
1604459293886	484.00	10876.10	12825601	0.00	0
1604459295882	486.00	10879.22	12829287	0.00	0
1604459297878	488.00	10877.72	12827478	0.00	0
1604459299874	490.00	10877.98	12827807	0.00	0
1604459301870	492.00	10877.84	12827642	0.00	0
1604459303866	494.00	10876.50	12826074	0.00	0
1604459305862	496.00	10877.29	12826979	0.00	0
1604459307858	498.00	10876.94	12826588	0.00	0
1604459309854	500.00	10880.58	12830860	0.00	0
1604459311850	502.00	10877.14	12826818	0.00	0
1604459313846	504.00	10879.77	12829919	0.00	0
1604459315842	506.00	10872.97	12821906	0.00	0
1604459317838	508.00	10878.23	12828086	0.00	0
1604459319834	510.00	10878.29	12828191	0.00	0
1604459321830	512.00	10876.10	12825570	0.00	0
1604459323826	514.00	10880.51	12830785	0.00	0
1604459325822	516.00	10880.08	12830293	0.00	0
1604459327818	518.00	10880.59	12830887	0.00	0
1604459329814	520.00	10878.60	12828513	0.00	0
1604459331810	522.00	10878.37	12828271	0.00	0
1604459333806	524.00	10881.73	12832246	0.00	0
1604459335802	526.00	10880.74	12831055	0.00	0
1604459337798	528.00	10881.07	12831433	0.00	0
1604459339794	530.00	10882.33	12832958	0.00	0
1604459341790	532.00	10878.65	12828589	0.00	0
1604459343786	534.00	10877.64	12827392	0.00	0
1604459345782	536.00	10883.09	12833844	0.00	0
1604459347778	538.00	10876.90	12826534	0.00	0
1604459349774	540.00	10797.01	12732310	0.00	0
1604459351770	542.00	10877.43	12827184	0.00	0
1604459353766	544.00	10803.86	12740403	0.00	0
1604459355762	546.00	10881.78	12832260	0.00	0
1604459357758	548.00	10873.06	12822006	0.00	0
1604459359754	550.00	10878.60	12828529	0.00	0
1604459361750	552.00	10876.23	12825746	0.00	0
