UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604465119374	0.00	0.00	0	0.00	0
1604465121370	2.00	0.00	1	0.00	1
1604465123366	4.00	0.00	0	0.00	0
1604465125362	6.00	0.00	0	0.00	0
1604465127358	8.00	0.00	0	0.00	0
1604465129354	10.00	0.00	0	0.00	0
1604465131350	12.00	0.00	0	0.00	0
1604465133346	14.00	0.00	0	0.00	0
1604465135342	16.00	0.00	0	0.00	0
1604465137338	18.00	0.00	0	0.00	0
1604465139334	20.00	0.00	0	0.00	0
1604465141330	22.00	0.00	0	0.00	0
1604465143326	24.00	0.00	0	0.00	0
1604465145322	26.00	0.00	0	0.00	0
1604465147318	28.00	0.00	0	0.00	0
1604465149314	30.00	0.00	0	0.00	0
1604465151310	32.00	0.00	0	0.00	0
1604465153306	34.00	0.00	0	0.00	0
1604465155302	36.00	0.00	0	0.00	0
1604465157298	38.00	0.00	0	0.00	0
1604465159294	40.00	0.00	0	0.00	0
1604465161290	42.00	0.00	0	0.00	0
1604465163286	44.00	0.00	0	0.00	0
1604465165282	46.00	0.00	0	0.00	0
1604465167278	48.00	0.00	0	0.00	0
1604465169274	50.00	0.00	0	0.00	0
1604465171270	52.00	0.00	0	0.00	0
1604465173266	54.00	0.00	0	0.00	0
1604465175261	56.00	0.00	0	0.00	0
1604465177257	58.00	0.00	0	0.00	0
1604465179253	60.00	0.00	0	0.00	0
1604465181249	62.00	0.00	0	0.00	0
1604465183245	64.00	0.00	0	0.00	0
1604465185241	66.00	0.00	0	0.00	0
1604465187237	68.00	0.00	0	0.00	0
1604465189233	70.00	0.00	0	0.00	0
1604465191229	72.00	0.00	0	0.00	0
1604465193225	74.00	0.00	0	0.00	0
1604465195221	76.00	0.00	0	0.00	0
1604465197217	78.00	0.00	0	0.00	0
1604465199213	80.00	0.00	0	0.00	0
1604465201209	82.00	0.00	0	0.00	0
1604465203205	84.00	0.00	0	0.00	0
1604465205201	86.00	0.00	0	0.00	0
1604465207197	88.00	0.00	0	0.00	0
1604465209193	90.00	0.00	0	0.00	0
1604465211189	92.00	0.00	0	0.00	0
1604465213185	94.00	0.00	0	0.00	0
1604465215181	96.00	0.00	0	0.00	0
1604465217177	98.00	0.00	0	0.00	0
1604465219173	100.00	0.00	0	0.00	0
1604465221169	102.00	0.00	0	0.00	0
1604465223165	104.00	0.00	0	0.00	0
1604465225161	106.00	0.00	0	0.00	0
1604465227157	108.00	0.00	0	0.00	0
1604465229153	110.00	0.00	0	0.00	0
1604465231149	112.00	0.00	0	0.00	0
1604465233145	114.00	0.00	0	0.00	0
1604465235141	116.00	0.00	0	0.00	0
1604465237137	118.00	0.00	0	0.00	0
1604465239133	120.00	0.00	0	0.00	0
1604465241129	122.00	0.00	0	0.00	0
1604465243125	124.00	0.00	0	0.00	0
1604465245121	126.00	0.00	0	0.00	0
1604465247117	128.00	0.00	0	0.00	0
1604465249113	130.00	0.00	0	0.00	0
1604465251109	132.00	0.00	0	0.00	0
1604465253105	134.00	0.00	0	0.00	0
1604465255101	136.00	0.00	0	0.00	0
1604465257097	138.00	0.00	0	0.00	0
1604465259092	140.00	0.00	0	0.00	0
1604465261088	142.00	0.00	0	0.00	0
1604465263084	144.00	0.00	0	0.00	0
1604465265080	146.00	0.00	0	0.00	0
1604465267076	148.00	0.00	0	0.00	0
1604465269072	150.00	0.00	0	0.00	0
1604465271068	152.00	0.00	0	0.00	0
1604465273064	154.00	0.00	0	0.00	0
1604465275060	156.00	0.00	0	0.00	0
1604465277056	158.00	0.00	0	0.00	0
1604465279052	160.00	0.00	0	0.00	0
1604465281048	162.00	0.00	0	0.00	0
1604465283044	164.00	0.00	0	0.00	0
1604465285040	166.00	0.00	0	0.00	0
1604465287036	168.00	0.00	0	0.00	0
1604465289032	170.00	0.00	0	0.00	0
1604465291028	172.00	0.00	0	0.00	0
1604465293024	174.00	0.00	0	0.00	0
1604465295020	176.00	0.00	0	0.00	0
1604465297016	178.00	0.00	0	0.00	0
1604465299012	180.00	0.00	0	0.00	0
1604465301008	182.00	0.00	0	0.00	0
1604465303004	184.00	0.00	0	0.00	0
1604465305000	186.00	0.00	0	0.00	0
1604465306996	188.00	0.00	0	0.00	0
1604465308992	190.00	0.00	0	0.00	0
1604465310988	192.00	0.00	0	0.00	0
1604465312984	194.00	0.00	0	0.00	0
1604465314980	196.00	0.00	0	0.00	0
1604465316976	198.00	0.00	0	0.00	0
1604465318972	200.00	0.00	0	0.00	0
1604465320968	202.00	0.00	0	0.00	0
1604465322964	204.00	0.00	0	0.00	0
1604465324960	206.00	0.00	0	0.00	0
1604465326956	208.00	0.00	0	0.00	0
1604465328952	210.00	0.00	0	0.00	0
1604465330948	212.00	0.00	0	0.00	0
1604465332944	214.00	0.00	0	0.00	0
1604465334940	216.00	0.00	0	0.00	0
1604465336936	218.00	0.00	0	0.00	0
1604465338932	220.00	0.00	0	0.00	0
1604465340928	222.00	0.00	0	0.00	0
1604465342923	224.00	0.00	0	0.00	0
1604465344919	226.00	0.00	0	0.00	0
1604465346915	228.00	0.00	0	0.00	0
1604465348911	230.00	0.00	0	0.00	0
