UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604460524194	0.00	0.00	0	0.00	0	-nan 
1604460526190	2.00	0.00	2	0.00	2	-nan 
1604460528185	4.00	0.00	0	0.00	0	-nan 
1604460530181	6.00	0.00	0	0.00	0	-nan 
1604460532176	8.00	0.00	3	0.00	2	-nan 
1604460534172	10.00	0.00	0	0.00	0	-nan 
1604460536168	12.00	0.00	0	0.00	0	-nan 
1604460538163	14.00	0.00	0	0.00	0	-nan 
1604460540159	16.00	0.00	0	0.00	0	-nan 
1604460542154	18.00	0.00	0	0.00	0	-nan 
1604460544150	20.00	0.00	0	0.00	0	-nan 
1604460546145	22.00	0.00	0	0.00	0	-nan 
1604460548141	24.00	0.00	0	0.00	0	-nan 
1604460550136	26.00	0.00	0	0.00	0	-nan 
1604460552132	28.00	0.00	0	0.00	0	-nan 
1604460554127	30.00	0.00	0	0.00	0	-nan 
1604460556123	32.00	0.00	0	0.00	0	-nan 
1604460558118	34.00	0.00	0	0.00	0	-nan 
1604460560114	36.00	0.00	0	0.00	0	-nan 
1604460562109	38.00	0.00	0	0.00	0	-nan 
1604460564105	40.00	0.00	0	0.00	0	-nan 
1604460566100	42.00	0.00	0	0.00	0	-nan 
1604460568096	44.00	0.00	0	0.00	0	-nan 
1604460570092	46.00	0.01	11	0.02	11	-nan 
1604460572087	48.00	0.79	999	1.99	999	-nan 
1604460574083	50.00	0.79	999	1.99	999	-nan 
1604460576078	52.00	0.79	999	1.99	999	-nan 
1604460578074	54.00	0.79	999	1.99	999	-nan 
1604460580069	56.00	0.79	999	1.99	999	-nan 
1604460582065	58.00	0.79	999	1.99	999	-nan 
1604460584060	60.00	0.79	999	1.99	999	-nan 
1604460586056	62.00	0.79	1000	1.99	1000	-nan 
1604460588051	64.00	0.79	999	1.99	999	-nan 
1604460590047	66.00	0.79	999	1.99	999	-nan 
1604460592042	68.00	0.79	1000	1.99	1000	-nan 
1604460594038	70.00	0.79	999	1.99	999	-nan 
1604460596033	72.00	0.79	999	1.99	999	-nan 
1604460598029	74.00	0.79	1000	1.99	1000	-nan 
1604460600024	76.00	0.79	999	1.99	999	-nan 
1604460602020	78.00	0.79	1000	1.99	1000	-nan 
1604460604016	80.00	0.79	999	1.99	999	-nan 
1604460606011	82.00	0.79	999	1.99	999	-nan 
1604460608007	84.00	0.79	1000	1.99	1000	-nan 
1604460610002	86.00	0.79	999	1.99	999	-nan 
1604460611998	88.00	0.79	999	1.99	999	-nan 
1604460613993	90.00	0.79	1000	1.99	1000	-nan 
1604460615989	92.00	0.79	999	1.99	999	-nan 
1604460617984	94.00	0.79	999	1.99	1000	-nan 
1604460619980	96.00	0.79	1000	1.99	999	-nan 
1604460621975	98.00	0.79	999	1.99	999	-nan 
1604460623971	100.00	0.79	999	1.99	1000	-nan 
1604460625966	102.00	0.79	999	1.99	999	-nan 
1604460627962	104.00	0.79	999	1.99	999	-nan 
1604460629957	106.00	0.79	999	1.99	999	-nan 
1604460631953	108.00	0.79	999	1.99	999	-nan 
1604460633948	110.00	0.80	1003	1.99	1002	-nan 
1604460635944	112.00	0.79	1000	1.99	1000	-nan 
1604460637939	114.00	0.79	999	1.99	999	-nan 
1604460639935	116.00	0.79	1000	1.99	1000	-nan 
1604460641931	118.00	0.58	999	1.75	999	-nan 
1604460643926	120.00	0.58	999	1.75	999	-nan 
1604460645922	122.00	0.58	999	1.75	999	-nan 
1604460647917	124.00	0.58	999	1.75	999	-nan 
1604460649913	126.00	0.58	999	1.75	999	-nan 
1604460651908	128.00	0.58	1000	1.75	1000	-nan 
1604460653904	130.00	0.58	999	1.75	999	-nan 
1604460655899	132.00	0.58	999	1.75	999	-nan 
1604460657895	134.00	0.58	1000	1.75	1000	-nan 
1604460659890	136.00	0.58	999	1.75	999	-nan 
1604460661886	138.00	0.58	999	1.75	999	-nan 
1604460663881	140.00	0.58	1000	1.75	999	-nan 
1604460665877	142.00	0.58	999	1.75	999	-nan 
1604460667872	144.00	0.58	999	1.75	999	-nan 
1604460669868	146.00	0.58	999	1.75	999	-nan 
1604460671863	148.00	0.58	999	1.75	999	-nan 
1604460673859	150.00	0.58	999	1.75	999	-nan 
1604460675855	152.00	0.58	1000	1.75	1000	-nan 
1604460677850	154.00	0.58	999	1.75	999	-nan 
1604460679846	156.00	0.58	999	1.75	999	-nan 
1604460681841	158.00	0.58	1000	1.75	1000	-nan 
1604460683837	160.00	0.58	999	1.75	999	-nan 
1604460685832	162.00	0.58	1000	1.75	1000	-nan 
1604460687828	164.00	0.58	999	1.75	999	-nan 
1604460689823	166.00	0.58	999	1.75	999	-nan 
1604460691819	168.00	0.58	999	1.75	999	-nan 
1604460693814	170.00	0.58	999	1.75	999	-nan 
1604460695810	172.00	0.58	999	1.75	999	-nan 
1604460697805	174.00	0.58	999	1.75	999	-nan 
1604460699801	176.00	0.58	999	1.75	999	-nan 
1604460701796	178.00	0.58	999	1.75	999	-nan 
1604460703792	180.00	0.58	999	1.75	999	-nan 
1604460705787	182.00	0.58	999	1.75	999	-nan 
1604460707783	184.00	0.58	999	1.75	999	-nan 
1604460709778	186.00	0.58	1000	1.75	1000	-nan 
1604460711774	188.00	0.01	11	0.02	11	-nan 
1604460713770	190.00	0.00	0	0.00	0	-nan 
1604460715765	192.00	0.00	0	0.00	0	-nan 
1604460717761	194.00	0.00	0	0.00	0	-nan 
1604460719756	196.00	0.00	0	0.00	0	-nan 
1604460721752	198.00	0.00	0	0.00	0	-nan 
1604460723747	200.00	0.00	0	0.00	0	-nan 
1604460725743	202.00	0.00	0	0.00	0	-nan 
1604460727738	204.00	0.00	0	0.00	0	-nan 
1604460729734	206.00	0.00	0	0.00	0	-nan 
1604460731729	208.00	0.00	0	0.00	0	-nan 
1604460733725	210.00	0.00	4	0.00	3	-nan 
1604460735720	212.00	0.00	0	0.00	0	-nan 
1604460737716	214.00	0.00	0	0.00	0	-nan 
1604460739711	216.00	0.00	0	0.00	0	-nan 
1604460741707	218.00	0.00	0	0.00	0	-nan 
1604460743702	220.00	0.00	0	0.00	0	-nan 
1604460745698	222.00	0.00	0	0.00	0	-nan 
1604460747693	224.00	0.00	0	0.00	0	-nan 
1604460749689	226.00	0.00	0	0.00	0	-nan 
1604460751684	228.00	0.00	0	0.00	0	-nan 
1604460753680	230.00	0.00	0	0.00	0	-nan 
1604460755676	232.00	0.00	0	0.00	0	-nan 
1604460757671	234.00	0.00	0	0.00	0	-nan 
1604460759667	236.00	0.00	0	0.00	0	-nan 
1604460761662	238.00	0.00	0	0.00	0	-nan 
1604460763658	240.00	0.00	0	0.00	0	-nan 
1604460765653	242.00	0.00	0	0.00	0	-nan 
1604460767649	244.00	0.00	0	0.00	0	-nan 
1604460769644	246.00	0.00	0	0.00	0	-nan 
1604460771640	248.00	0.00	0	0.00	0	-nan 
1604460773635	250.00	0.00	0	0.00	0	-nan 
1604460775631	252.00	0.00	0	0.00	0	-nan 
1604460777626	254.00	0.00	0	0.00	0	-nan 
1604460779622	256.00	0.00	0	0.00	0	-nan 
1604460781617	258.00	0.00	0	0.00	0	-nan 
1604460783613	260.00	0.00	0	33052.20	29095257	-nan 
1604460785608	262.00	0.00	0	447.36	30052830	-nan 
1604460787604	264.00	0.00	0	447.34	30052867	-nan 
1604460789599	266.00	0.00	0	447.35	30052853	-nan 
1604460791595	268.00	0.00	0	447.16	30052662	-nan 
1604460793591	270.00	0.00	0	447.28	30052788	-nan 
1604460795586	272.00	0.00	0	447.35	30052858	-nan 
1604460797582	274.00	0.00	0	447.35	30052829	-nan 
1604460799577	276.00	0.00	0	447.36	30052861	-nan 
1604460801573	278.00	0.00	0	447.35	30052836	-nan 
1604460803568	280.00	0.00	0	447.37	30052881	-nan 
1604460805564	282.00	0.00	0	447.34	30052830	-nan 
1604460807559	284.00	0.00	0	447.35	30052846	-nan 
1604460809555	286.00	0.00	0	447.37	30052845	-nan 
1604460811550	288.00	0.00	0	447.35	30052834	-nan 
1604460813546	290.00	0.00	0	447.35	30052856	-nan 
1604460815541	292.00	0.00	0	447.28	30052775	-nan 
1604460817537	294.00	0.00	0	447.35	30052861	-nan 
1604460819532	296.00	0.00	0	447.36	30052859	-nan 
1604460821528	298.00	0.00	0	447.26	30052778	-nan 
1604460823523	300.00	0.00	0	447.35	30052828	-nan 
1604460825519	302.00	0.00	0	447.36	30052860	-nan 
1604460827514	304.00	0.00	0	447.34	30052827	-nan 
1604460829510	306.00	0.00	0	447.37	30052839	-nan 
1604460831505	308.00	0.00	0	447.13	30052670	-nan 
1604460833501	310.00	0.00	1	447.35	30052846	-nan 
1604460835497	312.00	0.00	0	447.18	30052685	-nan 
1604460837492	314.00	0.00	0	447.33	30052846	-nan 
1604460839488	316.00	0.00	0	447.35	30052830	-nan 
1604460841483	318.00	0.00	0	447.38	30052875	-nan 
1604460843479	320.00	0.00	0	447.32	30052826	-nan 
1604460845474	322.00	0.00	0	447.35	30052846	-nan 
1604460847470	324.00	0.00	0	447.35	30052843	-nan 
1604460849465	326.00	0.00	0	447.35	30052841	-nan 
1604460851461	328.00	0.00	0	447.20	30052734	-nan 
1604460853456	330.00	0.00	0	447.34	30052845	-nan 
1604460855452	332.00	0.00	0	447.36	30052833	-nan 
1604460857447	334.00	0.00	0	447.34	30052719	-nan 
1604460859443	336.00	0.00	0	447.35	30052977	-nan 
1604460861438	338.00	0.00	0	447.28	30052782	-nan 
1604460863434	340.00	0.00	0	447.34	30052840	-nan 
1604460865429	342.00	0.00	0	447.36	30052817	-nan 
1604460867425	344.00	0.00	0	447.37	30052879	-nan 
1604460869420	346.00	0.00	0	447.32	30052842	-nan 
1604460871416	348.00	0.00	0	447.35	30052853	-nan 
1604460873411	350.00	0.00	0	447.36	30052844	-nan 
1604460875407	352.00	0.00	0	447.34	30052840	-nan 
1604460877403	354.00	0.00	0	447.37	30052852	-nan 
1604460879398	356.00	0.00	0	447.33	30052830	-nan 
1604460881394	358.00	0.00	0	447.35	30052855	-nan 
1604460883389	360.00	0.00	0	447.34	30052823	-nan 
1604460885385	362.00	0.00	0	447.36	30052847	-nan 
1604460887380	364.00	0.00	0	447.35	30052874	-nan 
1604460889376	366.00	0.00	0	447.35	30052841	-nan 
1604460891371	368.00	0.00	0	447.34	30052823	-nan 
1604460893367	370.00	0.00	0	447.35	30052862	-nan 
1604460895362	372.00	0.00	0	447.35	30052842	-nan 
1604460897358	374.00	0.00	0	447.35	30052817	-nan 
1604460899353	376.00	0.00	0	447.36	30052854	-nan 
1604460901349	378.00	0.00	0	447.35	30052854	-nan 
1604460903344	380.00	0.00	0	447.35	30052867	-nan 
1604460905340	382.00	0.00	0	447.34	30052823	-nan 
1604460907335	384.00	0.00	0	447.38	30052834	-nan 
1604460909331	386.00	0.00	0	447.37	30052868	-nan 
1604460911326	388.00	0.00	0	447.26	30052754	-nan 
1604460913322	390.00	0.00	0	447.36	30052837	-nan 
1604460915317	392.00	0.00	0	447.35	30052848	-nan 
1604460917313	394.00	0.00	0	447.35	30052833	-nan 
1604460919308	396.00	0.00	0	447.33	30052861	-nan 
1604460921304	398.00	0.00	0	447.35	30052848	-nan 
1604460923300	400.00	0.00	0	447.35	30052842	-nan 
1604460925295	402.00	0.00	0	447.35	30052858	-nan 
1604460927291	404.00	0.00	0	447.35	30052838	-nan 
1604460929286	406.00	0.00	0	447.35	30052836	-nan 
1604460931282	408.00	0.00	0	447.33	30052837	-nan 
1604460933277	410.00	0.00	0	447.35	30052842	-nan 
1604460935273	412.00	0.00	0	447.24	30052766	-nan 
1604460937268	414.00	0.00	0	447.35	30052818	-nan 
1604460939264	416.00	0.00	0	447.35	30052851	-nan 
1604460941259	418.00	0.00	0	447.35	30052859	-nan 
1604460943255	420.00	0.00	0	447.34	30052831	-nan 
1604460945250	422.00	0.00	0	447.28	30052783	-nan 
1604460947246	424.00	0.00	0	447.33	30052819	-nan 
1604460949241	426.00	0.00	0	447.35	30052839	-nan 
1604460951237	428.00	0.00	0	447.35	30052837	-nan 
1604460953232	430.00	0.00	0	447.35	30052861	-nan 
1604460955228	432.00	0.00	0	447.34	30052854	-nan 
1604460957223	434.00	0.00	0	447.31	30052803	-nan 
1604460959219	436.00	0.00	0	447.35	30052848	-nan 
