UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604461159239	0.00	0.00	0	0.00	0	-nan 
1604461161234	2.00	0.00	5	0.00	4	-nan 
1604461163230	4.00	0.00	0	0.00	0	-nan 
1604461165225	6.00	0.00	0	0.00	0	-nan 
1604461167221	8.00	0.00	0	0.00	0	-nan 
1604461169216	10.00	0.00	0	0.00	0	-nan 
1604461171212	12.00	0.00	0	0.00	0	-nan 
1604461173207	14.00	0.00	0	0.00	0	-nan 
1604461175203	16.00	0.00	0	0.00	0	-nan 
1604461177198	18.00	0.00	0	0.00	0	-nan 
1604461179194	20.00	0.00	0	0.00	0	-nan 
1604461181189	22.00	0.00	0	0.00	0	-nan 
1604461183185	24.00	0.00	0	0.00	0	-nan 
1604461185180	26.00	0.00	0	0.00	0	-nan 
1604461187176	28.00	0.00	0	0.00	0	-nan 
1604461189171	30.00	0.00	0	0.00	0	-nan 
1604461191167	32.00	0.00	0	0.00	0	-nan 
1604461193162	34.00	0.00	0	0.00	0	-nan 
1604461195158	36.00	0.06	73	0.15	73	-nan 
1604461197153	38.00	0.88	1110	2.21	1110	-nan 
1604461199149	40.00	0.88	1110	2.21	1110	-nan 
1604461201144	42.00	0.88	1110	2.21	1110	-nan 
1604461203140	44.00	0.88	1110	2.21	1110	-nan 
1604461205135	46.00	0.88	1111	2.21	1111	-nan 
1604461207131	48.00	0.88	1110	2.21	1110	-nan 
1604461209126	50.00	0.88	1110	2.21	1110	-nan 
1604461211122	52.00	0.88	1110	2.21	1110	-nan 
1604461213118	54.00	0.88	1110	2.21	1110	-nan 
1604461215113	56.00	0.88	1109	2.21	1110	-nan 
1604461217109	58.00	0.88	1110	2.21	1110	-nan 
1604461219104	60.00	0.88	1110	2.21	1110	-nan 
1604461221100	62.00	0.88	1110	2.21	1110	-nan 
1604461223095	64.00	0.88	1110	2.21	1110	-nan 
1604461225091	66.00	0.88	1110	2.21	1110	-nan 
1604461227086	68.00	0.88	1110	2.21	1110	-nan 
1604461229082	70.00	0.88	1110	2.21	1110	-nan 
1604461231077	72.00	0.88	1110	2.21	1110	-nan 
1604461233073	74.00	0.88	1111	2.21	1110	-nan 
1604461235068	76.00	0.88	1110	2.21	1110	-nan 
1604461237064	78.00	0.88	1111	2.21	1111	-nan 
1604461239059	80.00	0.88	1110	2.21	1110	-nan 
1604461241055	82.00	0.88	1111	2.21	1111	-nan 
1604461243050	84.00	0.88	1110	2.21	1110	-nan 
1604461245046	86.00	0.88	1111	2.21	1111	-nan 
1604461247041	88.00	0.88	1110	2.21	1110	-nan 
1604461249037	90.00	0.88	1110	2.21	1110	-nan 
1604461251032	92.00	0.88	1110	2.21	1110	-nan 
1604461253028	94.00	0.88	1110	2.21	1110	-nan 
1604461255023	96.00	0.88	1110	2.21	1110	-nan 
1604461257019	98.00	0.88	1110	2.21	1110	-nan 
1604461259014	100.00	0.75	1110	2.06	1110	-nan 
1604461261010	102.00	0.65	1114	1.95	1113	-nan 
1604461263006	104.00	0.65	1111	1.95	1111	-nan 
1604461265001	106.00	0.65	1110	1.95	1110	-nan 
1604461266997	108.00	0.65	1110	1.95	1110	-nan 
1604461268992	110.00	0.65	1110	1.95	1110	-nan 
1604461270988	112.00	0.65	1110	1.95	1110	-nan 
1604461272983	114.00	0.65	1110	1.95	1110	-nan 
1604461274979	116.00	0.65	1110	1.95	1110	-nan 
1604461276974	118.00	0.65	1111	1.95	1111	-nan 
1604461278970	120.00	0.65	1110	1.95	1110	-nan 
1604461280965	122.00	0.65	1110	1.95	1110	-nan 
1604461282961	124.00	0.65	1111	1.95	1111	-nan 
1604461284956	126.00	0.65	1110	1.95	1110	-nan 
1604461286952	128.00	0.65	1110	1.95	1110	-nan 
1604461288947	130.00	0.65	1111	1.95	1111	-nan 
1604461290943	132.00	0.65	1110	1.95	1110	-nan 
1604461292938	134.00	0.65	1110	1.95	1110	-nan 
1604461294934	136.00	0.65	1111	1.95	1111	-nan 
1604461296929	138.00	0.65	1110	1.95	1110	-nan 
1604461298925	140.00	0.65	1110	1.95	1110	-nan 
1604461300920	142.00	0.65	1111	1.95	1111	-nan 
1604461302916	144.00	0.65	1110	1.95	1110	-nan 
1604461304911	146.00	0.65	1110	1.95	1110	-nan 
1604461306907	148.00	0.65	1110	1.95	1110	-nan 
1604461308902	150.00	0.65	1110	1.95	1110	-nan 
1604461310898	152.00	0.65	1110	1.95	1110	-nan 
1604461312893	154.00	0.65	1110	1.95	1110	-nan 
1604461314889	156.00	0.65	1110	1.95	1110	-nan 
1604461316885	158.00	0.65	1110	1.95	1110	-nan 
1604461318880	160.00	0.65	1110	1.95	1110	-nan 
1604461320876	162.00	0.62	1063	1.86	1064	-nan 
1604461322871	164.00	0.00	0	0.00	0	-nan 
1604461324867	166.00	0.00	0	0.00	0	-nan 
1604461326862	168.00	0.00	0	0.00	0	-nan 
1604461328858	170.00	0.00	0	0.00	0	-nan 
1604461330853	172.00	0.00	0	0.00	0	-nan 
1604461332849	174.00	0.00	0	0.00	0	-nan 
1604461334844	176.00	0.00	0	0.00	0	-nan 
1604461336840	178.00	0.00	0	16000.13	5172481	-nan 
1604461338835	180.00	0.00	0	3885.10	12147992	-nan 
1604461340831	182.00	0.00	0	3885.08	12147989	-nan 
1604461342826	184.00	0.00	0	3885.09	12147976	-nan 
1604461344822	186.00	0.00	0	3885.08	12147982	-nan 
1604461346817	188.00	0.00	0	3885.08	12147984	-nan 
1604461348813	190.00	0.00	0	3885.09	12147988	-nan 
1604461350808	192.00	0.00	0	3885.09	12147983	-nan 
1604461352804	194.00	0.00	0	3885.30	12147932	-nan 
1604461354799	196.00	0.00	0	3884.85	12148041	-nan 
1604461356795	198.00	0.00	0	3885.14	12147985	-nan 
1604461358790	200.00	0.00	0	3885.05	12147976	-nan 
1604461360786	202.00	0.00	0	3885.10	12147985	-nan 
1604461362781	204.00	0.00	0	3885.10	12147997	-nan 
1604461364777	206.00	0.00	0	3885.05	12147975	-nan 
1604461366772	208.00	0.00	0	3885.03	12147970	-nan 
1604461368768	210.00	0.00	0	3885.08	12147984	-nan 
1604461370764	212.00	0.00	0	3885.07	12147973	-nan 
1604461372759	214.00	0.00	0	3885.09	12147986	-nan 
1604461374755	216.00	0.00	0	3885.09	12147990	-nan 
1604461376750	218.00	0.00	0	3885.08	12147988	-nan 
1604461378746	220.00	0.00	0	3885.08	12147979	-nan 
1604461380741	222.00	0.00	0	3885.08	12147983	-nan 
1604461382737	224.00	0.00	0	3885.03	12147977	-nan 
1604461384732	226.00	0.00	0	3885.08	12147970	-nan 
1604461386728	228.00	0.00	0	3885.09	12147998	-nan 
1604461388723	230.00	0.00	0	3885.09	12147976	-nan 
1604461390719	232.00	0.00	0	3884.66	12147851	-nan 
1604461392714	234.00	0.00	0	3885.09	12147976	-nan 
1604461394710	236.00	0.00	0	3885.07	12147982	-nan 
1604461396705	238.00	0.00	0	3885.04	12147980	-nan 
1604461398701	240.00	0.00	0	3885.09	12147983	-nan 
1604461400696	242.00	0.00	0	3885.08	12147983	-nan 
1604461402692	244.00	0.00	0	3885.09	12147983	-nan 
1604461404687	246.00	0.00	0	3885.27	12147989	-nan 
1604461406683	248.00	0.00	0	3884.91	12147980	-nan 
1604461408678	250.00	0.00	0	3885.09	12147984	-nan 
1604461410674	252.00	0.00	0	3885.08	12147980	-nan 
1604461412669	254.00	0.00	0	3885.85	12147996	-nan 
1604461414665	256.00	0.00	0	3884.31	12147982	-nan 
1604461416660	258.00	0.00	0	3885.06	12147985	-nan 
1604461418656	260.00	0.00	0	3885.07	12147982	-nan 
1604461420651	262.00	0.00	0	3885.09	12147988	-nan 
1604461422647	264.00	0.00	0	3885.09	12147979	-nan 
1604461424643	266.00	0.00	0	3885.10	12147985	-nan 
1604461426638	268.00	0.00	0	3885.07	12147983	-nan 
1604461428634	270.00	0.00	0	3885.05	12147984	-nan 
1604461430629	272.00	0.00	0	3885.09	12147990	-nan 
1604461432625	274.00	0.00	0	3885.08	12147984	-nan 
1604461434620	276.00	0.00	0	3885.10	12147984	-nan 
1604461436616	278.00	0.00	0	3885.07	12147975	-nan 
1604461438611	280.00	0.00	0	3885.07	12147989	-nan 
1604461440607	282.00	0.00	0	3885.12	12147982	-nan 
1604461442602	284.00	0.00	0	3885.05	12147977	-nan 
1604461444598	286.00	0.00	0	3885.07	12147986	-nan 
1604461446593	288.00	0.00	0	3885.01	12147958	-nan 
1604461448589	290.00	0.00	0	3885.09	12147984	-nan 
1604461450584	292.00	0.00	0	3885.03	12147963	-nan 
1604461452580	294.00	0.00	0	3885.01	12147972	-nan 
1604461454575	296.00	0.00	0	30711.37	9928215	-nan 
1604461456571	298.00	0.00	0	0.00	0	-nan 
1604461458566	300.00	0.00	0	0.00	0	-nan 
1604461460562	302.00	0.00	0	0.00	0	-nan 
1604461462557	304.00	0.00	0	0.00	0	-nan 
1604461464553	306.00	0.00	0	0.00	0	-nan 
1604461466548	308.00	0.00	0	0.00	0	-nan 
1604461468544	310.00	0.00	0	0.00	0	-nan 
1604461470539	312.00	0.00	0	0.00	0	-nan 
1604461472535	314.00	0.00	0	0.00	0	-nan 
1604461474530	316.00	0.00	0	0.00	0	-nan 
1604461476526	318.00	0.00	0	0.00	0	-nan 
1604461478521	320.00	0.00	0	0.00	0	-nan 
1604461480517	322.00	0.00	0	0.00	0	-nan 
1604461482513	324.00	0.00	0	0.00	0	-nan 
1604461484508	326.00	0.00	0	0.00	0	-nan 
1604461486504	328.00	0.00	0	0.00	0	-nan 
1604461488499	330.00	0.00	0	0.00	0	-nan 
1604461490495	332.00	0.00	0	0.00	0	-nan 
1604461492490	334.00	0.00	0	0.00	0	-nan 
1604461494486	336.00	0.00	0	0.00	0	-nan 
1604461496481	338.00	0.00	0	0.00	0	-nan 
1604461498477	340.00	0.00	0	0.00	0	-nan 
1604461500472	342.00	0.00	0	0.00	0	-nan 
1604461502468	344.00	0.00	0	0.00	0	-nan 
1604461504463	346.00	0.00	0	0.00	0	-nan 
1604461506459	348.00	0.00	0	0.00	0	-nan 
1604461508454	350.00	0.00	0	0.00	0	-nan 
1604461510450	352.00	0.00	0	0.00	0	-nan 
1604461512445	354.00	0.00	0	0.00	0	-nan 
1604461514441	356.00	0.00	0	0.00	0	-nan 
1604461516436	358.00	0.00	0	0.00	0	-nan 
1604461518432	360.00	0.00	0	0.00	0	-nan 
1604461520427	362.00	0.00	0	0.00	0	-nan 
1604461522423	364.00	0.00	0	0.00	0	-nan 
1604461524418	366.00	0.00	0	0.00	0	-nan 
1604461526414	368.00	0.00	0	0.00	0	-nan 
1604461528409	370.00	0.00	0	0.00	0	-nan 
1604461530405	372.00	0.00	0	0.00	0	-nan 
1604461532400	374.00	0.00	0	0.00	0	-nan 
1604461534396	376.00	0.00	0	0.00	0	-nan 
1604461536391	378.00	0.00	0	0.00	0	-nan 
1604461538387	380.00	0.00	0	0.00	0	-nan 
1604461540383	382.00	0.00	0	0.00	0	-nan 
1604461542378	384.00	0.00	0	0.00	0	-nan 
1604461544374	386.00	0.00	0	0.00	0	-nan 
1604461546369	388.00	0.00	0	0.00	0	-nan 
1604461548365	390.00	0.00	0	0.00	0	-nan 
1604461550360	392.00	0.00	0	0.00	0	-nan 
1604461552356	394.00	0.00	0	0.00	0	-nan 
1604461554351	396.00	0.00	0	0.00	0	-nan 
1604461556347	398.00	0.00	0	0.00	0	-nan 
1604461558342	400.00	0.00	0	0.00	0	-nan 
1604461560338	402.00	0.00	0	0.00	0	-nan 
1604461562333	404.00	0.00	0	0.00	0	-nan 
1604461564329	406.00	0.00	0	0.00	0	-nan 
1604461566324	408.00	0.00	0	0.00	0	-nan 
1604461568320	410.00	0.00	0	0.00	0	-nan 
1604461570315	412.00	0.00	0	0.00	0	-nan 
1604461572311	414.00	0.00	0	0.00	0	-nan 
1604461574306	416.00	0.00	0	0.00	0	-nan 
1604461576302	418.00	0.00	0	0.00	0	-nan 
1604461578297	420.00	0.00	0	0.00	0	-nan 
1604461580293	422.00	0.00	0	0.00	0	-nan 
1604461582288	424.00	0.00	0	0.00	0	-nan 
1604461584284	426.00	0.00	0	0.00	0	-nan 
1604461586279	428.00	0.00	0	0.00	0	-nan 
1604461588275	430.00	0.00	0	1858.22	3006668	-nan 
1604461590270	432.00	0.00	0	5579.75	3321418	-nan 
1604461592266	434.00	0.00	0	5579.80	3321420	-nan 
1604461594262	436.00	0.00	0	5579.77	3321419	-nan 
1604461596257	438.00	0.00	0	5579.79	3321419	-nan 
1604461598253	440.00	0.00	0	5579.73	3321413	-nan 
1604461600248	442.00	0.00	0	5579.75	3321418	-nan 
1604461602244	444.00	0.00	0	5579.79	3321420	-nan 
1604461604239	446.00	0.00	0	5579.79	3321420	-nan 
1604461606235	448.00	0.00	0	5579.78	3321417	-nan 
1604461608230	450.00	0.00	0	5579.72	3321415	-nan 
1604461610226	452.00	0.00	0	5579.77	3321418	-nan 
1604461612221	454.00	0.00	0	5579.80	3321419	-nan 
1604461614217	456.00	0.00	0	5579.79	3321422	-nan 
1604461616212	458.00	0.00	0	5579.77	3321418	-nan 
1604461618208	460.00	0.00	0	5579.65	3321408	-nan 
1604461620203	462.00	0.00	0	5579.70	3321412	-nan 
1604461622199	464.00	0.00	0	5579.77	3321417	-nan 
1604461624194	466.00	0.00	0	5579.70	3321412	-nan 
1604461626190	468.00	0.00	0	5579.78	3321419	-nan 
1604461628185	470.00	0.00	0	5579.77	3321419	-nan 
1604461630181	472.00	0.00	0	5579.79	3321420	-nan 
1604461632176	474.00	0.00	0	5579.21	3321370	-nan 
1604461634172	476.00	0.00	0	5579.82	3321420	-nan 
1604461636167	478.00	0.00	0	5579.75	3321419	-nan 
1604461638163	480.00	0.00	0	5579.78	3321420	-nan 
1604461640158	482.00	0.00	0	5579.80	3321419	-nan 
1604461642154	484.00	0.00	0	5579.77	3321417	-nan 
1604461644149	486.00	0.00	0	5579.83	3321422	-nan 
1604461646145	488.00	0.00	0	5579.69	3321412	-nan 
1604461648140	490.00	0.00	0	5579.78	3321418	-nan 
1604461650136	492.00	0.00	0	5579.79	3321422	-nan 
1604461652132	494.00	0.00	0	5579.78	3321418	-nan 
1604461654127	496.00	0.00	0	5579.79	3321420	-nan 
1604461656123	498.00	0.00	0	5579.77	3321418	-nan 
1604461658118	500.00	0.00	0	5579.80	3321420	-nan 
1604461660114	502.00	0.00	0	5579.79	3321419	-nan 
1604461662109	504.00	0.00	0	5579.82	3321418	-nan 
1604461664105	506.00	0.00	0	5579.73	3321421	-nan 
1604461666100	508.00	0.00	0	5579.46	3321390	-nan 
1604461668096	510.00	0.00	0	5579.78	3321421	-nan 
1604461670091	512.00	0.00	0	5579.32	3321381	-nan 
1604461672087	514.00	0.00	0	5579.79	3321419	-nan 
1604461674082	516.00	0.00	0	5579.78	3321419	-nan 
1604461676078	518.00	0.00	0	5579.81	3321419	-nan 
1604461678073	520.00	0.00	0	5579.74	3321418	-nan 
1604461680069	522.00	0.00	0	5579.77	3321417	-nan 
1604461682064	524.00	0.00	0	5579.67	3321410	-nan 
1604461684060	526.00	0.00	0	5579.77	3321416	-nan 
1604461686055	528.00	0.00	0	5579.77	3321402	-nan 
1604461688051	530.00	0.00	0	5579.81	3321438	-nan 
1604461690046	532.00	0.00	0	5579.77	3321417	-nan 
1604461692042	534.00	0.00	0	5579.23	3321373	-nan 
1604461694037	536.00	0.00	0	5579.74	3321415	-nan 
1604461696033	538.00	0.00	0	5579.77	3321421	-nan 
1604461698028	540.00	0.00	0	5579.79	3321418	-nan 
1604461700024	542.00	0.00	0	5579.78	3321421	-nan 
1604461702019	544.00	0.00	0	5579.77	3321419	-nan 
1604461704015	546.00	0.00	0	5579.79	3321419	-nan 
1604461706010	548.00	0.00	0	30988.05	2620773	-nan 
1604461708006	550.00	0.00	0	0.00	0	-nan 
1604461710001	552.00	0.00	0	0.00	0	-nan 
1604461711997	554.00	0.00	0	0.00	0	-nan 
1604461713993	556.00	0.00	0	0.00	0	-nan 
1604461715988	558.00	0.00	0	0.00	0	-nan 
1604461717984	560.00	0.00	0	0.00	0	-nan 
1604461719979	562.00	0.00	0	0.00	0	-nan 
