UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604417997615	0.00	0.00	0	0.00	0	-nan 
1604417999611	2.00	0.00	1	0.00	2	-nan 
1604418001606	4.00	0.00	0	0.00	0	-nan 
1604418003602	6.00	0.00	0	0.00	0	-nan 
1604418005597	8.00	0.00	4	0.00	3	-nan 
1604418007593	10.00	0.00	0	0.00	0	-nan 
1604418009588	12.00	0.00	0	0.00	0	-nan 
1604418011584	14.00	0.00	0	0.00	0	-nan 
1604418013579	16.00	0.00	0	0.00	0	-nan 
1604418015575	18.00	0.00	0	0.00	0	-nan 
1604418017570	20.00	0.00	0	0.00	0	-nan 
1604418019566	22.00	0.00	0	0.00	0	-nan 
1604418021561	24.00	0.00	0	0.00	0	-nan 
1604418023557	26.00	0.00	0	0.00	0	-nan 
1604418025552	28.00	0.00	0	0.00	0	-nan 
1604418027548	30.00	0.00	0	0.00	0	-nan 
1604418029544	32.00	0.00	0	0.00	0	-nan 
1604418031539	34.00	0.00	0	0.00	0	-nan 
1604418033535	36.00	0.00	0	0.00	0	-nan 
1604418035530	38.00	0.00	0	0.00	0	-nan 
1604418037526	40.00	0.00	0	0.00	0	-nan 
1604418039521	42.00	0.00	0	0.00	0	-nan 
1604418041517	44.00	0.00	0	0.00	0	-nan 
1604418043512	46.00	0.29	361	0.72	361	-nan 
1604418045508	48.00	0.53	666	1.33	666	-nan 
1604418047503	50.00	0.53	666	1.33	666	-nan 
1604418049499	52.00	0.53	666	1.33	666	-nan 
1604418051494	54.00	0.53	666	1.33	666	-nan 
1604418053490	56.00	0.53	666	1.33	666	-nan 
1604418055485	58.00	0.53	666	1.33	666	-nan 
1604418057481	60.00	0.53	666	1.33	666	-nan 
1604418059476	62.00	0.53	666	1.33	666	-nan 
1604418061472	64.00	0.53	666	1.33	666	-nan 
1604418063467	66.00	0.53	666	1.33	666	-nan 
1604418065463	68.00	0.53	666	1.33	666	-nan 
1604418067458	70.00	0.53	666	1.33	666	-nan 
1604418069454	72.00	0.53	666	1.33	666	-nan 
1604418071449	74.00	0.53	666	1.33	666	-nan 
1604418073445	76.00	0.53	666	1.33	666	-nan 
1604418075440	78.00	0.53	666	1.33	666	-nan 
1604418077436	80.00	0.53	666	1.33	666	-nan 
1604418079431	82.00	0.53	666	1.33	666	-nan 
1604418081427	84.00	0.53	666	1.33	666	-nan 
1604418083422	86.00	0.53	666	1.33	666	-nan 
1604418085418	88.00	0.53	666	1.33	666	-nan 
1604418087413	90.00	0.53	666	1.33	666	-nan 
1604418089409	92.00	0.53	666	1.33	666	-nan 
1604418091404	94.00	0.53	666	1.33	666	-nan 
1604418093400	96.00	0.53	666	1.33	666	-nan 
1604418095395	98.00	0.53	666	1.33	666	-nan 
1604418097391	100.00	0.53	666	1.33	666	-nan 
1604418099386	102.00	0.53	667	1.33	666	-nan 
1604418101382	104.00	0.53	666	1.33	666	-nan 
1604418103377	106.00	0.53	666	1.33	666	-nan 
1604418105373	108.00	0.53	670	1.33	669	-nan 
1604418107368	110.00	0.53	666	1.33	666	-nan 
1604418109364	112.00	0.53	666	1.33	666	-nan 
1604418111359	114.00	0.53	666	1.33	666	-nan 
1604418113355	116.00	0.53	666	1.33	666	-nan 
1604418115350	118.00	0.53	666	1.33	666	-nan 
1604418117346	120.00	0.53	666	1.33	666	-nan 
