Elapsed_seconds	Rx-Mbps_[with_hdr]
0.00	0.00
0.50	0.00
1.00	0.00
1.50	0.00
2.00	0.00
2.50	0.00
3.00	0.00
3.50	0.00
4.00	0.00
4.50	0.00
5.00	0.00
5.50	0.00
6.00	0.00
6.50	0.00
7.00	0.00
7.50	0.00
8.00	0.00
8.50	0.00
9.00	0.00
9.50	0.00
10.00	0.00
10.50	0.00
11.00	0.00
11.50	0.00
12.00	0.00
12.50	0.00
13.00	0.00
13.50	0.00
14.00	0.00
14.50	0.00
15.00	0.00
15.50	0.00
16.00	0.00
16.50	0.00
17.00	0.00
17.50	0.00
18.00	0.00
18.50	0.00
19.00	0.00
19.50	0.00
20.00	0.00
20.50	0.00
21.00	0.00
21.50	0.00
22.00	0.00
22.50	0.00
23.00	0.00
23.50	0.00
24.00	0.00
24.50	0.00
25.00	0.00
25.50	0.00
26.00	0.00
26.50	0.00
27.00	0.00
27.50	0.00
28.00	0.00
28.50	0.00
29.00	0.00
29.50	0.00
30.00	0.00
30.50	0.00
31.00	0.00
31.50	0.00
32.00	0.00
32.50	0.00
33.00	0.00
33.50	0.00
34.00	0.00
34.50	0.00
35.00	0.00
35.50	0.00
36.00	0.00
36.50	0.00
37.00	0.00
37.50	0.00
38.00	0.00
38.50	0.00
39.00	0.00
39.50	0.00
40.00	0.00
40.50	0.00
41.00	0.00
41.50	0.00
42.00	0.00
42.50	0.00
43.00	0.00
43.50	0.00
44.00	0.00
44.50	0.00
45.00	0.00
45.50	0.00
46.00	0.00
46.50	0.00
47.00	0.00
47.50	0.00
48.00	0.00
48.50	0.00
49.00	0.00
49.50	0.00
50.00	0.00
50.50	0.00
51.00	0.00
51.50	0.00
52.00	0.00
52.50	0.00
53.00	0.00
53.50	0.00
54.00	0.00
54.50	0.00
55.00	0.00
55.50	0.00
56.00	0.00
56.50	0.00
57.00	0.00
57.50	0.00
58.00	0.00
58.50	0.00
59.00	0.00
59.50	0.00
60.00	0.00
60.50	0.00
61.00	0.00
61.50	0.00
62.00	0.00
62.50	0.00
63.00	0.00
63.50	0.00
64.00	0.00
64.50	0.00
65.00	1582.77
65.50	3754.82
66.00	3741.76
66.50	3738.37
67.00	3737.87
67.50	3733.84
68.00	3731.98
68.50	3733.26
69.00	3732.49
69.50	3733.16
70.00	3731.20
70.50	3731.20
71.00	3730.65
71.50	3730.89
