Elapsed_seconds	Tx-Mbps_[with_hdr]
0.00	0.00
0.50	0.02
1.00	0.00
1.50	0.00
2.00	0.00
2.50	0.01
3.00	0.00
3.50	0.00
4.00	0.00
4.50	0.00
5.00	0.00
5.50	0.00
6.00	0.00
6.50	0.00
7.00	0.00
7.50	0.00
8.00	0.00
8.50	0.00
9.00	0.00
9.50	0.00
10.00	0.00
10.50	0.00
11.00	0.00
11.50	0.00
12.00	0.00
12.50	0.00
13.00	0.00
13.50	0.00
14.00	0.00
14.50	0.00
15.00	0.00
15.50	0.00
16.00	0.00
16.50	0.00
17.00	0.00
17.50	0.00
18.00	0.00
18.50	0.00
19.00	0.00
19.50	0.00
20.00	0.00
20.50	0.00
21.00	0.00
21.50	0.00
22.00	0.00
22.50	0.00
23.00	0.00
23.50	0.00
24.00	0.00
24.50	0.00
25.00	0.00
25.50	0.00
26.00	0.00
26.50	0.00
27.00	0.00
27.50	0.00
28.00	0.00
28.50	0.00
29.00	0.00
29.50	0.00
30.00	0.00
30.50	0.00
31.00	0.00
31.50	0.00
32.00	0.90
32.50	1.00
33.00	1.00
33.50	1.00
34.00	0.90
34.50	0.88
35.00	0.88
35.50	0.88
36.00	0.25
36.50	0.00
37.00	0.00
37.50	0.00
38.00	0.00
38.50	0.00
39.00	0.00
39.50	0.00
40.00	0.00
40.50	0.00
41.00	0.00
41.50	0.00
42.00	0.00
42.50	0.00
43.00	0.00
43.50	0.00
44.00	0.00
44.50	0.00
45.00	0.00
45.50	0.00
46.00	0.00
46.50	0.00
47.00	0.00
47.50	0.00
48.00	0.00
48.50	0.00
49.00	0.00
49.50	0.00
50.00	0.00
50.50	0.00
51.00	0.00
51.50	0.00
52.00	0.00
52.50	0.00
53.00	0.00
53.50	0.00
54.00	0.00
54.50	0.00
55.00	0.00
55.50	0.00
56.00	0.00
56.50	0.00
57.00	0.00
57.50	0.00
58.00	0.00
58.50	0.00
59.00	0.00
59.50	0.00
60.00	0.00
60.50	0.00
61.00	0.00
61.50	0.00
62.00	0.00
62.50	0.00
63.00	0.00
63.50	0.00
64.00	0.00
64.50	0.00
65.00	0.00
65.50	0.00
66.00	0.00
66.50	0.00
67.00	0.00
67.50	0.00
68.00	0.00
68.50	0.00
69.00	0.00
69.50	0.00
70.00	0.00
70.50	0.00
71.00	0.00
71.50	0.00
72.00	0.00
72.50	0.00
73.00	0.00
73.50	0.00
74.00	0.00
74.50	0.00
75.00	0.00
75.50	0.00
76.00	0.00
76.50	0.00
77.00	0.00
77.50	0.00
78.00	0.00
78.50	0.00
79.00	0.00
79.50	0.00
80.00	0.00
80.50	0.00
81.00	0.00
81.50	0.00
82.00	0.00
82.50	0.00
83.00	0.00
83.50	0.00
84.00	0.00
84.50	0.00
85.00	0.00
85.50	1069.91
86.00	2524.58
86.50	2524.36
87.00	2524.28
87.50	2524.65
88.00	2524.61
88.50	2524.53
89.00	2524.53
89.50	2524.18
90.00	2524.21
90.50	2524.21
91.00	2524.14
91.50	2524.35
92.00	2524.36
92.50	2524.36
93.00	2524.43
93.50	2524.49
94.00	2524.43
94.50	2524.58
95.00	2524.56
95.50	2524.43
96.00	2524.35
96.50	2524.58
97.00	2524.36
97.50	2524.21
98.00	2524.51
98.50	2524.33
99.00	2524.53
99.50	2524.50
100.00	2524.45
100.50	2524.41
101.00	2524.43
101.50	2524.27
102.00	2524.14
102.50	2524.21
103.00	2524.06
103.50	2524.43
104.00	2524.35
104.50	2524.36
105.00	2524.42
105.50	2524.50
106.00	2524.43
106.50	2524.42
107.00	2524.50
107.50	2524.57
108.00	2524.43
108.50	2523.62
109.00	2524.34
109.50	2524.45
110.00	2524.50
110.50	2524.43
111.00	2524.28
111.50	2524.43
112.00	2524.59
112.50	2524.48
113.00	2524.57
113.50	2524.29
114.00	2524.58
114.50	2524.35
115.00	2524.57
115.50	2524.64
116.00	2524.36
116.50	2524.57
117.00	2524.35
117.50	2524.41
118.00	2524.45
118.50	2524.64
119.00	2523.55
119.50	2524.44
120.00	2524.42
120.50	2524.43
121.00	2524.57
121.50	2524.48
122.00	2524.59
122.50	2524.43
123.00	2524.50
123.50	2524.49
124.00	2524.43
124.50	2524.43
125.00	2524.58
125.50	2524.57
