Elapsed_seconds	Tx-Mbps_[with_hdr]
0.00	0.00
0.50	0.01
1.00	0.00
1.50	0.00
2.00	0.00
2.50	0.00
3.00	0.00
3.50	0.01
4.00	0.00
4.50	0.00
5.00	0.00
5.50	0.00
6.00	0.00
6.50	0.00
7.00	0.00
7.50	0.00
8.00	0.00
8.50	0.00
9.00	0.00
9.50	0.00
10.00	0.00
10.50	0.00
11.00	0.00
11.50	0.00
12.00	0.00
12.50	0.00
13.00	0.00
13.50	0.00
14.00	0.00
14.50	0.00
15.00	0.00
15.50	0.00
16.00	0.00
16.50	0.00
17.00	0.00
17.50	0.00
18.00	0.00
18.50	0.00
19.00	0.00
19.50	0.00
20.00	0.00
20.50	0.00
21.00	0.00
21.50	0.00
22.00	0.00
22.50	0.00
23.00	0.00
23.50	0.00
24.00	0.00
24.50	0.00
25.00	0.00
25.50	0.00
26.00	0.00
26.50	0.00
27.00	0.00
27.50	0.00
28.00	0.00
28.50	0.18
29.00	1.00
29.50	0.99
30.00	1.00
30.50	0.99
31.00	0.88
31.50	0.88
32.00	0.88
32.50	0.87
33.00	0.02
33.50	0.00
34.00	0.00
34.50	0.00
35.00	0.00
35.50	0.00
36.00	0.00
36.50	0.00
37.00	0.00
37.50	0.00
38.00	0.00
38.50	0.00
39.00	0.00
39.50	0.00
40.00	0.00
40.50	0.00
41.00	0.00
41.50	0.00
42.00	0.00
42.50	0.00
43.00	0.00
43.50	0.00
44.00	0.00
44.50	0.00
45.00	0.00
45.50	0.00
46.00	0.00
46.50	0.00
47.00	0.00
47.50	0.00
48.00	0.00
48.50	0.00
49.00	0.00
49.50	0.00
50.00	0.00
50.50	0.00
51.00	0.00
51.50	0.00
52.00	0.00
52.50	0.00
53.00	0.00
53.50	0.00
54.00	0.00
54.50	0.00
55.00	0.00
55.50	0.00
56.00	0.00
56.50	0.00
57.00	0.00
57.50	0.00
58.00	0.00
58.50	0.00
59.00	0.00
59.50	0.00
60.00	0.00
60.50	811.75
61.00	5024.71
61.50	5017.10
62.00	5006.90
62.50	5006.32
63.00	5002.77
63.50	4999.84
64.00	4999.49
64.50	4998.70
65.00	4999.85
65.50	4999.28
66.00	4994.98
66.50	4998.87
67.00	4999.75
67.50	4995.27
68.00	4999.57
68.50	4999.46
69.00	4999.50
69.50	4999.85
70.00	5000.01
70.50	4999.92
71.00	5000.43
71.50	5000.44
72.00	5000.51
72.50	5000.58
73.00	5000.59
73.50	5000.58
74.00	5000.51
74.50	5000.59
75.00	5000.22
75.50	5000.28
76.00	5000.50
76.50	4994.78
77.00	4999.35
77.50	5000.37
78.00	5000.35
78.50	5000.02
79.00	4999.76
79.50	5000.29
80.00	4999.93
80.50	5000.43
81.00	4999.21
81.50	4999.76
82.00	5000.00
82.50	4999.78
83.00	4999.64
83.50	5000.14
84.00	4999.70
84.50	5000.23
85.00	5000.10
85.50	5000.34
86.00	5000.25
86.50	5000.17
87.00	5000.23
87.50	5000.44
88.00	5000.15
88.50	5000.56
89.00	5000.70
89.50	5000.62
90.00	5000.29
90.50	5000.48
91.00	5000.39
91.50	5000.72
92.00	5000.43
92.50	5000.51
93.00	4999.50
93.50	5000.21
94.00	5000.36
94.50	5000.16
95.00	4999.91
95.50	4999.73
96.00	4999.54
96.50	5000.23
97.00	5000.21
97.50	5000.47
98.00	5000.48
98.50	5000.06
99.00	4999.75
99.50	5000.18
100.00	5000.50
100.50	4999.72
101.00	5000.41
101.50	5000.46
102.00	5000.21
102.50	5000.59
103.00	5000.00
103.50	5000.00
104.00	5000.36
104.50	4999.20
105.00	4999.40
105.50	4999.94
106.00	5000.22
106.50	5000.36
107.00	5000.15
107.50	5000.07
108.00	5000.29
108.50	5000.58
109.00	5000.08
109.50	5000.10
110.00	5000.25
110.50	5000.29
111.00	4999.50
111.50	5000.78
112.00	5000.49
112.50	5000.33
113.00	5000.40
113.50	5000.25
114.00	5000.27
114.50	5000.53
115.00	5000.42
115.50	5000.73
116.00	5000.95
116.50	5000.87
117.00	5000.94
117.50	5001.08
118.00	5000.91
118.50	5001.13
119.00	5000.66
119.50	5001.15
120.00	5000.89
120.50	5948.77
121.00	10709.30
121.50	10710.39
122.00	10711.06
122.50	10710.73
123.00	10708.87
123.50	10709.15
124.00	10711.27
124.50	10712.41
125.00	10712.91
125.50	10710.60
126.00	10709.32
126.50	10703.80
127.00	10709.87
127.50	10709.00
128.00	10711.14
128.50	10712.33
129.00	10710.47
129.50	10709.76
130.00	10710.66
130.50	10710.84
131.00	10711.55
131.50	10711.29
132.00	10712.77
132.50	10713.21
133.00	10712.14
133.50	10712.14
134.00	10714.74
134.50	10714.33
135.00	10711.92
135.50	10709.96
136.00	10712.04
136.50	10703.51
137.00	10712.94
137.50	10712.91
138.00	10712.07
138.50	10712.37
139.00	10710.00
139.50	10710.55
140.00	10710.66
140.50	10710.32
141.00	10709.97
141.50	10710.98
142.00	10710.80
142.50	10711.41
143.00	10712.44
143.50	10713.29
144.00	10710.81
144.50	10711.11
145.00	10712.07
145.50	10713.75
146.00	10713.79
146.50	10710.60
147.00	10710.01
147.50	10710.99
148.00	10712.23
148.50	10710.65
149.00	10713.64
149.50	10713.67
150.00	10714.77
150.50	10712.49
151.00	10711.99
151.50	10712.30
152.00	10711.91
152.50	10708.44
153.00	10710.82
153.50	10711.99
154.00	10713.80
154.50	10713.65
155.00	10713.18
155.50	10713.73
156.00	10710.53
156.50	10710.30
157.00	10710.47
157.50	10712.10
158.00	10712.83
158.50	10711.54
159.00	10711.77
159.50	10712.01
160.00	10711.83
160.50	10713.66
161.00	10712.56
161.50	10713.23
162.00	10712.68
162.50	10713.28
163.00	10712.85
163.50	10712.84
164.00	10708.23
164.50	10705.88
165.00	10708.91
165.50	10712.13
166.00	10709.51
166.50	10711.06
167.00	10709.87
167.50	10712.43
168.00	10711.32
168.50	10710.55
169.00	10711.61
169.50	10711.06
170.00	10712.47
170.50	10713.54
171.00	10710.67
171.50	10715.31
172.00	10713.60
172.50	10713.10
173.00	10713.93
173.50	10713.31
174.00	10714.08
174.50	10711.58
175.00	10713.73
175.50	10714.52
176.00	10713.64
176.50	10711.56
177.00	10712.01
177.50	10712.47
178.00	10709.91
178.50	10709.54
179.00	10709.92
179.50	10711.23
180.00	10712.60
180.50	11594.59
181.00	16023.74
181.50	16021.58
182.00	16028.05
182.50	16026.79
183.00	16010.11
183.50	16021.96
184.00	16026.50
184.50	16029.99
185.00	16026.23
185.50	16026.07
186.00	16026.30
186.50	16012.09
187.00	16024.44
187.50	16022.44
188.00	16024.49
188.50	16023.58
189.00	16021.64
189.50	16020.51
190.00	16024.58
190.50	16027.88
191.00	16023.89
191.50	16021.79
192.00	16020.69
192.50	16026.32
193.00	16023.70
193.50	16023.95
194.00	16025.16
194.50	16027.67
195.00	16028.25
195.50	16023.57
196.00	16024.36
196.50	16028.06
197.00	16010.20
197.50	16025.36
198.00	16022.93
198.50	16028.91
199.00	16026.86
199.50	16019.67
200.00	16019.91
200.50	16024.63
201.00	16026.27
201.50	16020.38
202.00	16025.77
202.50	16028.15
203.00	16022.47
203.50	16024.06
204.00	16025.14
204.50	16021.37
205.00	16024.60
205.50	16022.07
206.00	16025.34
206.50	16018.25
207.00	16021.17
207.50	16025.59
208.00	16025.52
208.50	16027.39
209.00	16024.43
209.50	16023.44
210.00	16018.94
210.50	16022.21
211.00	16024.16
211.50	16027.06
212.00	16024.31
212.50	16030.57
213.00	16026.68
213.50	16026.58
214.00	16027.83
214.50	16028.13
215.00	16029.03
215.50	16018.34
216.00	16018.04
216.50	16021.50
217.00	16026.18
217.50	16022.32
218.00	16023.33
218.50	16023.57
219.00	16021.73
219.50	16017.27
220.00	16026.27
220.50	16028.71
221.00	16027.37
221.50	16029.01
222.00	16029.80
222.50	16028.24
223.00	16027.13
223.50	16027.15
224.00	16027.44
224.50	16027.18
225.00	16028.50
225.50	16031.01
226.00	16031.62
226.50	16028.11
227.00	16023.20
227.50	16030.41
228.00	16031.04
228.50	16024.77
229.00	16028.45
229.50	16026.77
230.00	16025.20
230.50	16024.53
231.00	16028.97
231.50	16022.71
232.00	16023.52
232.50	16022.81
233.00	16029.51
233.50	16030.65
234.00	16026.68
234.50	16028.47
235.00	16030.98
235.50	16030.49
236.00	16030.35
236.50	16030.21
237.00	16027.10
237.50	16025.00
238.00	16024.16
238.50	16027.88
239.00	16030.72
239.50	16022.29
240.00	16028.11
240.50	17046.27
241.00	22155.27
241.50	22161.08
242.00	22157.07
242.50	22161.90
243.00	22153.97
243.50	22161.96
244.00	22165.95
244.50	22162.63
245.00	22158.96
245.50	22155.55
246.00	22163.69
246.50	22142.54
247.00	22163.42
247.50	22166.36
248.00	22159.50
248.50	22160.30
249.00	22165.14
249.50	22157.34
250.00	22161.74
250.50	22156.38
251.00	22155.83
251.50	22151.09
252.00	22170.23
252.50	22160.56
253.00	22156.02
253.50	22154.54
254.00	22158.58
254.50	22155.02
255.00	22162.94
255.50	22156.97
256.00	22146.12
256.50	22162.09
257.00	22133.79
257.50	22157.63
258.00	22149.54
258.50	22156.33
259.00	22168.49
259.50	22165.25
260.00	22147.38
260.50	22132.47
261.00	22141.94
261.50	22135.74
262.00	22138.22
262.50	22136.05
263.00	22140.16
263.50	22136.74
264.00	22165.22
264.50	22163.45
265.00	22157.45
265.50	22156.09
266.00	22165.09
266.50	22162.85
267.00	22161.20
267.50	22157.59
268.00	22160.01
268.50	22166.19
269.00	22163.56
269.50	22160.40
270.00	22163.61
270.50	22166.27
271.00	22162.87
271.50	22160.24
272.00	22153.52
272.50	22158.42
273.00	22170.07
273.50	22163.06
274.00	22162.08
274.50	22161.74
275.00	22158.14
275.50	22155.63
276.00	22159.62
276.50	22152.47
277.00	22157.46
277.50	22162.91
278.00	22159.31
278.50	22156.64
279.00	22163.88
279.50	22163.90
280.00	22162.25
280.50	22160.44
281.00	22158.47
281.50	22163.93
282.00	22164.07
282.50	22162.51
283.00	22161.64
283.50	22165.47
284.00	22154.14
284.50	22137.48
285.00	22140.66
285.50	22139.24
286.00	22136.80
286.50	22134.91
287.00	22128.26
287.50	22140.10
288.00	22156.15
288.50	22158.73
289.00	22154.51
289.50	22159.57
290.00	22165.40
290.50	22153.80
291.00	22159.27
291.50	22143.27
292.00	22160.20
292.50	22157.09
293.00	22160.46
293.50	22157.41
294.00	22158.01
294.50	22166.65
295.00	22152.73
295.50	22155.74
296.00	22159.43
296.50	22158.02
297.00	22155.08
297.50	22155.08
298.00	22164.33
298.50	22172.22
299.00	22173.83
299.50	22159.56
300.00	22160.34
300.50	23269.56
301.00	28779.05
301.50	28793.27
302.00	28796.39
302.50	28778.66
303.00	28789.97
303.50	28785.24
304.00	28784.92
304.50	28795.22
305.00	28780.92
305.50	28787.17
306.00	28791.13
306.50	28759.22
307.00	28788.30
307.50	28785.43
308.00	28790.42
308.50	28793.43
309.00	28789.69
309.50	28789.70
310.00	28775.87
310.50	28789.28
311.00	28785.55
311.50	28787.43
312.00	28785.77
312.50	28782.15
313.00	28791.03
313.50	28790.88
314.00	28777.64
314.50	28793.66
315.00	28791.42
315.50	28783.13
316.00	28800.16
316.50	28781.95
317.00	28753.89
317.50	28795.82
318.00	28787.12
318.50	28788.04
319.00	28792.21
319.50	28780.65
320.00	28786.16
320.50	28777.21
321.00	28787.62
321.50	28779.13
322.00	28793.02
322.50	28789.54
323.00	28792.37
323.50	28794.47
324.00	28795.22
324.50	28804.15
325.00	28800.94
325.50	28788.49
326.00	28803.17
326.50	28800.20
327.00	28792.02
327.50	28789.00
328.00	28799.33
328.50	28796.63
329.00	28795.91
329.50	28797.62
330.00	28789.38
330.50	28790.67
331.00	28803.24
331.50	28776.50
332.00	28783.33
332.50	28788.14
333.00	28787.22
333.50	28788.24
334.00	28791.81
334.50	28780.88
335.00	28788.72
335.50	28790.55
336.00	28793.24
336.50	28782.64
337.00	28802.79
337.50	28788.31
338.00	28784.96
338.50	28793.84
339.00	28791.62
339.50	28779.88
340.00	28791.81
340.50	28782.38
341.00	28783.60
341.50	28778.78
342.00	28785.48
342.50	28785.90
343.00	28781.94
343.50	28784.70
344.00	28782.42
344.50	28787.94
345.00	28786.07
345.50	28782.61
346.00	28788.42
346.50	28786.35
347.00	28783.40
347.50	28782.92
348.00	28782.39
348.50	28779.41
349.00	28787.87
349.50	28777.11
350.00	28778.90
350.50	28785.38
351.00	28785.74
351.50	28777.87
352.00	28785.01
352.50	28781.58
353.00	28785.12
353.50	28782.89
354.00	28790.10
354.50	28779.99
355.00	28795.25
355.50	28778.17
356.00	28783.79
356.50	28784.55
357.00	28780.16
357.50	28791.91
358.00	28784.95
358.50	28783.25
359.00	28785.72
359.50	28789.00
360.00	28791.94
360.50	29677.87
361.00	34139.97
361.50	6009.55
362.00	0.00
362.50	0.00
363.00	0.00
363.50	0.00
364.00	0.00
364.50	0.00
365.00	0.00
365.50	0.00
366.00	0.00
366.50	0.00
367.00	0.00
367.50	0.00
368.00	0.00
368.50	0.00
369.00	0.00
369.50	0.00
