UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604134129848	0.00	0.00	0	0.00	0
1604134130347	0.50	0.00	2	0.00	4
1604134130846	1.00	0.00	0	0.00	0
1604134131345	1.50	0.00	0	0.00	0
1604134131844	2.00	0.00	0	0.00	0
1604134132343	2.50	0.00	0	0.00	0
1604134132842	3.00	0.00	0	0.00	0
1604134133341	3.50	0.00	0	0.00	0
1604134133840	4.00	0.00	0	0.00	0
1604134134339	4.50	0.00	0	0.00	0
1604134134838	5.00	0.00	0	0.00	0
1604134135337	5.50	0.00	0	0.00	0
1604134135836	6.00	0.00	0	0.00	0
1604134136335	6.50	0.00	0	0.00	0
1604134136834	7.00	0.00	0	0.00	0
1604134137332	7.50	0.00	0	0.00	0
1604134137831	8.00	0.00	0	0.00	0
1604134138330	8.50	0.00	0	0.00	0
1604134138829	9.00	0.00	0	0.00	0
1604134139328	9.50	0.00	0	0.00	0
1604134139827	10.00	0.00	0	0.00	0
1604134140326	10.50	0.00	0	0.00	0
1604134140825	11.00	0.00	0	0.00	0
1604134141324	11.50	0.00	0	0.00	0
1604134141823	12.00	0.00	0	0.00	0
1604134142322	12.50	0.00	0	0.00	0
1604134142821	13.00	0.00	0	0.00	0
1604134143320	13.50	0.00	0	0.00	0
1604134143819	14.00	0.00	0	0.00	0
1604134144318	14.50	0.00	0	0.00	0
1604134144817	15.00	0.00	0	0.00	0
1604134145316	15.50	0.00	0	0.00	0
1604134145815	16.00	0.00	0	0.00	0
1604134146314	16.50	0.00	0	0.00	0
1604134146813	17.00	0.00	0	0.00	0
1604134147312	17.50	0.00	0	0.00	0
1604134147811	18.00	0.00	0	0.00	0
1604134148310	18.50	0.00	0	0.00	0
1604134148809	19.00	0.00	0	0.00	0
1604134149308	19.50	0.00	0	0.00	0
1604134149807	20.00	0.00	0	0.00	0
1604134150306	20.50	0.00	0	0.00	0
1604134150805	21.00	0.00	0	0.00	0
1604134151304	21.50	0.00	0	0.00	0
1604134151803	22.00	0.00	0	0.00	0
1604134152302	22.50	0.00	0	0.00	0
1604134152801	23.00	0.00	0	0.00	0
1604134153300	23.50	0.00	0	0.00	0
1604134153799	24.00	0.00	0	0.00	0
1604134154298	24.50	0.00	0	0.00	0
1604134154797	25.00	0.00	0	0.00	0
1604134155296	25.50	0.00	0	0.00	0
1604134155795	26.00	0.00	0	0.00	0
1604134156294	26.50	0.00	0	0.00	0
1604134156793	27.00	0.00	0	0.00	0
1604134157292	27.50	0.00	0	0.00	0
1604134157791	28.00	0.00	0	0.00	0
1604134158290	28.50	0.00	0	0.00	0
1604134158789	29.00	0.00	0	0.00	0
1604134159287	29.50	0.00	0	0.00	0
1604134159786	30.00	0.00	0	0.00	0
1604134160285	30.50	0.00	0	0.00	0
1604134160784	31.00	0.00	0	0.00	0
1604134161283	31.50	0.00	0	0.00	0
1604134161782	32.00	0.00	0	0.00	0
1604134162281	32.50	0.00	0	0.00	0
1604134162780	33.00	0.00	0	0.00	0
1604134163279	33.50	0.00	0	0.00	0
1604134163778	34.00	0.00	0	0.00	0
1604134164277	34.50	0.00	0	0.00	0
1604134164776	35.00	0.00	0	0.00	0
1604134165275	35.50	0.00	0	0.00	0
1604134165774	36.00	0.00	0	0.00	0
1604134166273	36.50	0.00	0	0.00	0
1604134166772	37.00	0.00	0	0.00	0
1604134167271	37.50	0.00	0	0.00	0
1604134167770	38.00	0.00	0	0.00	0
1604134168269	38.50	0.00	0	0.00	0
1604134168768	39.00	0.00	0	0.00	0
1604134169267	39.50	0.00	0	0.00	0
1604134169766	40.00	0.00	0	0.00	0
1604134170265	40.50	0.00	0	0.00	0
1604134170764	41.00	0.00	0	0.00	0
1604134171263	41.50	0.00	0	0.00	0
1604134171762	42.00	0.00	0	0.00	0
1604134172261	42.50	0.00	0	0.00	0
1604134172760	43.00	0.00	0	0.00	0
1604134173259	43.50	0.00	0	0.00	0
1604134173758	44.00	0.00	0	0.00	0
1604134174257	44.50	0.00	0	0.00	0
1604134174756	45.00	0.00	0	0.00	0
1604134175255	45.50	0.00	0	0.00	0
1604134175754	46.00	0.00	0	0.00	0
1604134176253	46.50	0.00	0	0.00	0
1604134176752	47.00	0.00	0	0.00	0
1604134177251	47.50	0.00	0	0.00	0
1604134177750	48.00	0.00	0	0.00	0
1604134178249	48.50	0.00	0	0.00	0
1604134178748	49.00	0.00	0	0.00	0
1604134179247	49.50	0.00	0	0.00	0
1604134179746	50.00	0.00	0	0.00	0
1604134180245	50.50	0.00	0	0.00	0
1604134180744	51.00	0.00	0	0.00	0
1604134181242	51.50	0.00	0	0.00	0
1604134181741	52.00	0.00	0	0.00	0
1604134182240	52.50	0.00	0	0.00	0
1604134182739	53.00	0.00	0	0.00	0
1604134183238	53.50	0.00	0	0.00	0
1604134183737	54.00	0.00	0	0.00	0
1604134184236	54.50	0.00	0	0.00	0
1604134184735	55.00	0.00	0	0.00	0
1604134185234	55.50	0.00	0	0.00	0
1604134185733	56.00	0.00	0	0.00	0
1604134186232	56.50	0.00	0	0.00	0
1604134186731	57.00	0.00	0	0.00	0
1604134187230	57.50	0.00	0	0.00	0
1604134187729	58.00	0.00	0	0.00	0
1604134188228	58.50	0.00	0	0.00	0
1604134188727	59.00	0.00	0	0.00	0
1604134189226	59.50	0.00	0	0.00	0
1604134189725	60.00	0.00	0	0.00	0
1604134190224	60.50	0.00	0	0.00	0
1604134190723	61.00	0.00	0	0.00	0
1604134191222	61.50	0.00	0	0.00	0
1604134191721	62.00	0.00	0	0.00	0
1604134192220	62.50	0.00	0	0.00	0
1604134192719	63.00	0.00	0	0.00	0
1604134193218	63.50	0.00	0	0.00	0
1604134193717	64.00	0.00	0	0.00	0
1604134194216	64.50	0.00	0	0.00	0
1604134194715	65.00	1582.77	1866471	158.23	186597
1604134195214	65.50	3754.82	4427858	375.48	442780
1604134195713	66.00	3741.76	4412451	374.17	441239
1604134196212	66.50	3738.37	4408459	373.83	440839
1604134196711	67.00	3737.87	4407868	373.80	440802
1604134197210	67.50	3733.84	4403115	373.38	440306
1604134197709	68.00	3731.98	4400924	373.22	440114
1604134198208	68.50	3733.26	4402431	373.31	440218
