UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604134134220	0.00	0.00	0	0.00	0	-nan 
1604134134719	0.50	0.00	8	0.01	18	-nan 
1604134135218	1.00	0.00	0	0.00	0	-nan 
1604134135717	1.50	0.00	2	0.00	2	-nan 
1604134136215	2.00	0.00	0	0.00	0	-nan 
1604134136714	2.50	0.00	0	0.00	0	-nan 
1604134137213	3.00	0.00	0	0.00	0	-nan 
1604134137712	3.50	0.02	16	0.01	12	-nan 
1604134138211	4.00	0.00	0	0.00	0	-nan 
1604134138710	4.50	0.00	0	0.00	0	-nan 
1604134139209	5.00	0.00	0	0.00	0	-nan 
1604134139708	5.50	0.00	0	0.00	0	-nan 
1604134140206	6.00	0.00	0	0.00	0	-nan 
1604134140705	6.50	0.00	0	0.00	0	-nan 
1604134141204	7.00	0.00	0	0.00	0	-nan 
1604134141703	7.50	0.00	0	0.00	0	-nan 
1604134142202	8.00	0.00	0	0.00	0	-nan 
1604134142701	8.50	0.00	0	0.00	0	-nan 
1604134143200	9.00	0.00	0	0.00	0	-nan 
1604134143699	9.50	0.00	0	0.00	0	-nan 
1604134144198	10.00	0.00	0	0.00	0	-nan 
1604134144696	10.50	0.00	0	0.00	0	-nan 
1604134145195	11.00	0.00	0	0.00	0	-nan 
1604134145694	11.50	0.00	0	0.00	0	-nan 
1604134146193	12.00	0.00	0	0.00	0	-nan 
1604134146692	12.50	0.00	0	0.00	0	-nan 
1604134147191	13.00	0.00	0	0.00	0	-nan 
1604134147690	13.50	0.00	0	0.00	0	-nan 
1604134148189	14.00	0.00	0	0.00	0	-nan 
1604134148687	14.50	0.00	0	0.00	0	-nan 
1604134149186	15.00	0.00	0	0.00	0	-nan 
1604134149685	15.50	0.00	0	0.00	0	-nan 
1604134150184	16.00	0.00	0	0.00	0	-nan 
1604134150683	16.50	0.00	0	0.00	0	-nan 
1604134151182	17.00	0.00	0	0.00	0	-nan 
1604134151681	17.50	0.00	0	0.00	0	-nan 
1604134152180	18.00	0.00	0	0.00	0	-nan 
1604134152678	18.50	0.00	0	0.00	0	-nan 
