UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604140857432	0.00	0.00	0	0.00	0
1604140857930	0.50	0.00	0	0.00	0
1604140858429	1.00	0.00	0	0.00	0
1604140858928	1.50	0.00	0	0.00	0
1604140859427	2.00	0.00	0	0.00	0
1604140859926	2.50	0.00	0	0.00	0
1604140860425	3.00	0.00	0	0.00	0
1604140860924	3.50	0.00	0	0.00	0
1604140861423	4.00	0.00	1	0.00	1
1604140861922	4.50	0.00	1	0.00	1
1604140862421	5.00	0.00	0	0.00	0
1604140862920	5.50	0.00	0	0.00	0
1604140863419	6.00	0.00	0	0.00	0
1604140863918	6.50	0.00	0	0.00	0
1604140864417	7.00	0.00	0	0.00	0
1604140864916	7.50	0.00	0	0.00	0
1604140865415	8.00	0.00	0	0.00	0
1604140865914	8.50	0.00	0	0.00	0
1604140866413	9.00	0.00	0	0.00	0
1604140866912	9.50	0.00	0	0.00	0
1604140867411	10.00	0.00	0	0.00	0
1604140867910	10.50	0.00	0	0.00	0
1604140868409	11.00	0.00	0	0.00	0
1604140868908	11.50	0.00	0	0.00	0
1604140869407	12.00	0.00	0	0.00	0
1604140869906	12.50	0.00	0	0.00	0
1604140870405	13.00	0.00	0	0.00	0
1604140870904	13.50	0.00	0	0.00	0
1604140871403	14.00	0.00	0	0.00	0
1604140871902	14.50	0.00	0	0.00	0
1604140872401	15.00	0.00	0	0.00	0
1604140872900	15.50	0.00	0	0.00	0
1604140873399	16.00	0.00	0	0.00	0
1604140873898	16.50	0.00	0	0.00	0
1604140874397	17.00	0.00	0	0.00	0
1604140874896	17.50	0.00	0	0.00	0
1604140875395	18.00	0.00	0	0.00	0
1604140875894	18.50	0.00	0	0.00	0
1604140876393	19.00	0.00	0	0.00	0
1604140876892	19.50	0.00	0	0.00	0
1604140877391	20.00	0.00	0	0.00	0
1604140877890	20.50	0.00	0	0.00	0
1604140878389	21.00	0.00	0	0.00	0
1604140878888	21.50	0.00	0	0.00	0
1604140879387	22.00	0.00	0	0.00	0
1604140879886	22.50	0.00	0	0.00	0
1604140880385	23.00	0.00	0	0.00	0
1604140880884	23.50	0.00	0	0.00	0
1604140881383	24.00	0.00	0	0.00	0
1604140881881	24.50	0.00	0	0.00	0
1604140882380	25.00	0.00	0	0.00	0
1604140882879	25.50	0.00	0	0.00	0
1604140883378	26.00	0.00	0	0.00	0
1604140883877	26.50	0.00	0	0.00	0
1604140884376	27.00	0.00	0	0.00	0
1604140884875	27.50	0.00	0	0.00	0
1604140885374	28.00	0.00	0	0.00	0
1604140885873	28.50	0.00	0	0.00	0
1604140886372	29.00	0.00	0	0.00	0
1604140886871	29.50	0.00	0	0.00	0
1604140887370	30.00	0.00	0	0.00	0
1604140887869	30.50	0.00	0	0.00	0
1604140888368	31.00	0.00	0	0.00	0
1604140888867	31.50	0.00	0	0.00	0
1604140889366	32.00	0.00	0	0.00	0
1604140889865	32.50	0.00	0	0.00	0
1604140890364	33.00	0.00	0	0.00	0
1604140890863	33.50	0.00	0	0.00	0
1604140891362	34.00	0.00	0	0.00	0
1604140891861	34.50	0.00	0	0.00	0
1604140892360	35.00	0.00	0	0.00	0
1604140892859	35.50	0.00	0	0.00	0
1604140893358	36.00	0.00	0	0.00	0
1604140893857	36.50	0.00	0	0.00	0
1604140894356	37.00	0.00	0	0.00	0
1604140894855	37.50	0.00	0	0.00	0
1604140895354	38.00	0.00	0	0.00	0
1604140895853	38.50	0.00	0	0.00	0
1604140896352	39.00	0.00	0	0.00	0
1604140896851	39.50	0.00	0	0.00	0
1604140897350	40.00	0.00	0	0.00	0
1604140897849	40.50	0.00	0	0.00	0
1604140898348	41.00	0.00	0	0.00	0
1604140898847	41.50	0.00	0	0.00	0
1604140899346	42.00	0.00	0	0.00	0
1604140899845	42.50	0.00	0	0.00	0
1604140900344	43.00	0.00	0	0.00	0
1604140900843	43.50	0.00	0	0.00	0
1604140901342	44.00	0.00	0	0.00	0
1604140901841	44.50	0.00	0	0.00	0
1604140902340	45.00	0.00	0	0.00	0
1604140902839	45.50	0.00	0	0.00	0
1604140903338	46.00	0.00	0	0.00	0
1604140903837	46.50	0.00	0	0.00	0
1604140904336	47.00	0.00	0	0.00	0
1604140904835	47.50	0.00	0	0.00	0
1604140905334	48.00	0.00	0	0.00	0
1604140905832	48.50	0.00	0	0.00	0
1604140906331	49.00	0.00	0	0.00	0
1604140906830	49.50	0.00	0	0.00	0
1604140907329	50.00	0.00	0	0.00	0
1604140907828	50.50	0.00	0	0.00	0
1604140908327	51.00	0.00	0	0.00	0
1604140908826	51.50	0.00	0	0.00	0
1604140909325	52.00	0.00	0	0.00	0
1604140909824	52.50	0.00	0	0.00	0
1604140910323	53.00	0.00	0	0.00	0
1604140910822	53.50	0.00	0	0.00	0
1604140911321	54.00	0.00	0	0.00	0
1604140911820	54.50	0.00	0	0.00	0
1604140912319	55.00	0.00	0	0.00	0
1604140912818	55.50	0.00	0	0.00	0
1604140913317	56.00	0.00	0	0.00	0
1604140913816	56.50	0.00	0	0.00	0
1604140914315	57.00	0.00	0	0.00	0
1604140914814	57.50	0.00	0	0.00	0
1604140915313	58.00	0.00	0	0.00	0
1604140915812	58.50	0.00	0	0.00	0
1604140916311	59.00	0.00	0	0.00	0
1604140916810	59.50	0.00	0	0.00	0
1604140917309	60.00	0.00	0	0.00	0
1604140917808	60.50	0.00	0	0.00	0
1604140918307	61.00	0.00	0	0.00	0
1604140918806	61.50	0.00	0	0.00	0
1604140919305	62.00	0.00	0	0.00	0
1604140919804	62.50	0.00	0	0.00	0
1604140920303	63.00	0.00	0	0.00	0
1604140920802	63.50	0.00	0	0.00	0
1604140921301	64.00	0.00	0	0.00	0
1604140921800	64.50	0.00	0	0.00	0
1604140922299	65.00	0.00	0	0.00	0
1604140922798	65.50	0.00	0	0.00	0
1604140923297	66.00	0.00	0	0.00	0
1604140923796	66.50	0.00	0	0.00	0
1604140924295	67.00	0.00	0	0.00	0
1604140924794	67.50	0.00	0	0.00	0
1604140925293	68.00	0.00	0	0.00	0
1604140925792	68.50	0.00	0	0.00	0
1604140926291	69.00	0.00	0	0.00	0
1604140926790	69.50	0.00	0	0.00	0
1604140927289	70.00	0.00	0	0.00	0
1604140927788	70.50	0.00	0	0.00	0
1604140928287	71.00	0.00	0	0.00	0
1604140928786	71.50	0.00	0	0.00	0
1604140929285	72.00	0.00	0	0.00	0
1604140929783	72.50	0.00	0	0.00	0
1604140930282	73.00	0.00	0	0.00	0
1604140930781	73.50	2394.84	2824151	0.00	0
1604140931280	74.00	3745.70	4417047	0.00	0
1604140931779	74.50	3755.40	4428533	0.00	0
1604140932278	75.00	3770.32	4446199	0.00	0
1604140932777	75.50	3734.62	4403971	0.00	0
1604140933276	76.00	3744.93	4416247	0.00	0
1604140933775	76.50	3751.65	4424061	0.00	0
1604140934274	77.00	3743.73	4414778	0.00	0
1604140934773	77.50	3747.62	4419364	0.00	0
1604140935272	78.00	3729.58	4398146	0.00	0
1604140935771	78.50	3752.31	4424836	0.00	0
1604140936270	79.00	3750.72	4423040	0.00	0
1604140936769	79.50	3744.71	4415927	0.00	0
1604140937268	80.00	3741.70	4412368	0.00	0
1604140937767	80.50	3748.63	4420558	0.00	0
1604140938266	81.00	3756.55	4429986	0.00	0
1604140938765	81.50	3739.64	4409867	0.00	0
1604140939264	82.00	3760.69	4434796	0.00	0
1604140939763	82.50	3728.26	4396514	0.00	0
1604140940262	83.00	3732.25	4401243	0.00	0
1604140940761	83.50	3748.61	4420525	0.00	0
1604140941260	84.00	3765.07	4439937	0.00	0
1604140941759	84.50	3741.27	4411872	0.00	0
1604140942258	85.00	3736.84	4406649	0.00	0
1604140942757	85.50	3752.77	4425440	0.00	0
1604140943256	86.00	3738.36	4408444	0.00	0
1604140943755	86.50	3738.74	4408895	0.00	0
1604140944254	87.00	3760.07	4434042	0.00	0
1604140944753	87.50	3742.98	4413894	0.00	0
1604140945252	88.00	3748.55	4420465	0.00	0
1604140945751	88.50	3747.47	4419182	0.00	0
1604140946250	89.00	3739.40	4409668	0.00	0
1604140946749	89.50	3751.24	4423637	0.00	0
1604140947248	90.00	3736.85	4406664	0.00	0
1604140947747	90.50	3774.08	4450566	0.00	0
1604140948246	91.00	3726.92	4394956	0.00	0
1604140948745	91.50	3743.69	4414724	0.00	0
1604140949244	92.00	3756.43	4429786	0.00	0
1604140949743	92.50	3735.69	4405260	0.00	0
1604140950242	93.00	3760.18	4434170	0.00	0
1604140950741	93.50	3743.23	4414197	0.00	0
1604140951240	94.00	3752.69	4425335	0.00	0
1604140951739	94.50	3744.21	4415338	0.00	0
1604140952238	95.00	3729.67	4398195	0.00	0
1604140952737	95.50	3745.18	4416481	0.00	0
1604140953235	96.00	3748.13	4419960	0.00	0
1604140953734	96.50	3755.27	4428407	0.00	0
1604140954233	97.00	3744.81	4416080	0.00	0
1604140954732	97.50	3711.78	4377042	0.00	0
1604140955231	98.00	3780.39	4458006	0.00	0
1604140955730	98.50	3736.98	4406847	0.00	0
1604140956229	99.00	3743.08	4413977	0.00	0
1604140956728	99.50	3756.19	4429468	0.00	0
1604140957227	100.00	3741.72	4412410	0.00	0
1604140957726	100.50	3753.27	4426025	0.00	0
1604140958225	101.00	3742.99	4413902	0.00	0
1604140958724	101.50	3743.41	4414395	0.00	0
1604140959223	102.00	3739.68	4410060	0.00	0
1604140959722	102.50	3750.40	4422577	0.00	0
1604140960221	103.00	3758.03	4431638	0.00	0
1604140960720	103.50	3722.78	4390069	0.00	0
1604140961219	104.00	3748.71	4420702	0.00	0
1604140961718	104.50	3765.37	4440243	0.00	0
1604140962217	105.00	3735.01	4404493	0.00	0
1604140962716	105.50	3757.74	4431301	0.00	0
1604140963215	106.00	3744.74	4415967	0.00	0
1604140963714	106.50	3740.22	4410630	0.00	0
1604140964213	107.00	3743.90	4415021	0.00	0
1604140964712	107.50	3749.76	4421842	0.00	0
1604140965211	108.00	3741.78	4412479	0.00	0
1604140965710	108.50	3739.65	4409968	0.00	0
1604140966209	109.00	3746.20	4417733	0.00	0
1604140966708	109.50	3739.73	4410016	0.00	0
1604140967207	110.00	3762.96	4437497	0.00	0
1604140967706	110.50	3735.67	4405287	0.00	0
1604140968205	111.00	3750.07	4422195	0.00	0
1604140968704	111.50	3752.64	4425278	0.00	0
1604140969203	112.00	3737.56	4407495	0.00	0
1604140969702	112.50	3749.46	4421536	0.00	0
1604140970201	113.00	3746.27	4417769	0.00	0
1604140970700	113.50	3750.48	4422738	0.00	0
1604140971199	114.00	3744.66	4415925	0.00	0
1604140971698	114.50	3741.65	4412328	0.00	0
1604140972197	115.00	3746.22	4417657	0.00	0
1604140972696	115.50	3743.21	4414161	0.00	0
1604140973195	116.00	3758.46	4432149	0.00	0
1604140973694	116.50	3747.82	4419604	0.00	0
1604140974193	117.00	3738.71	4408855	0.00	0
1604140974692	117.50	3760.59	4434663	0.00	0
1604140975191	118.00	3731.50	4400350	0.00	0
1604140975690	118.50	3759.20	4433015	0.00	0
1604140976189	119.00	3742.46	4413275	0.00	0
1604140976688	119.50	3742.72	4413586	0.00	0
1604140977186	120.00	3741.13	4411704	0.00	0
1604140977685	120.50	3741.79	4412489	0.00	0
1604140978184	121.00	3748.70	4420659	0.00	0
1604140978683	121.50	3736.99	4406799	0.00	0
1604140979182	122.00	3754.97	4428033	0.00	0
1604140979681	122.50	3746.11	4417578	0.00	0
1604140980180	123.00	3748.11	4419945	0.00	0
1604140980679	123.50	3752.22	4424789	0.00	0
1604140981178	124.00	3723.91	4391400	0.00	0
1604140981677	124.50	3737.25	4407153	0.00	0
1604140982176	125.00	3747.31	4418983	0.00	0
1604140982675	125.50	3752.15	4424701	0.00	0
1604140983174	126.00	3752.21	4424777	0.00	0
1604140983673	126.50	3760.40	4434435	0.00	0
1604140984172	127.00	3728.19	4396488	0.00	0
1604140984671	127.50	3752.87	4425505	0.00	0
1604140985170	128.00	3751.57	4424017	0.00	0
1604140985669	128.50	3747.37	4419066	0.00	0
1604140986168	129.00	3743.31	4414283	0.00	0
1604140986667	129.50	3752.04	4424571	0.00	0
1604140987166	130.00	3741.33	4411940	0.00	0
1604140987665	130.50	3746.20	4417688	0.00	0
1604140988164	131.00	3740.51	4411029	0.00	0
1604140988663	131.50	3735.04	4404479	0.00	0
1604140989162	132.00	3761.79	4436073	0.00	0
1604140989661	132.50	3749.76	4421883	0.00	0
1604140990160	133.00	3730.70	4399405	0.00	0
1604140990659	133.50	6676.11	7872770	0.00	0
1604140991158	134.00	8060.04	9504828	0.00	0
1604140991657	134.50	8062.45	9507540	0.00	0
1604140992156	135.00	8061.52	9506552	0.00	0
1604140992655	135.50	8057.17	9501327	0.00	0
1604140993154	136.00	8065.25	9510912	0.00	0
1604140993653	136.50	8062.23	9507340	0.00	0
1604140994152	137.00	8058.68	9503162	0.00	0
1604140994651	137.50	8062.05	9507187	0.00	0
1604140995150	138.00	8060.91	9505763	0.00	0
1604140995649	138.50	8058.58	9503012	0.00	0
1604140996148	139.00	8067.21	9513280	0.00	0
1604140996647	139.50	8060.50	9505248	0.00	0
1604140997146	140.00	8061.13	9506053	0.00	0
1604140997645	140.50	8062.33	9507463	0.00	0
1604140998144	141.00	8061.30	9506303	0.00	0
1604140998643	141.50	8062.43	9507537	0.00	0
1604140999142	142.00	8061.54	9506536	0.00	0
1604140999641	142.50	8060.32	9505179	0.00	0
1604141000140	143.00	8061.23	9506085	0.00	0
1604141000638	143.50	8064.04	9509497	0.00	0
1604141001137	144.00	8060.12	9504835	0.00	0
1604141001636	144.50	8062.31	9507460	0.00	0
1604141002135	145.00	8059.70	9504340	0.00	0
1604141002634	145.50	8065.44	9511135	0.00	0
1604141003133	146.00	8061.84	9506883	0.00	0
1604141003632	146.50	8062.86	9508175	0.00	0
1604141004131	147.00	8051.10	9494136	0.00	0
1604141004630	147.50	8073.49	9520716	0.00	0
1604141005129	148.00	8060.53	9505244	0.00	0
1604141005628	148.50	8064.52	9510041	0.00	0
1604141006127	149.00	8062.47	9507671	0.00	0
1604141006626	149.50	8061.32	9506284	0.00	0
1604141007125	150.00	8060.20	9504970	0.00	0
1604141007624	150.50	8061.93	9506927	0.00	0
1604141008123	151.00	8062.65	9507836	0.00	0
1604141008622	151.50	8060.75	9505605	0.00	0
1604141009121	152.00	8063.27	9508634	0.00	0
1604141009620	152.50	8055.20	9498988	0.00	0
1604141010119	153.00	8067.25	9513264	0.00	0
1604141010618	153.50	8063.23	9508536	0.00	0
1604141011117	154.00	8064.37	9509868	0.00	0
1604141011616	154.50	8063.53	9508924	0.00	0
1604141012115	155.00	8059.53	9504175	0.00	0
1604141012614	155.50	8060.89	9505766	0.00	0
1604141013113	156.00	8064.20	9509675	0.00	0
1604141013612	156.50	8062.85	9508059	0.00	0
1604141014111	157.00	8063.81	9509172	0.00	0
1604141014610	157.50	8063.45	9508839	0.00	0
1604141015109	158.00	8062.74	9507951	0.00	0
1604141015608	158.50	8059.18	9503715	0.00	0
1604141016107	159.00	8067.56	9513614	0.00	0
1604141016606	159.50	8062.46	9507614	0.00	0
1604141017105	160.00	8062.80	9508042	0.00	0
1604141017604	160.50	8062.88	9508136	0.00	0
1604141018103	161.00	8059.78	9504469	0.00	0
1604141018602	161.50	8063.72	9509042	0.00	0
1604141019101	162.00	8062.35	9507486	0.00	0
1604141019600	162.50	8054.50	9498233	0.00	0
1604141020099	163.00	8073.27	9520359	0.00	0
1604141020598	163.50	8055.88	9499860	0.00	0
1604141021097	164.00	8066.70	9512663	0.00	0
1604141021596	164.50	8064.48	9509960	0.00	0
1604141022095	165.00	8060.20	9504958	0.00	0
1604141022594	165.50	8065.18	9510829	0.00	0
1604141023093	166.00	8058.99	9503568	0.00	0
1604141023592	166.50	8062.82	9508000	0.00	0
1604141024091	167.00	8065.14	9510781	0.00	0
1604141024589	167.50	8062.72	9507993	0.00	0
1604141025088	168.00	8061.84	9506904	0.00	0
1604141025587	168.50	8061.59	9506578	0.00	0
1604141026086	169.00	8063.11	9508314	0.00	0
1604141026585	169.50	8063.15	9508427	0.00	0
1604141027084	170.00	8057.72	9502034	0.00	0
1604141027583	170.50	8066.53	9512462	0.00	0
1604141028082	171.00	8063.57	9508965	0.00	0
1604141028581	171.50	8063.24	9508461	0.00	0
1604141029080	172.00	8062.43	9507578	0.00	0
1604141029579	172.50	8061.37	9506337	0.00	0
1604141030078	173.00	8061.02	9505983	0.00	0
1604141030577	173.50	8062.65	9507777	0.00	0
1604141031076	174.00	8062.71	9507914	0.00	0
1604141031575	174.50	8061.47	9506451	0.00	0
1604141032074	175.00	8062.77	9508007	0.00	0
1604141032573	175.50	8061.77	9506790	0.00	0
1604141033072	176.00	8062.27	9507450	0.00	0
1604141033571	176.50	8063.08	9508327	0.00	0
1604141034070	177.00	8063.56	9508871	0.00	0
1604141034569	177.50	8060.54	9505374	0.00	0
1604141035068	178.00	8061.21	9506122	0.00	0
1604141035567	178.50	8062.07	9507155	0.00	0
1604141036066	179.00	8055.83	9499891	0.00	0
1604141036565	179.50	8071.21	9517843	0.00	0
1604141037064	180.00	8052.44	9495797	0.00	0
1604141037563	180.50	8074.02	9521254	0.00	0
1604141038062	181.00	8062.13	9507228	0.00	0
1604141038561	181.50	8063.02	9508280	0.00	0
1604141039060	182.00	8061.90	9506962	0.00	0
1604141039559	182.50	8061.55	9506542	0.00	0
1604141040058	183.00	8060.52	9505332	0.00	0
1604141040557	183.50	8062.54	9507706	0.00	0
1604141041056	184.00	8062.80	9508055	0.00	0
1604141041555	184.50	8063.07	9508301	0.00	0
1604141042054	185.00	8060.27	9505081	0.00	0
1604141042553	185.50	8062.64	9507823	0.00	0
1604141043052	186.00	8063.12	9508360	0.00	0
1604141043551	186.50	8058.22	9502617	0.00	0
1604141044050	187.00	8066.62	9512528	0.00	0
1604141044549	187.50	8061.94	9506999	0.00	0
1604141045048	188.00	8062.07	9507251	0.00	0
1604141045547	188.50	8063.99	9509394	0.00	0
1604141046046	189.00	8063.25	9508529	0.00	0
1604141046545	189.50	8062.69	9507884	0.00	0
1604141047044	190.00	8061.01	9505861	0.00	0
1604141047543	190.50	8061.21	9506141	0.00	0
1604141048041	191.00	8058.06	9502425	0.00	0
1604141048540	191.50	8065.86	9511671	0.00	0
1604141049039	192.00	8060.08	9504760	0.00	0
1604141049538	192.50	8064.59	9510174	0.00	0
1604141050037	193.00	8060.62	9505393	0.00	0
1604141050536	193.50	10854.21	12799813	0.00	0
1604141051035	194.00	12111.79	14282785	0.00	0
1604141051534	194.50	12111.15	14282027	0.00	0
1604141052033	195.00	12112.41	14283489	0.00	0
1604141052532	195.50	12106.09	14275997	0.00	0
1604141053031	196.00	12109.14	14279658	0.00	0
1604141053530	196.50	12112.52	14283636	0.00	0
1604141054029	197.00	12113.69	14284991	0.00	0
1604141054528	197.50	12111.16	14282089	0.00	0
1604141055027	198.00	12111.15	14281947	0.00	0
1604141055526	198.50	12111.99	14283012	0.00	0
1604141056025	199.00	12112.37	14283455	0.00	0
1604141056524	199.50	12111.46	14282469	0.00	0
1604141057023	200.00	12107.14	14277223	0.00	0
1604141057522	200.50	12107.85	14278175	0.00	0
1604141058021	201.00	12109.96	14280541	0.00	0
1604141058520	201.50	12112.23	14283386	0.00	0
1604141059019	202.00	12112.50	14283569	0.00	0
1604141059518	202.50	12112.92	14284110	0.00	0
1604141060017	203.00	12111.74	14282708	0.00	0
1604141060516	203.50	12112.28	14283289	0.00	0
1604141061015	204.00	12108.46	14278899	0.00	0
1604141061514	204.50	12112.10	14283082	0.00	0
1604141062013	205.00	12112.90	14284080	0.00	0
1604141062512	205.50	12112.02	14283042	0.00	0
1604141063011	206.00	12108.33	14278751	0.00	0
1604141063510	206.50	12109.83	14280455	0.00	0
1604141064009	207.00	12114.53	14285944	0.00	0
1604141064508	207.50	12111.64	14282607	0.00	0
1604141065007	208.00	12108.60	14279025	0.00	0
1604141065506	208.50	12110.51	14281235	0.00	0
1604141066005	209.00	12113.16	14284439	0.00	0
1604141066504	209.50	12112.52	14283671	0.00	0
1604141067003	210.00	12110.18	14280834	0.00	0
1604141067502	210.50	12109.87	14280510	0.00	0
1604141068001	211.00	12112.36	14283392	0.00	0
1604141068500	211.50	12115.61	14287370	0.00	0
1604141068999	212.00	12113.23	14284470	0.00	0
1604141069498	212.50	12111.25	14282133	0.00	0
1604141069997	213.00	12109.64	14280183	0.00	0
1604141070496	213.50	12113.81	14285117	0.00	0
1604141070995	214.00	12112.33	14283465	0.00	0
1604141071493	214.50	12110.48	14281255	0.00	0
1604141071992	215.00	12113.54	14284775	0.00	0
1604141072491	215.50	12108.68	14279107	0.00	0
1604141072990	216.00	12110.68	14281471	0.00	0
1604141073489	216.50	12111.61	14282521	0.00	0
1604141073988	217.00	12110.85	14281663	0.00	0
1604141074487	217.50	12114.23	14285651	0.00	0
1604141074986	218.00	12110.92	14281750	0.00	0
1604141075485	218.50	12110.17	14280893	0.00	0
