UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604142336236	0.00	0.00	0	0.00	0
1604142336735	0.50	0.00	4	0.00	4
1604142337234	1.00	0.00	0	0.00	0
1604142337733	1.50	0.00	0	0.00	0
1604142338232	2.00	0.00	0	0.00	0
1604142338731	2.50	0.00	0	0.00	0
1604142339230	3.00	0.00	0	0.00	0
1604142339729	3.50	0.00	0	0.00	0
1604142340228	4.00	0.00	0	0.00	0
1604142340727	4.50	0.00	0	0.00	0
1604142341226	5.00	0.00	0	0.00	0
1604142341725	5.50	0.00	0	0.00	0
1604142342224	6.00	0.00	0	0.00	0
1604142342723	6.50	0.00	0	0.00	0
1604142343222	7.00	0.00	0	0.00	0
1604142343721	7.50	0.00	0	0.00	0
1604142344220	8.00	0.00	0	0.00	0
1604142344719	8.50	0.00	0	0.00	0
1604142345218	9.00	0.00	0	0.00	0
1604142345717	9.50	0.00	0	0.00	0
1604142346216	10.00	0.00	0	0.00	0
1604142346715	10.50	0.00	0	0.00	0
1604142347214	11.00	0.00	0	0.00	0
1604142347713	11.50	0.00	0	0.00	0
1604142348212	12.00	0.00	0	0.00	0
1604142348711	12.50	0.00	0	0.00	0
1604142349210	13.00	0.00	0	0.00	0
1604142349709	13.50	0.00	0	0.00	0
1604142350208	14.00	0.00	0	0.00	0
1604142350707	14.50	0.00	0	0.00	0
1604142351206	15.00	0.00	0	0.00	0
1604142351704	15.50	0.00	0	0.00	0
1604142352203	16.00	0.00	0	0.00	0
1604142352702	16.50	0.00	0	0.00	0
1604142353201	17.00	0.00	0	0.00	0
1604142353700	17.50	0.00	0	0.00	0
1604142354199	18.00	0.00	0	0.00	0
1604142354698	18.50	0.00	0	0.00	0
1604142355197	19.00	0.00	0	0.00	0
1604142355696	19.50	0.00	0	0.00	0
1604142356195	20.00	0.00	0	0.00	0
1604142356694	20.50	0.00	0	0.00	0
1604142357193	21.00	0.00	0	0.00	0
1604142357692	21.50	0.00	0	0.00	0
1604142358191	22.00	0.00	0	0.00	0
1604142358690	22.50	0.00	0	0.00	0
1604142359189	23.00	0.00	0	0.00	0
1604142359688	23.50	0.00	0	0.00	0
1604142360187	24.00	0.00	0	0.00	0
1604142360686	24.50	0.00	0	0.00	0
1604142361185	25.00	0.00	0	0.00	0
1604142361684	25.50	0.00	0	0.00	0
1604142362183	26.00	0.00	0	0.00	0
1604142362682	26.50	0.00	0	0.00	0
1604142363181	27.00	0.00	0	0.00	0
1604142363680	27.50	0.00	0	0.00	0
1604142364179	28.00	0.00	0	0.00	0
1604142364678	28.50	0.00	0	0.00	0
1604142365177	29.00	0.00	0	0.00	0
1604142365676	29.50	0.00	0	0.00	0
1604142366175	30.00	0.00	0	0.00	0
1604142366674	30.50	0.00	0	0.00	0
1604142367173	31.00	0.00	0	0.00	0
1604142367672	31.50	0.00	0	0.00	0
1604142368171	32.00	0.00	0	0.00	0
1604142368670	32.50	0.00	0	0.00	0
1604142369168	33.00	0.00	0	0.00	0
1604142369667	33.50	0.00	0	0.00	0
1604142370166	34.00	0.00	0	0.00	0
1604142370665	34.50	0.00	0	0.00	0
1604142371164	35.00	0.00	0	0.00	0
1604142371663	35.50	0.00	0	0.00	0
1604142372162	36.00	0.00	0	0.00	0
1604142372661	36.50	0.00	0	0.00	0
1604142373160	37.00	0.00	0	0.00	0
1604142373659	37.50	0.00	0	0.00	0
1604142374158	38.00	0.00	0	0.00	0
1604142374657	38.50	0.00	0	0.00	0
1604142375156	39.00	0.00	0	0.00	0
1604142375655	39.50	0.00	0	0.00	0
1604142376154	40.00	0.00	0	0.00	0
1604142376653	40.50	0.00	0	0.00	0
1604142377152	41.00	0.00	0	0.00	0
1604142377651	41.50	0.00	0	0.00	0
1604142378150	42.00	0.00	0	0.00	0
1604142378649	42.50	0.00	0	0.00	0
1604142379148	43.00	0.00	0	0.00	0
1604142379647	43.50	0.00	0	0.00	0
1604142380146	44.00	0.00	0	0.00	0
1604142380645	44.50	0.00	0	0.00	0
1604142381144	45.00	0.00	0	0.00	0
1604142381643	45.50	0.00	0	0.00	0
1604142382142	46.00	0.00	0	0.00	0
1604142382641	46.50	0.00	0	0.00	0
1604142383140	47.00	0.00	0	0.00	0
1604142383639	47.50	0.00	0	0.00	0
1604142384138	48.00	0.00	0	0.00	0
1604142384637	48.50	0.00	0	0.00	0
1604142385136	49.00	0.00	0	0.00	0
1604142385635	49.50	0.00	0	0.00	0
1604142386134	50.00	0.00	0	0.00	0
1604142386632	50.50	0.00	0	0.00	0
1604142387131	51.00	0.00	0	0.00	0
1604142387630	51.50	0.00	0	0.00	0
1604142388129	52.00	0.00	0	0.00	0
1604142388628	52.50	0.00	0	0.00	0
1604142389127	53.00	0.00	0	0.00	0
1604142389626	53.50	0.00	0	0.00	0
1604142390125	54.00	0.00	0	0.00	0
1604142390624	54.50	0.00	0	0.00	0
1604142391123	55.00	0.00	0	0.00	0
1604142391622	55.50	0.00	0	0.00	0
1604142392121	56.00	0.00	0	0.00	0
1604142392620	56.50	0.00	0	0.00	0
1604142393119	57.00	0.00	0	0.00	0
1604142393618	57.50	0.00	0	0.00	0
1604142394117	58.00	0.00	0	0.00	0
1604142394616	58.50	0.00	0	0.00	0
1604142395115	59.00	0.00	0	0.00	0
1604142395614	59.50	0.00	0	0.00	0
1604142396113	60.00	0.00	0	0.00	0
1604142396612	60.50	0.00	0	0.00	0
1604142397111	61.00	0.00	0	0.00	0
1604142397610	61.50	0.00	0	0.00	0
1604142398109	62.00	0.00	0	0.00	0
1604142398608	62.50	0.00	0	0.00	0
1604142399107	63.00	0.00	0	0.00	0
1604142399606	63.50	0.00	0	0.00	0
1604142400105	64.00	0.00	0	0.00	0
1604142400604	64.50	0.00	0	0.00	0
1604142401103	65.00	0.00	0	0.00	0
1604142401602	65.50	0.00	0	0.00	0
1604142402101	66.00	0.00	0	0.00	0
1604142402600	66.50	0.00	0	0.00	0
1604142403099	67.00	0.00	0	0.00	0
1604142403598	67.50	0.00	0	0.00	0
1604142404097	68.00	0.00	0	0.00	0
1604142404595	68.50	0.00	0	0.00	0
1604142405094	69.00	0.00	0	0.00	0
1604142405593	69.50	0.00	0	0.00	0
