UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604140838210	0.00	0.00	0	0.00	0	-nan 
1604140838709	0.50	0.00	0	0.00	0	-nan 
1604140839208	1.00	0.00	0	0.00	0	-nan 
1604140839707	1.50	0.00	0	0.00	0	-nan 
1604140840206	2.00	0.00	0	0.00	0	-nan 
1604140840705	2.50	0.00	0	0.00	0	-nan 
1604140841203	3.00	0.00	0	0.00	0	-nan 
1604140841702	3.50	0.00	0	0.00	0	-nan 
1604140842201	4.00	0.00	0	0.00	0	-nan 
1604140842700	4.50	0.00	0	0.00	0	-nan 
1604140843199	5.00	0.00	0	0.00	0	-nan 
1604140843698	5.50	0.00	0	0.00	0	-nan 
1604140844197	6.00	0.00	0	0.00	0	-nan 
1604140844696	6.50	0.00	0	0.00	0	-nan 
1604140845194	7.00	0.00	0	0.00	0	-nan 
1604140845693	7.50	0.00	0	0.00	0	-nan 
1604140846192	8.00	0.00	0	0.00	0	-nan 
1604140846691	8.50	0.00	0	0.00	0	-nan 
1604140847190	9.00	0.00	0	0.00	0	-nan 
1604140847689	9.50	0.00	0	0.00	0	-nan 
1604140848188	10.00	0.00	0	0.00	0	-nan 
1604140848687	10.50	0.00	0	0.00	0	-nan 
1604140849186	11.00	0.00	0	0.00	0	-nan 
1604140849684	11.50	0.00	0	0.00	0	-nan 
1604140850183	12.00	0.00	0	0.00	0	-nan 
1604140850682	12.50	0.00	0	0.00	0	-nan 
1604140851181	13.00	0.00	0	0.00	0	-nan 
1604140851680	13.50	0.00	0	0.00	0	-nan 
1604140852179	14.00	0.00	0	0.00	0	-nan 
1604140852678	14.50	0.00	0	0.00	0	-nan 
1604140853177	15.00	0.00	0	0.00	0	-nan 
1604140853675	15.50	0.00	0	0.00	0	-nan 
1604140854174	16.00	0.00	0	0.00	0	-nan 
1604140854673	16.50	0.00	0	0.00	0	-nan 
1604140855172	17.00	0.00	0	0.00	0	-nan 
1604140855671	17.50	0.00	0	0.00	0	-nan 
1604140856170	18.00	0.00	0	0.00	0	-nan 
1604140856669	18.50	0.00	0	0.00	0	-nan 
1604140857168	19.00	0.00	0	0.00	0	-nan 
1604140857667	19.50	0.00	0	0.00	0	-nan 
1604140858165	20.00	0.00	0	0.00	0	-nan 
1604140858664	20.50	0.00	0	0.00	0	-nan 
1604140859163	21.00	0.00	0	0.00	0	-nan 
1604140859662	21.50	0.00	0	0.00	0	-nan 
1604140860161	22.00	0.00	0	0.00	0	-nan 
1604140860660	22.50	0.00	0	0.00	0	-nan 
1604140861159	23.00	0.00	0	0.00	0	-nan 
1604140861658	23.50	0.00	6	0.00	6	-nan 
1604140862156	24.00	0.00	0	0.00	0	-nan 
