UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604142371807	0.00	0.00	0	0.00	0	-nan 
1604142372306	0.50	0.01	22	0.02	40	-nan 
1604142372805	1.00	0.00	0	0.00	0	-nan 
1604142373303	1.50	0.00	0	0.00	0	-nan 
1604142373802	2.00	0.00	0	0.00	0	-nan 
1604142374301	2.50	0.02	16	0.01	12	-nan 
1604142374800	3.00	0.00	0	0.00	0	-nan 
1604142375299	3.50	0.00	0	0.00	0	-nan 
1604142375798	4.00	0.00	0	0.00	0	-nan 
1604142376297	4.50	0.00	0	0.00	0	-nan 
1604142376796	5.00	0.00	0	0.00	0	-nan 
1604142377294	5.50	0.00	0	0.00	0	-nan 
1604142377793	6.00	0.00	0	0.00	0	-nan 
1604142378292	6.50	0.00	0	0.00	0	-nan 
1604142378791	7.00	0.00	0	0.00	0	-nan 
1604142379290	7.50	0.00	0	0.00	0	-nan 
1604142379789	8.00	0.00	0	0.00	0	-nan 
1604142380288	8.50	0.00	0	0.00	0	-nan 
1604142380787	9.00	0.00	0	0.00	0	-nan 
1604142381285	9.50	0.00	0	0.00	0	-nan 
1604142381784	10.00	0.00	0	0.00	0	-nan 
1604142382283	10.50	0.00	0	0.00	0	-nan 
1604142382782	11.00	0.00	0	0.00	0	-nan 
1604142383281	11.50	0.00	0	0.00	0	-nan 
1604142383780	12.00	0.00	0	0.00	0	-nan 
1604142384279	12.50	0.00	0	0.00	0	-nan 
1604142384778	13.00	0.00	0	0.00	0	-nan 
1604142385276	13.50	0.00	0	0.00	0	-nan 
1604142385775	14.00	0.00	0	0.00	0	-nan 
1604142386274	14.50	0.00	0	0.00	0	-nan 
1604142386773	15.00	0.00	0	0.00	0	-nan 
1604142387272	15.50	0.00	0	0.00	0	-nan 
1604142387771	16.00	0.00	0	0.00	0	-nan 
1604142388270	16.50	0.00	0	0.00	0	-nan 
1604142388769	17.00	0.00	0	0.00	0	-nan 
1604142389268	17.50	0.00	0	0.00	0	-nan 
1604142389766	18.00	0.00	0	0.00	0	-nan 
1604142390265	18.50	0.00	0	0.00	0	-nan 
1604142390764	19.00	0.00	0	0.00	0	-nan 
1604142391263	19.50	0.00	0	0.00	0	-nan 
1604142391762	20.00	0.00	0	0.00	0	-nan 
1604142392261	20.50	0.00	0	0.00	0	-nan 
1604142392760	21.00	0.00	0	0.00	0	-nan 
1604142393259	21.50	0.00	0	0.00	0	-nan 
1604142393757	22.00	0.00	0	0.00	0	-nan 
1604142394256	22.50	0.00	0	0.00	0	-nan 
1604142394755	23.00	0.00	0	0.00	0	-nan 
1604142395254	23.50	0.00	0	0.00	0	-nan 
1604142395753	24.00	0.00	0	0.00	0	-nan 
1604142396252	24.50	0.00	1	0.00	1	-nan 
1604142396751	25.00	0.00	0	0.00	0	-nan 
1604142397250	25.50	0.00	0	0.00	0	-nan 
1604142397748	26.00	0.00	0	0.00	0	-nan 
1604142398247	26.50	0.00	0	0.00	0	-nan 
1604142398746	27.00	0.00	0	0.00	0	-nan 
1604142399245	27.50	0.00	0	0.00	0	-nan 
1604142399744	28.00	0.00	0	0.00	0	-nan 
1604142400243	28.50	0.00	0	0.00	0	-nan 
1604142400742	29.00	0.00	0	0.00	0	-nan 
1604142401241	29.50	0.00	0	0.00	0	-nan 
1604142401739	30.00	0.00	0	0.00	0	-nan 
1604142402238	30.50	0.00	0	0.00	0	-nan 
1604142402737	31.00	0.00	0	0.00	0	-nan 
1604142403236	31.50	0.00	0	0.00	0	-nan 
1604142403735	32.00	0.36	453	0.90	453	-nan 
1604142404234	32.50	0.40	500	1.00	500	-nan 
1604142404733	33.00	0.40	499	1.00	499	-nan 
1604142405232	33.50	0.39	497	1.00	499	-nan 
1604142405731	34.00	0.31	500	0.90	498	-nan 
1604142406229	34.50	0.29	500	0.88	500	-nan 
1604142406728	35.00	0.29	500	0.88	500	-nan 
1604142407227	35.50	0.29	499	0.88	499	-nan 
1604142407726	36.00	0.08	144	0.25	144	-nan 
1604142408225	36.50	0.00	0	0.00	0	-nan 
1604142408724	37.00	0.00	0	0.00	0	-nan 
1604142409223	37.50	0.00	0	0.00	0	-nan 
1604142409722	38.00	0.00	0	0.00	0	-nan 
1604142410220	38.50	0.00	0	0.00	0	-nan 
1604142410719	39.00	0.00	0	0.00	0	-nan 
1604142411218	39.50	0.00	0	0.00	0	-nan 
1604142411717	40.00	0.00	0	0.00	0	-nan 
1604142412216	40.50	0.00	0	0.00	0	-nan 
1604142412715	41.00	0.00	0	0.00	0	-nan 
1604142413214	41.50	0.00	0	0.00	0	-nan 
1604142413713	42.00	0.00	0	0.00	0	-nan 
1604142414211	42.50	0.00	0	0.00	0	-nan 
1604142414710	43.00	0.00	0	0.00	0	-nan 
1604142415209	43.50	0.00	0	0.00	0	-nan 
1604142415708	44.00	0.00	0	0.00	0	-nan 
1604142416207	44.50	0.00	0	0.00	0	-nan 
1604142416706	45.00	0.00	0	0.00	0	-nan 
1604142417205	45.50	0.00	0	0.00	0	-nan 
1604142417704	46.00	0.00	0	0.00	0	-nan 
1604142418202	46.50	0.00	0	0.00	0	-nan 
1604142418701	47.00	0.00	0	0.00	0	-nan 
1604142419200	47.50	0.00	0	0.00	0	-nan 
1604142419699	48.00	0.00	0	0.00	0	-nan 
1604142420198	48.50	0.00	0	0.00	0	-nan 
1604142420697	49.00	0.00	0	0.00	0	-nan 
1604142421196	49.50	0.00	0	0.00	0	-nan 
1604142421695	50.00	0.00	0	0.00	0	-nan 
1604142422194	50.50	0.00	0	0.00	0	-nan 
1604142422692	51.00	0.00	0	0.00	0	-nan 
1604142423191	51.50	0.00	0	0.00	0	-nan 
1604142423690	52.00	0.00	0	0.00	0	-nan 
1604142424189	52.50	0.00	0	0.00	0	-nan 
1604142424688	53.00	0.00	0	0.00	0	-nan 
1604142425187	53.50	0.00	0	0.00	0	-nan 
1604142425686	54.00	0.00	0	0.00	0	-nan 
1604142426185	54.50	0.00	0	0.00	0	-nan 
1604142426683	55.00	0.00	0	0.00	0	-nan 
1604142427182	55.50	0.00	0	0.00	0	-nan 
1604142427681	56.00	0.00	0	0.00	0	-nan 
1604142428180	56.50	0.00	0	0.00	0	-nan 
1604142428679	57.00	0.00	0	0.00	0	-nan 
1604142429178	57.50	0.00	0	0.00	0	-nan 
1604142429677	58.00	0.00	0	0.00	0	-nan 
1604142430176	58.50	0.00	0	0.00	0	-nan 
1604142430674	59.00	0.00	0	0.00	0	-nan 
1604142431173	59.50	0.00	0	0.00	0	-nan 
1604142431672	60.00	0.00	0	0.00	0	-nan 
1604142432171	60.50	0.00	0	0.00	0	-nan 
1604142432670	61.00	0.00	0	0.00	0	-nan 
1604142433169	61.50	0.00	0	0.00	0	-nan 
1604142433668	62.00	0.00	0	0.00	0	-nan 
1604142434167	62.50	0.00	0	0.00	0	-nan 
1604142434665	63.00	0.00	0	0.00	0	-nan 
1604142435164	63.50	0.00	0	0.00	0	-nan 
1604142435663	64.00	0.00	0	0.00	0	-nan 
1604142436162	64.50	0.00	0	0.00	0	-nan 
1604142436661	65.00	0.00	0	0.00	0	-nan 
1604142437160	65.50	0.00	0	0.00	0	-nan 
1604142437659	66.00	0.00	0	0.00	0	-nan 
1604142438158	66.50	0.00	0	0.00	0	-nan 
1604142438657	67.00	0.00	0	0.00	0	-nan 
1604142439155	67.50	0.00	0	0.00	0	-nan 
1604142439654	68.00	0.00	0	0.00	0	-nan 
