Elapsed_seconds	Tx-Mbps_[with_hdr]
0.00	0.00
0.50	0.01
1.00	0.00
1.50	0.00
2.00	0.00
2.50	0.00
3.00	0.00
3.50	0.01
4.00	0.00
4.50	0.00
5.00	0.00
5.50	0.00
6.00	0.00
6.50	0.00
7.00	0.00
7.50	0.00
8.00	0.00
8.50	0.00
9.00	0.00
9.50	0.00
10.00	0.00
10.50	0.00
11.00	0.00
11.50	0.00
12.00	0.00
12.50	0.00
13.00	0.00
13.50	0.00
14.00	0.00
14.50	0.00
15.00	0.00
15.50	0.00
16.00	0.00
16.50	0.00
17.00	0.00
17.50	0.00
18.00	0.00
18.50	0.00
19.00	0.00
19.50	0.00
20.00	0.00
20.50	0.00
21.00	0.00
21.50	0.00
22.00	0.00
22.50	0.00
23.00	0.00
23.50	0.00
24.00	0.00
24.50	0.00
25.00	0.00
25.50	0.10
26.00	0.83
26.50	0.83
27.00	0.83
27.50	0.83
28.00	0.81
28.50	0.73
29.00	0.73
29.50	0.73
30.00	0.73
30.50	0.52
31.00	0.00
31.50	0.00
32.00	0.00
32.50	0.00
33.00	0.00
33.50	0.00
34.00	0.00
34.50	0.00
35.00	0.00
35.50	0.00
36.00	0.00
36.50	0.00
37.00	0.00
37.50	0.00
38.00	0.00
38.50	0.00
39.00	0.00
39.50	0.00
40.00	0.00
40.50	0.00
41.00	0.00
41.50	0.00
42.00	0.00
42.50	0.00
43.00	0.00
43.50	0.00
44.00	0.00
44.50	0.00
45.00	0.00
45.50	0.00
46.00	0.00
46.50	0.00
47.00	0.00
47.50	0.00
48.00	0.00
48.50	0.00
49.00	0.00
49.50	0.00
50.00	0.00
50.50	0.00
51.00	0.00
51.50	0.00
52.00	0.00
52.50	0.00
53.00	0.00
53.50	0.00
54.00	0.00
54.50	0.00
55.00	0.00
55.50	0.00
56.00	0.00
56.50	0.00
57.00	0.00
57.50	0.00
58.00	0.00
58.50	0.00
59.00	0.00
59.50	0.00
60.00	0.00
60.50	0.00
61.00	3508.75
61.50	5007.52
62.00	5000.05
62.50	5000.44
63.00	5000.87
63.50	5000.57
64.00	5001.34
64.50	5001.22
65.00	5001.09
65.50	5000.86
66.00	5000.77
66.50	5001.20
67.00	5000.81
67.50	5000.27
68.00	5001.03
68.50	5000.44
69.00	5000.87
69.50	5000.79
70.00	5001.04
70.50	5001.07
71.00	5000.40
71.50	4999.88
72.00	4999.88
72.50	5000.72
73.00	5000.88
73.50	5000.63
74.00	5001.19
74.50	5001.23
75.00	5001.09
75.50	5000.87
76.00	5001.16
76.50	5001.01
77.00	5000.87
77.50	5000.86
78.00	5000.82
78.50	5000.94
79.00	5000.64
79.50	5001.25
80.00	5001.53
80.50	5001.37
81.00	5001.39
81.50	5000.94
82.00	5001.16
82.50	5000.30
83.00	5000.80
83.50	5000.80
84.00	5001.16
84.50	5001.39
85.00	5001.36
85.50	5001.16
86.00	5001.61
86.50	5001.03
87.00	5001.39
87.50	5001.52
88.00	5001.89
88.50	5001.60
89.00	5001.95
89.50	5001.96
90.00	5001.67
90.50	5001.46
91.00	5001.74
91.50	5001.59
92.00	5001.17
92.50	5000.95
93.00	5001.00
93.50	5000.43
94.00	5000.51
94.50	5001.31
95.00	5000.89
95.50	5001.31
96.00	5001.59
96.50	4998.25
97.00	5001.23
97.50	5001.21
98.00	5000.09
98.50	4997.39
99.00	5000.73
99.50	5001.44
100.00	5001.07
100.50	5001.62
101.00	5001.60
101.50	5001.38
102.00	5001.66
102.50	5001.25
103.00	5000.94
103.50	5001.11
104.00	5001.14
104.50	4999.65
105.00	5000.80
105.50	5000.87
106.00	5000.66
106.50	5001.23
107.00	4995.06
107.50	5000.73
108.00	5000.73
108.50	5000.77
109.00	5000.55
109.50	5000.94
110.00	5001.24
110.50	5001.37
111.00	5001.01
111.50	5001.44
112.00	5001.77
112.50	5001.23
113.00	5000.29
113.50	5000.94
114.00	5001.38
114.50	5001.19
115.00	5001.41
115.50	5001.54
116.00	5001.52
116.50	5001.42
117.00	5000.84
117.50	5000.93
118.00	5001.24
118.50	5000.95
119.00	5000.95
119.50	5001.27
120.00	5000.90
120.50	5000.79
121.00	9014.67
121.50	10714.57
122.00	10716.88
122.50	10716.77
123.00	10714.39
123.50	10711.31
124.00	10715.14
124.50	10715.36
125.00	10714.54
125.50	10714.69
126.00	10714.89
126.50	10712.03
127.00	10715.27
127.50	10716.19
128.00	10710.85
128.50	10713.21
129.00	10715.28
129.50	10716.41
130.00	10716.04
130.50	10715.41
131.00	10716.58
131.50	10718.77
132.00	10717.42
132.50	10715.05
133.00	10716.44
133.50	10716.49
134.00	10715.76
134.50	10716.55
135.00	10717.68
135.50	10716.42
136.00	10716.10
136.50	10717.35
137.00	10716.77
137.50	10715.42
138.00	10715.05
138.50	10714.20
139.00	10715.64
139.50	10717.31
140.00	10716.20
140.50	10713.67
141.00	10714.55
141.50	10716.62
142.00	10717.96
142.50	10717.13
143.00	10712.07
143.50	10714.67
144.00	10718.25
144.50	10718.46
145.00	10717.17
145.50	10716.06
146.00	10717.82
146.50	10717.85
147.00	10718.53
147.50	10719.51
148.00	10719.09
148.50	10717.25
149.00	10717.49
149.50	10716.78
150.00	10718.76
150.50	10718.46
151.00	10714.79
151.50	10716.82
152.00	10718.16
152.50	10717.83
153.00	10715.60
153.50	10715.50
154.00	10715.69
154.50	10717.51
155.00	10715.76
155.50	10713.96
156.00	10717.06
156.50	10716.49
157.00	10708.39
157.50	10715.47
158.00	10715.03
158.50	10716.51
159.00	10717.87
159.50	10719.48
160.00	10717.15
160.50	10714.91
161.00	10717.14
161.50	10716.77
162.00	10716.96
162.50	10715.66
163.00	10714.84
163.50	10716.58
164.00	10716.91
164.50	10716.50
165.00	10716.78
165.50	10716.58
166.00	10712.94
166.50	10713.96
167.00	10706.37
167.50	10716.22
168.00	10714.15
168.50	10715.26
169.00	10715.80
169.50	10715.58
170.00	10717.33
170.50	10716.33
171.00	10715.76
171.50	10714.34
172.00	10716.28
172.50	10715.34
173.00	10713.06
173.50	10713.86
174.00	10715.95
174.50	10717.78
175.00	10714.77
175.50	10714.03
176.00	10716.27
176.50	10714.40
177.00	10713.63
177.50	10714.12
178.00	10714.82
178.50	10714.75
179.00	10714.60
179.50	10715.69
180.00	10716.93
180.50	10716.23
181.00	14452.99
181.50	16038.73
182.00	16034.02
182.50	16038.34
183.00	16019.59
183.50	16040.13
184.00	16038.83
184.50	16035.73
185.00	16042.53
185.50	16031.08
186.00	16038.08
186.50	16032.10
187.00	16034.58
187.50	16031.86
188.00	16028.98
188.50	16034.64
189.00	16031.68
189.50	16034.67
190.00	16033.74
190.50	16038.56
191.00	16038.50
191.50	16040.97
192.00	16038.47
192.50	16035.53
193.00	16033.20
193.50	16036.79
194.00	16034.38
194.50	16031.78
195.00	16035.77
195.50	16030.56
196.00	16036.36
196.50	16031.91
197.00	16037.66
197.50	16030.84
198.00	16038.20
198.50	16035.20
199.00	16040.17
199.50	16040.87
200.00	16037.00
200.50	16037.28
201.00	16035.33
201.50	16040.46
202.00	16036.14
202.50	16033.91
203.00	16031.84
203.50	16033.71
204.00	16036.39
204.50	16032.42
205.00	16035.44
205.50	16030.46
206.00	16036.34
206.50	16034.93
207.00	16036.43
207.50	16039.55
208.00	16038.22
208.50	16039.86
209.00	16039.39
209.50	16040.28
210.00	16035.24
210.50	16035.17
211.00	16037.02
211.50	16035.91
212.00	16038.07
212.50	16033.66
213.00	16041.38
213.50	16034.08
214.00	16038.66
214.50	16033.41
215.00	16038.84
215.50	16036.93
216.00	16034.26
216.50	16033.43
217.00	16022.83
217.50	16036.53
218.00	16035.88
218.50	16037.05
219.00	16038.16
219.50	16041.02
220.00	16037.02
220.50	16035.74
221.00	16037.30
221.50	16037.99
222.00	16037.79
222.50	16032.52
223.00	16038.92
223.50	16034.62
224.00	16040.20
224.50	16039.36
225.00	16037.57
225.50	16038.85
226.00	16041.01
226.50	16040.51
227.00	16041.86
227.50	16023.10
228.00	16040.04
228.50	16036.61
229.00	16039.26
229.50	16037.29
230.00	16035.50
230.50	16032.24
231.00	16033.40
231.50	16033.60
232.00	16035.30
232.50	16034.43
233.00	16032.65
233.50	16035.67
234.00	16038.28
234.50	16036.61
235.00	16041.01
235.50	16039.75
236.00	16037.29
236.50	16035.88
237.00	16036.38
237.50	16039.13
238.00	16042.71
238.50	16038.63
239.00	16040.78
239.50	16045.42
240.00	16044.20
240.50	16044.07
241.00	20353.75
241.50	22181.05
242.00	22175.64
242.50	22183.23
243.00	22181.56
243.50	22176.77
244.00	22177.09
244.50	22191.62
245.00	22190.74
245.50	22188.49
246.00	22174.66
246.50	22183.75
247.00	22182.64
247.50	22184.22
248.00	22173.17
248.50	22177.25
249.00	22180.02
249.50	22187.51
250.00	22181.06
250.50	22179.72
251.00	22187.91
251.50	22191.18
252.00	22188.01
252.50	22176.43
253.00	22168.35
253.50	22177.02
254.00	22176.04
254.50	22182.13
255.00	22176.27
255.50	22182.35
256.00	22180.34
256.50	22182.79
257.00	22198.38
257.50	22198.48
258.00	22192.38
258.50	22179.70
259.00	22182.68
259.50	22182.23
260.00	22175.24
260.50	22179.81
261.00	22178.27
261.50	22185.95
262.00	22184.36
262.50	22189.13
263.00	22178.71
263.50	22180.65
264.00	22182.86
264.50	22182.41
265.00	22177.85
265.50	22183.59
266.00	22187.56
266.50	22184.64
267.00	22185.87
267.50	22186.55
268.00	22178.10
268.50	22186.68
269.00	22182.38
269.50	22183.55
270.00	22179.99
270.50	22185.58
271.00	22181.57
271.50	22176.12
272.00	22180.80
272.50	22183.98
273.00	22177.27
273.50	22184.05
274.00	22186.53
274.50	22187.41
275.00	22184.85
275.50	22188.89
276.00	22179.76
276.50	22185.27
277.00	22165.80
277.50	22184.26
278.00	22174.61
278.50	22176.84
279.00	22185.33
279.50	22191.18
280.00	22186.45
280.50	22179.69
281.00	22181.04
281.50	22186.07
282.00	22184.05
282.50	22179.91
283.00	22182.29
283.50	22189.02
284.00	22181.43
284.50	22178.69
285.00	22180.92
285.50	22184.60
286.00	22185.17
286.50	22178.01
287.00	22181.67
287.50	22158.01
288.00	22186.22
288.50	22175.54
289.00	22177.03
289.50	22179.86
290.00	22188.40
290.50	22183.09
291.00	22186.69
291.50	22191.38
292.00	22187.49
292.50	22185.71
293.00	22183.89
293.50	22179.29
294.00	22182.13
294.50	22182.80
295.00	22173.82
295.50	22181.36
296.00	22183.79
296.50	22177.04
297.00	22173.40
297.50	22185.91
298.00	22184.86
298.50	22188.93
299.00	22185.07
299.50	22182.20
300.00	22185.03
300.50	22179.93
301.00	26827.29
301.50	28807.10
302.00	28806.34
302.50	28811.74
303.00	28802.32
303.50	28801.01
304.00	28797.80
304.50	28807.57
305.00	28796.41
305.50	28804.45
306.00	28807.43
306.50	28806.09
307.00	28812.16
307.50	28806.00
308.00	28803.81
308.50	28781.81
309.00	28804.02
309.50	28798.93
310.00	28809.19
310.50	28802.69
311.00	28804.33
311.50	28804.05
312.00	28797.05
312.50	28804.69
313.00	28798.83
313.50	28811.73
314.00	28796.07
314.50	28804.78
315.00	28788.17
315.50	28819.21
316.00	28807.77
316.50	28811.68
317.00	28790.31
317.50	28812.50
318.00	28795.33
318.50	28800.60
319.00	28809.45
319.50	28810.33
320.00	28813.83
320.50	28797.00
321.00	28813.34
321.50	28826.28
322.00	28821.42
322.50	28806.44
323.00	28809.12
323.50	28795.99
324.00	28801.39
324.50	28800.55
325.00	28805.47
325.50	28810.12
326.00	28811.15
326.50	28802.68
327.00	28824.93
327.50	28824.26
328.00	28825.32
328.50	28809.57
329.00	28803.03
329.50	28809.71
330.00	28801.47
330.50	28808.88
331.00	28807.78
331.50	28815.81
332.00	28799.83
332.50	28798.97
333.00	28803.94
333.50	28811.11
334.00	28808.24
334.50	28808.84
335.00	28807.69
335.50	28801.70
336.00	28800.24
336.50	28805.09
337.00	28778.52
337.50	28811.22
338.00	28800.22
338.50	28772.17
339.00	28760.41
339.50	28768.38
340.00	28764.34
340.50	28762.15
341.00	28753.01
341.50	28761.81
342.00	28764.02
342.50	28812.65
343.00	28813.53
343.50	28815.86
344.00	28808.36
344.50	28802.03
345.00	28813.27
345.50	28802.57
346.00	28817.91
346.50	28808.71
347.00	28823.79
347.50	28779.96
348.00	28807.38
348.50	28806.89
349.00	28818.35
349.50	28808.74
350.00	28811.02
350.50	28816.64
351.00	28817.73
351.50	28803.43
352.00	28818.88
352.50	28806.65
353.00	28823.69
353.50	28819.86
354.00	28836.75
354.50	28814.31
355.00	28813.62
355.50	28820.23
356.00	28807.76
356.50	28809.96
357.00	28806.51
357.50	28812.22
358.00	28820.36
358.50	28798.98
359.00	28807.53
359.50	28820.62
360.00	28821.02
360.50	28820.68
361.00	32559.09
361.50	21827.51
362.00	0.00
362.50	0.00
363.00	0.00
363.50	0.00
364.00	0.00
364.50	0.00
365.00	0.00
365.50	0.00
366.00	0.00
366.50	0.00
367.00	0.00
367.50	0.00
368.00	0.00
368.50	0.00
369.00	0.00
