UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps
1604138291106	0.00	0.00	0	0.00	0
1604138291605	0.50	0.00	2	0.00	4
1604138292104	1.00	0.00	0	0.00	0
1604138292603	1.50	0.00	0	0.00	0
1604138293102	2.00	0.00	0	0.00	0
1604138293601	2.50	0.00	0	0.00	0
1604138294100	3.00	0.00	0	0.00	0
1604138294599	3.50	0.00	0	0.00	0
1604138295098	4.00	0.00	0	0.00	0
1604138295597	4.50	0.00	0	0.00	0
1604138296096	5.00	0.00	0	0.00	0
1604138296595	5.50	0.00	0	0.00	0
1604138297094	6.00	0.00	0	0.00	0
1604138297593	6.50	0.00	0	0.00	0
1604138298092	7.00	0.00	0	0.00	0
1604138298590	7.50	0.00	0	0.00	0
1604138299089	8.00	0.00	0	0.00	0
1604138299588	8.50	0.00	0	0.00	0
1604138300087	9.00	0.00	0	0.00	0
1604138300586	9.50	0.00	0	0.00	0
1604138301085	10.00	0.00	0	0.00	0
1604138301584	10.50	0.00	0	0.00	0
1604138302083	11.00	0.00	0	0.00	0
1604138302582	11.50	0.00	0	0.00	0
1604138303081	12.00	0.00	0	0.00	0
1604138303580	12.50	0.00	0	0.00	0
1604138304079	13.00	0.00	0	0.00	0
1604138304578	13.50	0.00	0	0.00	0
1604138305077	14.00	0.00	0	0.00	0
1604138305576	14.50	0.00	0	0.00	0
1604138306075	15.00	0.00	0	0.00	0
1604138306574	15.50	0.00	0	0.00	0
1604138307073	16.00	0.00	0	0.00	0
1604138307572	16.50	0.00	0	0.00	0
1604138308071	17.00	0.00	0	0.00	0
1604138308570	17.50	0.00	0	0.00	0
1604138309069	18.00	0.00	0	0.00	0
1604138309568	18.50	0.00	0	0.00	0
1604138310067	19.00	0.00	0	0.00	0
1604138310566	19.50	0.00	0	0.00	0
1604138311065	20.00	0.00	0	0.00	0
1604138311564	20.50	0.00	0	0.00	0
1604138312063	21.00	0.00	0	0.00	0
1604138312562	21.50	0.00	0	0.00	0
1604138313061	22.00	0.00	0	0.00	0
1604138313560	22.50	0.00	0	0.00	0
1604138314059	23.00	0.00	0	0.00	0
1604138314558	23.50	0.00	0	0.00	0
1604138315057	24.00	0.00	0	0.00	0
1604138315556	24.50	0.00	0	0.00	0
1604138316055	25.00	0.00	0	0.00	0
1604138316554	25.50	0.00	0	0.00	0
1604138317053	26.00	0.00	0	0.00	0
1604138317552	26.50	0.00	0	0.00	0
1604138318051	27.00	0.00	0	0.00	0
1604138318549	27.50	0.00	0	0.00	0
1604138319048	28.00	0.00	0	0.00	0
1604138319547	28.50	0.00	0	0.00	0
1604138320046	29.00	0.00	0	0.00	0
1604138320545	29.50	0.00	0	0.00	0
1604138321044	30.00	0.00	0	0.00	0
1604138321543	30.50	0.00	0	0.00	0
1604138322042	31.00	0.00	0	0.00	0
1604138322541	31.50	0.00	0	0.00	0
1604138323040	32.00	0.00	0	0.00	0
1604138323539	32.50	0.00	0	0.00	0
1604138324038	33.00	0.00	0	0.00	0
1604138324537	33.50	0.00	0	0.00	0
1604138325036	34.00	0.00	0	0.00	0
1604138325535	34.50	0.00	0	0.00	0
1604138326034	35.00	0.00	0	0.00	0
1604138326533	35.50	0.00	0	0.00	0
1604138327032	36.00	0.00	0	0.00	0
1604138327531	36.50	0.00	0	0.00	0
1604138328030	37.00	0.00	0	0.00	0
1604138328529	37.50	0.00	0	0.00	0
1604138329028	38.00	0.00	0	0.00	0
1604138329527	38.50	0.00	0	0.00	0
1604138330026	39.00	0.00	0	0.00	0
1604138330525	39.50	0.00	0	0.00	0
1604138331024	40.00	0.00	0	0.00	0
1604138331523	40.50	0.00	0	0.00	0
1604138332022	41.00	0.00	0	0.00	0
1604138332521	41.50	0.00	0	0.00	0
1604138333020	42.00	0.00	0	0.00	0
1604138333519	42.50	0.00	0	0.00	0
1604138334018	43.00	0.00	0	0.00	0
1604138334517	43.50	0.00	0	0.00	0
1604138335016	44.00	0.00	0	0.00	0
1604138335515	44.50	0.00	0	0.00	0
1604138336014	45.00	0.00	0	0.00	0
1604138336513	45.50	0.00	0	0.00	0
1604138337012	46.00	0.00	0	0.00	0
1604138337511	46.50	0.00	0	0.00	0
1604138338010	47.00	0.00	0	0.00	0
1604138338508	47.50	0.00	0	0.00	0
1604138339007	48.00	0.00	0	0.00	0
1604138339506	48.50	0.00	0	0.00	0
1604138340005	49.00	0.00	0	0.00	0
1604138340504	49.50	0.00	0	0.00	0
1604138341003	50.00	0.00	0	0.00	0
1604138341502	50.50	0.00	0	0.00	0
1604138342001	51.00	0.00	0	0.00	0
1604138342500	51.50	0.00	0	0.00	0
1604138342999	52.00	0.00	0	0.00	0
1604138343498	52.50	0.00	0	0.00	0
1604138343997	53.00	0.00	0	0.00	0
1604138344496	53.50	0.00	0	0.00	0
1604138344995	54.00	0.00	0	0.00	0
1604138345494	54.50	0.00	0	0.00	0
1604138345993	55.00	0.00	0	0.00	0
1604138346492	55.50	0.00	0	0.00	0
1604138346991	56.00	0.00	0	0.00	0
1604138347490	56.50	0.00	0	0.00	0
1604138347989	57.00	0.00	0	0.00	0
1604138348488	57.50	0.00	0	0.00	0
1604138348987	58.00	0.00	0	0.00	0
1604138349486	58.50	0.00	0	0.00	0
1604138349985	59.00	0.00	0	0.00	0
1604138350484	59.50	0.00	0	0.00	0
1604138350983	60.00	0.00	0	0.00	0
1604138351482	60.50	0.00	0	0.00	0
1604138351981	61.00	0.00	0	0.00	0
1604138352480	61.50	0.00	0	0.00	0
1604138352979	62.00	0.00	0	0.00	0
1604138353478	62.50	0.00	0	0.00	0
1604138353977	63.00	0.00	0	0.00	0
