UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604138303852	0.00	0.00	0	0.00	0	-nan 
1604138304351	0.50	0.01	10	0.01	28	-nan 
1604138304850	1.00	0.00	0	0.00	0	-nan 
1604138305349	1.50	0.00	2	0.00	2	-nan 
1604138305848	2.00	0.00	0	0.00	0	-nan 
1604138306347	2.50	0.00	0	0.00	0	-nan 
1604138306845	3.00	0.00	0	0.00	0	-nan 
1604138307344	3.50	0.02	15	0.01	11	-nan 
1604138307843	4.00	0.00	0	0.00	0	-nan 
1604138308342	4.50	0.00	0	0.00	0	-nan 
1604138308841	5.00	0.00	0	0.00	0	-nan 
1604138309340	5.50	0.00	0	0.00	0	-nan 
1604138309839	6.00	0.00	0	0.00	0	-nan 
1604138310338	6.50	0.00	0	0.00	0	-nan 
1604138310836	7.00	0.00	0	0.00	0	-nan 
1604138311335	7.50	0.00	0	0.00	0	-nan 
1604138311834	8.00	0.00	0	0.00	0	-nan 
1604138312333	8.50	0.00	0	0.00	0	-nan 
1604138312832	9.00	0.00	0	0.00	0	-nan 
1604138313331	9.50	0.00	0	0.00	0	-nan 
1604138313830	10.00	0.00	0	0.00	0	-nan 
1604138314329	10.50	0.00	0	0.00	0	-nan 
1604138314828	11.00	0.00	0	0.00	0	-nan 
1604138315326	11.50	0.00	0	0.00	0	-nan 
1604138315825	12.00	0.00	0	0.00	0	-nan 
1604138316324	12.50	0.00	0	0.00	0	-nan 
1604138316823	13.00	0.00	0	0.00	0	-nan 
1604138317322	13.50	0.00	0	0.00	0	-nan 
1604138317821	14.00	0.00	0	0.00	0	-nan 
1604138318320	14.50	0.00	0	0.00	0	-nan 
1604138318819	15.00	0.00	0	0.00	0	-nan 
1604138319317	15.50	0.00	0	0.00	0	-nan 
1604138319816	16.00	0.00	0	0.00	0	-nan 
1604138320315	16.50	0.00	0	0.00	0	-nan 
1604138320814	17.00	0.00	0	0.00	0	-nan 
1604138321313	17.50	0.00	0	0.00	0	-nan 
1604138321812	18.00	0.00	0	0.00	0	-nan 
1604138322311	18.50	0.00	0	0.00	0	-nan 
1604138322810	19.00	0.00	2	0.00	2	-nan 
1604138323308	19.50	0.00	0	0.00	0	-nan 
1604138323807	20.00	0.00	0	0.00	0	-nan 
1604138324306	20.50	0.00	0	0.00	0	-nan 
1604138324805	21.00	0.00	0	0.00	0	-nan 
1604138325304	21.50	0.00	0	0.00	0	-nan 
1604138325803	22.00	0.00	0	0.00	0	-nan 
1604138326302	22.50	0.00	0	0.00	0	-nan 
1604138326801	23.00	0.00	0	0.00	0	-nan 
1604138327299	23.50	0.00	0	0.00	0	-nan 
1604138327798	24.00	0.00	0	0.00	0	-nan 
1604138328297	24.50	0.00	0	0.00	0	-nan 
1604138328796	25.00	0.00	0	0.00	0	-nan 
1604138329295	25.50	0.04	49	0.10	49	-nan 
1604138329794	26.00	0.33	416	0.83	416	-nan 
1604138330293	26.50	0.33	415	0.83	415	-nan 
1604138330792	27.00	0.33	416	0.83	416	-nan 
1604138331291	27.50	0.33	417	0.83	417	-nan 
1604138331789	28.00	0.31	416	0.81	416	-nan 
1604138332288	28.50	0.24	415	0.73	415	-nan 
1604138332787	29.00	0.24	416	0.73	416	-nan 
1604138333286	29.50	0.24	417	0.73	417	-nan 
1604138333785	30.00	0.24	416	0.73	416	-nan 
1604138334284	30.50	0.17	297	0.52	297	-nan 
1604138334783	31.00	0.00	0	0.00	0	-nan 
1604138335282	31.50	0.00	0	0.00	0	-nan 
1604138335780	32.00	0.00	0	0.00	0	-nan 
1604138336279	32.50	0.00	0	0.00	0	-nan 
1604138336778	33.00	0.00	0	0.00	0	-nan 
1604138337277	33.50	0.00	0	0.00	0	-nan 
1604138337776	34.00	0.00	0	0.00	0	-nan 
1604138338275	34.50	0.00	0	0.00	0	-nan 
1604138338774	35.00	0.00	0	0.00	0	-nan 
1604138339273	35.50	0.00	0	0.00	0	-nan 
1604138339771	36.00	0.00	0	0.00	0	-nan 
1604138340270	36.50	0.00	0	0.00	0	-nan 
1604138340769	37.00	0.00	0	0.00	0	-nan 
1604138341268	37.50	0.00	0	0.00	0	-nan 
1604138341767	38.00	0.00	0	0.00	0	-nan 
1604138342266	38.50	0.00	0	0.00	0	-nan 
1604138342765	39.00	0.00	0	0.00	0	-nan 
1604138343264	39.50	0.00	0	0.00	0	-nan 
1604138343763	40.00	0.00	0	0.00	0	-nan 
1604138344261	40.50	0.00	0	0.00	0	-nan 
1604138344760	41.00	0.00	0	0.00	0	-nan 
1604138345259	41.50	0.00	0	0.00	0	-nan 
1604138345758	42.00	0.00	0	0.00	0	-nan 
1604138346257	42.50	0.00	0	0.00	0	-nan 
1604138346756	43.00	0.00	0	0.00	0	-nan 
1604138347255	43.50	0.00	0	0.00	0	-nan 
1604138347754	44.00	0.00	0	0.00	0	-nan 
1604138348252	44.50	0.00	0	0.00	0	-nan 
1604138348751	45.00	0.00	0	0.00	0	-nan 
1604138349250	45.50	0.00	0	0.00	0	-nan 
1604138349749	46.00	0.00	0	0.00	0	-nan 
1604138350248	46.50	0.00	0	0.00	0	-nan 
1604138350747	47.00	0.00	0	0.00	0	-nan 
1604138351246	47.50	0.00	0	0.00	0	-nan 
1604138351745	48.00	0.00	0	0.00	0	-nan 
1604138352243	48.50	0.00	0	0.00	0	-nan 
1604138352742	49.00	0.00	0	0.00	0	-nan 
1604138353241	49.50	0.00	0	0.00	0	-nan 
1604138353740	50.00	0.00	0	0.00	0	-nan 
1604138354239	50.50	0.00	0	0.00	0	-nan 
1604138354738	51.00	0.00	0	0.00	0	-nan 
1604138355237	51.50	0.00	0	0.00	0	-nan 
1604138355736	52.00	0.00	0	0.00	0	-nan 
1604138356234	52.50	0.00	0	0.00	0	-nan 
1604138356733	53.00	0.00	0	0.00	0	-nan 
1604138357232	53.50	0.00	0	0.00	0	-nan 
1604138357731	54.00	0.00	0	0.00	0	-nan 
1604138358230	54.50	0.00	0	0.00	0	-nan 
1604138358729	55.00	0.00	0	0.00	0	-nan 
1604138359228	55.50	0.00	0	0.00	0	-nan 
1604138359727	56.00	0.00	0	0.00	0	-nan 
1604138360226	56.50	0.00	0	0.00	0	-nan 
1604138360724	57.00	0.00	0	0.00	0	-nan 
1604138361223	57.50	0.00	0	0.00	0	-nan 
1604138361722	58.00	0.00	0	0.00	0	-nan 
1604138362221	58.50	0.00	0	0.00	0	-nan 
1604138362720	59.00	0.00	0	0.00	0	-nan 
1604138363219	59.50	0.00	0	0.00	0	-nan 
1604138363718	60.00	0.00	0	0.00	0	-nan 
1604138364217	60.50	0.00	0	0.00	0	-nan 
1604138364715	61.00	355.37	286633	3508.75	3091319	-nan 
1604138365214	61.50	537.93	436634	5007.52	4408028	-nan 
1604138365713	62.00	544.33	441828	5000.05	4401449	-nan 
1604138366212	62.50	546.97	443967	5000.44	4401791	-nan 
1604138366711	63.00	538.96	437465	5000.87	4402173	-nan 
1604138367210	63.50	544.23	441743	5000.57	4401941	-nan 
1604138367709	64.00	534.34	433720	5001.34	4402600	-nan 
1604138368208	64.50	549.56	446074	5001.22	4402478	-nan 
1604138368706	65.00	542.74	440531	5001.09	4402324	-nan 
1604138369205	65.50	540.73	438926	5000.86	4402165	-nan 
1604138369704	66.00	542.89	440632	5000.77	4402138	-nan 
1604138370203	66.50	542.30	440177	5001.20	4402411	-nan 
1604138370702	67.00	540.63	438820	5000.81	4402120	-nan 
1604138371201	67.50	540.90	439044	5000.27	4401643	-nan 
1604138371700	68.00	540.18	438459	5001.03	4402316	-nan 
1604138372199	68.50	543.81	441406	5000.44	4401795	-nan 
1604138372697	69.00	545.05	442412	5000.87	4402200	-nan 
1604138373196	69.50	543.50	441162	5000.79	4402074	-nan 
1604138373695	70.00	542.08	439992	5001.04	4402375	-nan 
1604138374194	70.50	541.90	439853	5001.07	4402302	-nan 
1604138374693	71.00	542.01	439940	5000.40	4401797	-nan 
1604138375192	71.50	542.29	440170	4999.88	4401280	-nan 
1604138375691	72.00	542.38	440244	4999.88	4401281	-nan 
1604138376190	72.50	543.33	441023	5000.72	4402043	-nan 
1604138376689	73.00	540.88	439016	5000.88	4402180	-nan 
1604138377187	73.50	542.87	440642	5000.63	4401966	-nan 
1604138377686	74.00	542.02	439953	5001.19	4402507	-nan 
1604138378185	74.50	539.95	438269	5001.23	4402491	-nan 
1604138378684	75.00	545.39	442687	5001.09	4402317	-nan 
1604138379183	75.50	541.90	439857	5000.87	4402171	-nan 
1604138379682	76.00	546.34	443461	5001.16	4402429	-nan 
1604138380181	76.50	540.08	438375	5001.01	4402299	-nan 
1604138380680	77.00	539.85	438188	5000.87	4402178	-nan 
1604138381178	77.50	540.07	438368	5000.86	4402163	-nan 
1604138381677	78.00	542.52	440355	5000.82	4402129	-nan 
1604138382176	78.50	543.73	441347	5000.94	4402231	-nan 
1604138382675	79.00	544.88	442264	5000.64	4401985	-nan 
